ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR
ENSG00000212232,SNORD17,ENSG00000212232.1,5.57895826235001,3.5462688517825285,149.36441671760878,2.0853956791180358e-26,4.2133334300900794e-22
ENSG00000200087,SNORA73B,ENSG00000200087.1,5.807995560015048,4.564901060922517,145.36129318090164,7.882107566510531e-26,7.962505063688938e-22
ENSG00000276168,RN7SL1,ENSG00000276168.1,4.981781007795363,8.86483638414691,133.38433848438225,2.9245658423307122e-24,1.969597609281657e-20
ENSG00000279110,AL022323.3,ENSG00000279110.1,3.513796169867977,0.18063580485941794,128.9608464746207,4.1962082378662855e-24,2.119504780946261e-20
ENSG00000139540,SLC39A5,ENSG00000139540.12,4.713748000915544,2.0000671446021405,125.73520527364961,2.226665948860848e-23,8.997511766156915e-20
ENSG00000253284,AC092828.1,ENSG00000253284.2,2.9599772080412827,0.13267858999227003,116.30762255937418,4.0690065050125776e-22,1.3701701237879021e-18
ENSG00000279652,Z82217.1,ENSG00000279652.1,3.067578913334819,-0.11713070226903405,113.03819820500168,9.005810672939025e-22,2.5993342690865724e-18
ENSG00000171786,NHLH1,ENSG00000171786.6,-3.9537289758981866,1.1284831566089233,109.25644861587365,2.0889766520105677e-21,5.275710534652689e-18
ENSG00000042781,USH2A,ENSG00000042781.14,-4.195978358499235,1.4755336856927344,105.0877667740706,1.026978316804166e-20,2.3054522125234854e-17
ENSG00000262484,CCER2,ENSG00000262484.1,-4.864002353216913,3.1238300844750757,106.05637725437592,1.4558607885857208e-20,2.94142113725859e-17
ENSG00000189056,RELN,ENSG00000189056.14,-4.386291787644544,2.8417445337135456,104.25989212544201,2.876868014830897e-20,5.284021942876677e-17
ENSG00000277157,H4C4,ENSG00000277157.2,3.556144321361113,0.8841913796307557,96.63419828305561,3.7732735792343706e-19,6.352934949570935e-16
ENSG00000184357,H1-5,ENSG00000184357.5,4.1575731515728815,1.8942328776343078,93.46692172864358,1.3100951194050225e-18,2.036089368650698e-15
ENSG00000168298,H1-4,ENSG00000168298.7,3.6446270315823077,2.7220192865828765,92.51367169059895,2.1286442911074258e-18,3.071937804109602e-15
ENSG00000091513,TF,ENSG00000091513.16,5.06640640394422,5.242033712984719,91.52915887927072,2.990177353206619e-18,4.027569549612436e-15
ENSG00000079112,CDH17,ENSG00000079112.10,4.858427271247785,3.334093537151326,89.36985242298438,6.3270343200650796e-18,7.989462587662179e-15
ENSG00000232406,AL121895.1,ENSG00000232406.7,2.4588279242751137,-0.5246134405533242,84.97918011286552,1.9376650889652846e-17,2.3028579680855653e-14
ENSG00000224822,THRB-IT1,ENSG00000224822.1,2.849965015026648,-0.28061239387213643,83.31494839472796,3.487646354455571e-17,3.914689274745575e-14
ENSG00000196169,KIF19,ENSG00000196169.15,-3.294369358533219,1.4427897039522588,83.17864236644537,4.45134655717593e-17,4.733421360062237e-14
ENSG00000266805,AP005432.1,ENSG00000266805.1,2.7228229272055304,-0.13090614127972244,78.85835761040138,2.1142989892172615e-16,2.1358648389072777e-13
ENSG00000250295,RDH10-AS1,ENSG00000250295.6,2.7531668032329053,0.5639566595003228,78.24288176630215,3.2831082109343577e-16,3.158662775891322e-13
ENSG00000124575,H1-3,ENSG00000124575.7,3.4044025136001888,1.614681167999555,77.96227350988572,3.8687051052515715e-16,3.552878088477398e-13
ENSG00000172901,LVRN,ENSG00000172901.20,-3.2108852525979366,1.0174060075181348,76.84907733785583,4.1196250457228646e-16,3.6188219314689024e-13
ENSG00000286522,H3C2,ENSG00000286522.2,3.612370962522602,1.7793800717338817,77.19782888254646,5.128911032915508e-16,4.3176882712093715e-13
ENSG00000070019,GUCY2C,ENSG00000070019.5,2.504447699567908,0.4064359391474885,76.35610353066564,6.707721206616433e-16,5.420911970339136e-13
ENSG00000251562,MALAT1,ENSG00000251562.8,2.18004676130643,8.986527274141114,75.96427040781155,8.333521980751718e-16,6.475787619196451e-13
ENSG00000215483,LINC00598,ENSG00000215483.11,2.3914988784715216,0.7657696591012175,75.74697972153481,8.931922730196178e-16,6.683724697810503e-13
ENSG00000279432,AC015799.1,ENSG00000279432.1,2.0886768540277285,-0.6761673514007823,74.27417484632524,1.126769412968873e-15,8.130446149865396e-13
ENSG00000187054,TMPRSS11A,ENSG00000187054.16,-3.727004598744964,2.0474983413910315,73.15796994718885,2.0204265088580984e-15,1.4049439594867793e-12
ENSG00000173991,TCAP,ENSG00000173991.6,3.0813297498566015,2.1890572205222254,73.5647728634335,2.086137338378706e-15,1.4049439594867793e-12
ENSG00000184260,H2AC20,ENSG00000184260.6,1.9834236039628657,1.7633360475720088,70.93964419603857,5.6476716745843376e-15,3.680824468171031e-12
ENSG00000281195,AC007878.1,ENSG00000281195.1,2.194908093799472,-0.3777853818829302,69.95444775613409,6.566065950056377e-15,4.071735771958585e-12
ENSG00000208772,SNORD94,ENSG00000208772.1,1.8885787587234684,-0.4746701398611099,69.94956792006433,6.650528631688443e-15,4.071735771958585e-12
ENSG00000287725,AP003071.5,ENSG00000287725.1,2.6863014303088613,0.754586655100803,69.13477118453378,1.0624630131578556e-14,6.3135302111297985e-12
ENSG00000231887,PRH1,ENSG00000231887.7,1.5703590103592007,-1.156132670402713,67.89236508302372,1.1907807498764772e-14,6.873866934429813e-12
ENSG00000279765,AC013394.1,ENSG00000279765.3,2.0234628095885454,0.18678302760775906,67.91512266069499,1.680659704139854e-14,9.432235739567113e-12
ENSG00000250602,AC093535.1,ENSG00000250602.6,1.764258866662947,-0.7727625314857796,67.23460266019717,1.779325361345597e-14,9.716078270439579e-12
ENSG00000142549,IGLON5,ENSG00000142549.9,-2.712580589779465,0.9263741187162441,66.71255917002895,2.2993056425192176e-14,1.2225045053015335e-11
ENSG00000174460,ZCCHC12,ENSG00000174460.4,-2.409410963588547,-0.053040942903160894,65.92456300504729,2.4346678284053773e-14,1.2612827898744167e-11
ENSG00000204581,ACOXL-AS1,ENSG00000204581.3,1.779037014490612,1.00829077756991,65.9861471323216,3.7597383099830003e-14,1.8990438203724137e-11
ENSG00000204936,CD177,ENSG00000204936.10,-3.040488876093341,2.4458242304982605,65.7830928300074,3.9223812646430545e-14,1.9328729529475188e-11
ENSG00000170442,KRT86,ENSG00000170442.12,-3.050182290536939,3.484657045766612,65.49832694943598,4.491569745111549e-14,2.1606589316722318e-11
ENSG00000104435,STMN2,ENSG00000104435.14,-3.4749821995003876,1.5419082323663447,64.51576435538519,5.365216075876219e-14,2.5209029208605378e-11
ENSG00000054356,PTPRN,ENSG00000054356.14,-2.6434954650418345,1.2291137561724401,63.59834566063773,8.404916559767928e-14,3.8593848675807094e-11
