ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR
ENSG00000202538,RNU4-2,ENSG00000202538.1,9.820571105035627,7.0371050692002575,466.74389443223055,2.840360331972025e-76,6.090016587781218e-72
ENSG00000200087,SNORA73B,ENSG00000200087.1,8.18774552057575,6.208712801694174,462.8892932497544,1.734397145306776e-75,1.859360459626129e-71
ENSG00000278771,RN7SL3,ENSG00000278771.1,8.76689133345211,5.583112460587379,453.3503555340349,4.900224786902751e-75,3.4851513795555853e-71
ENSG00000212232,SNORD17,ENSG00000212232.1,7.6308631228633885,4.920859140045007,455.87714569385747,6.50184483849743e-75,3.4851513795555853e-71
ENSG00000276168,RN7SL1,ENSG00000276168.1,7.052304016667914,10.592613809486101,415.14556223635213,1.0646964587982476e-69,4.565631354618645e-66
ENSG00000208772,SNORD94,ENSG00000208772.1,4.594459538950909,1.5175828149362234,390.7044681594757,5.019258297332458e-67,1.793631952551754e-63
ENSG00000168298,H1-4,ENSG00000168298.7,4.505664038563438,2.5943814327010544,319.61933927517225,5.295858595140611e-57,1.622121487691569e-53
ENSG00000215156,AC138409.1,ENSG00000215156.5,3.5548168936743614,0.08599698911888846,305.71351386921407,8.536747640761964e-56,2.2879550770697158e-52
ENSG00000202058,RN7SKP80,ENSG00000202058.1,3.2820739758006985,0.12715786829764616,288.19405038565264,5.880446230739326e-53,1.4009183070364655e-49
ENSG00000184260,H2AC20,ENSG00000184260.6,3.2623610897341186,1.9312835896509988,274.88239164813945,1.366883737155923e-50,2.8225443861177916e-47
ENSG00000281383,FP671120.7,ENSG00000281383.1,4.1875299689677155,2.426014420978982,274.62666056635766,1.448066239788056e-50,2.8225443861177916e-47
ENSG00000232729,AC211433.1,ENSG00000232729.8,3.025646775744174,-0.23081318174475884,270.64266392820196,1.7932610045032706e-50,3.2041090997962187e-47
ENSG00000187908,DMBT1,ENSG00000187908.20,4.997171473581762,2.805237424216005,267.87103034024517,1.327156945573302e-49,2.1888901592336286e-46
ENSG00000279765,AC013394.1,ENSG00000279765.3,2.682921915231005,-0.32684771504970783,263.18043073961087,3.267818183903943e-49,5.004663548648888e-46
ENSG00000226149,AL356124.1,ENSG00000226149.6,2.3041888493688307,-1.0928163095626713,260.01632196113366,3.856495426622788e-49,5.5124745628146135e-46
ENSG00000286522,H3C2,ENSG00000286522.2,4.243334382576718,1.3805692598143728,262.8863020410291,4.993820540538152e-49,6.692031638104907e-46
ENSG00000221716,SNORA11,ENSG00000221716.1,3.5838414093827877,1.235067912755265,259.35508902114907,2.3252706056605488e-48,2.932713356233402e-45
ENSG00000263968,RN7SL381P,ENSG00000263968.2,3.3474358151372208,0.7162166830216521,249.5083519407244,6.148223491744921e-47,7.323558882583492e-44
ENSG00000240499,AC004594.1,ENSG00000240499.7,2.53766716480029,-0.6893238343984873,242.9234972199857,2.7875191465726997e-46,3.1456420011402764e-43
ENSG00000260034,LCMT1-AS2,ENSG00000260034.1,2.858323019527097,-0.03225809697813683,242.6925900461019,5.187005394017496e-46,5.5607291326564565e-43
ENSG00000201772,SNORA5C,ENSG00000201772.1,2.412021990408187,-0.786134287669992,240.39453221941287,7.336306516388514e-46,7.490368953232673e-43
ENSG00000281195,AC007878.1,ENSG00000281195.1,2.667183444047229,0.4590010425293188,238.3827838684199,3.6818946549063457e-45,3.5883410589021345e-42
ENSG00000235408,SNORA71B,ENSG00000235408.6,2.765313409278265,0.16456600020663695,233.2404267078059,1.9277893679044762e-44,1.7971187755321685e-41
ENSG00000185130,H2BC13,ENSG00000185130.5,3.1682597622239053,0.010843131445389747,229.95080907907865,3.942964482857654e-44,3.5225458948729563e-41
ENSG00000279541,AC005261.5,ENSG00000279541.1,2.6219554933552445,-0.4915086508678847,229.00797949693163,5.216542095236813e-44,4.4739151625589e-41
ENSG00000263934,SNORD3A,ENSG00000263934.5,3.6979014996766666,3.550970635047439,222.59864675941768,1.0665863159129304e-42,8.795645076726593e-40
