ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR,comparison,cluster1,cluster2
ENSG00000109846,CRYAB,ENSG00000109846.9,4.464079633634903,7.555221570535284,95.19878063840038,1.0156988329738917e-11,2.1140755509518581e-7,Cluster2_vs_Cluster1,1,2
ENSG00000007402,CACNA2D2,ENSG00000007402.12,6.292780626763556,5.714217953184118,55.1822473911712,8.482903841928198e-9,8.828158028294677e-5,Cluster2_vs_Cluster1,1,2
ENSG00000008056,SYN1,ENSG00000008056.14,4.8020382239835895,4.191466051382142,44.581593540407034,8.309379810123364e-8,5.765047712263591e-4,Cluster2_vs_Cluster1,1,2
ENSG00000146013,GFRA3,ENSG00000146013.11,5.482777230411594,2.5540981597777663,40.33151323581986,2.0865113188096062e-7,0.0010857161647425785,Cluster2_vs_Cluster1,1,2
ENSG00000157306,ZFHX2-AS1,ENSG00000157306.14,3.7059113916865534,2.252327766504293,39.682192407408735,2.682398194944075e-7,0.0011166287205913196,Cluster2_vs_Cluster1,1,2
ENSG00000172264,MACROD2,ENSG00000172264.17,3.1660447840579113,4.575204174661903,38.17982461694982,3.78418822671581e-7,0.0013127348958477144,Cluster2_vs_Cluster1,1,2
ENSG00000258727,AL135999.1,ENSG00000258727.1,3.7564390867340807,0.9591676871546055,35.58736907335387,6.898975118380059e-7,0.002051360973056608,Cluster2_vs_Cluster1,1,2
ENSG00000063015,SEZ6,ENSG00000063015.20,5.366403074382714,2.4102802070155867,34.794082705779715,8.496377492630489e-7,0.0022105450141451373,Cluster2_vs_Cluster1,1,2
ENSG00000164007,CLDN19,ENSG00000164007.11,5.039738996272402,1.8967841342911906,33.695407455208425,1.0948091661486108e-6,0.0024572559850583138,Cluster2_vs_Cluster1,1,2
ENSG00000133958,UNC79,ENSG00000133958.13,4.067719799898436,1.4514047454146461,33.657424528062215,1.1891940380577905e-6,0.0024572559850583138,Cluster2_vs_Cluster1,1,2
ENSG00000284652,BX323043.1,ENSG00000284652.1,3.1938016004625736,-0.02006586107051041,32.53762145324501,1.3769779635893824e-6,0.0024572559850583138,Cluster2_vs_Cluster1,1,2
ENSG00000249715,FER1L5,ENSG00000249715.12,2.750112755949201,-0.13388757181770536,32.670141661952414,1.4166941395550958e-6,0.0024572559850583138,Cluster2_vs_Cluster1,1,2
ENSG00000171303,KCNK3,ENSG00000171303.7,5.164295413702224,4.0696672212209,31.99069857823968,1.9467604791433413e-6,0.0031169132779145774,Cluster2_vs_Cluster1,1,2
ENSG00000068615,REEP1,ENSG00000068615.19,3.5513574541746085,3.106899291556989,31.47764702558322,2.2290742210816726e-6,0.003313996488399567,Cluster2_vs_Cluster1,1,2
ENSG00000198049,AVPR1B,ENSG00000198049.7,2.9044276285187456,-0.3296232881510852,30.326040480583806,2.5046803132349775e-6,0.0034754944026448545,Cluster2_vs_Cluster1,1,2
ENSG00000128849,CGNL1,ENSG00000128849.11,3.308440127497119,6.632668302283143,30.635452172257363,2.777465071857964e-6,0.0036131348753532288,Cluster2_vs_Cluster1,1,2
ENSG00000183715,OPCML,ENSG00000183715.13,3.6841447606094815,0.7758926126289436,30.16673613306162,2.9685073091250256e-6,0.0036345006548310754,Cluster2_vs_Cluster1,1,2
ENSG00000170465,KRT6C,ENSG00000170465.10,6.848129308244151,4.678035901472705,29.294703124506164,4.124219115011582e-6,0.004768972036658392,Cluster2_vs_Cluster1,1,2
ENSG00000083067,TRPM3,ENSG00000083067.23,4.135120951274078,0.9343283451320916,28.643648968196363,4.403991113568339e-6,0.004824456370411126,Cluster2_vs_Cluster1,1,2
ENSG00000173826,KCNH6,ENSG00000173826.15,6.401524741146221,5.711238136138209,28.719982981057726,4.850927011718225e-6,0.005048359741095157,Cluster2_vs_Cluster1,1,2
ENSG00000174502,SLC26A9,ENSG00000174502.19,5.392595189162161,6.110569358516476,28.04389796644496,5.846152735906111e-6,0.005794372525959514,Cluster2_vs_Cluster1,1,2
ENSG00000239246,AC008026.1,ENSG00000239246.3,3.2611674240021187,0.2397918887036471,26.202749524706498,9.199419216832414e-6,0.008703486889961358,Cluster2_vs_Cluster1,1,2
ENSG00000263961,RHEX,ENSG00000263961.8,4.34691023970527,4.1051838222556025,26.00851138419373,1.075745274479698e-5,0.009735027018704536,Cluster2_vs_Cluster1,1,2
ENSG00000077157,PPP1R12B,ENSG00000077157.22,1.7248377031505362,5.97215505607152,25.394475577228103,1.285178234945632e-5,0.010884853697469853,Cluster2_vs_Cluster1,1,2
ENSG00000189320,FAM180A,ENSG00000189320.9,3.2816464127557707,2.610592426127394,25.312718727482963,1.3351141827054107e-5,0.010884853697469853,Cluster2_vs_Cluster1,1,2
ENSG00000150995,ITPR1,ENSG00000150995.20,2.905798509726631,5.332809360466461,25.160892087950767,1.3813666459559851e-5,0.010884853697469853,Cluster2_vs_Cluster1,1,2
ENSG00000276600,RAB7B,ENSG00000276600.5,2.2254362739900615,3.776558150147064,25.09390077120571,1.4119873634653887e-5,0.010884853697469853,Cluster2_vs_Cluster1,1,2
ENSG00000142549,IGLON5,ENSG00000142549.9,3.7063367848428563,3.30671401798159,24.92799435243218,1.4977216196656713e-5,0.011133420639900459,Cluster2_vs_Cluster1,1,2
ENSG00000112276,BVES,ENSG00000112276.14,2.830306702655602,1.8596990244111968,24.77650303303473,1.5789605960689552e-5,0.011332581326406632,Cluster2_vs_Cluster1,1,2
ENSG00000169507,SLC38A11,ENSG00000169507.9,2.7193389497345035,3.6705298175415404,24.3091385347194,1.8015610153285697e-5,0.012207804607930079,Cluster2_vs_Cluster1,1,2
ENSG00000188581,KRTAP1-1,ENSG00000188581.9,4.122863081384102,0.9645474158577537,23.974164722247274,1.847672115963644e-5,0.012207804607930079,Cluster2_vs_Cluster1,1,2
ENSG00000078549,ADCYAP1R1,ENSG00000078549.15,3.5573484196707525,1.300360328632272,24.162628778342395,1.8856415524591284e-5,0.012207804607930079,Cluster2_vs_Cluster1,1,2
ENSG00000215196,BASP1-AS1,ENSG00000215196.5,2.560440782937468,-0.32693775875081904,23.810241750083613,1.9355124054083433e-5,0.012207804607930079,Cluster2_vs_Cluster1,1,2
ENSG00000101000,PROCR,ENSG00000101000.6,2.788720697718462,4.907444266618463,23.715101670448917,2.1653262028688255e-5,0.013255617525444626,Cluster2_vs_Cluster1,1,2
ENSG00000138190,EXOC6,ENSG00000138190.17,0.8688802978538152,5.154728118777351,23.11805154551789,2.612444872871511e-5,0.015535836452556467,Cluster2_vs_Cluster1,1,2
ENSG00000228639,ROCR,ENSG00000228639.8,3.0730649260491965,0.5845269439841408,22.940930894112224,2.7228905071761295e-5,0.015742845282323323,Cluster2_vs_Cluster1,1,2
ENSG00000259070,LINC00639,ENSG00000259070.7,2.2336528912267006,-0.9408945911411473,22.24402739594889,2.9534937248593425e-5,0.01661459956465469,Cluster2_vs_Cluster1,1,2
ENSG00000165480,SKA3,ENSG00000165480.16,-1.522724151224941,2.509062634187327,22.469968921802934,3.2267267616140505e-5,0.01767397126743022,Cluster2_vs_Cluster1,1,2
ENSG00000072201,LNX1,ENSG00000072201.14,1.646075963018819,3.8179642018569906,22.34380265776378,3.351653057530401e-5,0.017887514548573787,Cluster2_vs_Cluster1,1,2
