ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR
ENSG00000109846,CRYAB,ENSG00000109846.9,-5.1348366974753725,8.065332043760636,31.958666659536444,1.8110771102144066e-5,0.15602828292318963
ENSG00000198353,HOXC4,ENSG00000198353.8,3.8153537065585197,1.7780435274516648,29.424283573421185,3.0125612008043616e-5,0.15602828292318963
ENSG00000258733,LINC02328,ENSG00000258733.6,2.624699450776257,0.20368943420718175,25.51527618530547,6.816836489261148e-5,0.15602828292318963
ENSG00000064687,ABCA7,ENSG00000064687.13,2.2365450282714217,5.212529750239209,25.301982397386354,7.192498726178187e-5,0.15602828292318963
ENSG00000160180,TFF3,ENSG00000160180.15,6.317247470584039,6.617183132130951,24.440428442034975,8.762787068356624e-5,0.15602828292318963
ENSG00000005187,ACSM3,ENSG00000005187.12,-3.3623517288099296,5.67775895235628,24.2271189967232,9.176008928368662e-5,0.15602828292318963
ENSG00000287868,AL355377.4,ENSG00000287868.1,2.031022026046501,-0.9830201531421836,23.313432732361058,1.0575810763670689e-4,0.15602828292318963
ENSG00000204616,TRIM31,ENSG00000204616.11,4.419253460247573,3.2099030991085877,23.21208106300778,1.1704848690193345e-4,0.15602828292318963
ENSG00000260645,AL359715.2,ENSG00000260645.2,2.61475730645505,-0.7649960093343615,22.47721896982128,1.2503902781642876e-4,0.15602828292318963
ENSG00000065183,WDR3,ENSG00000065183.16,-1.3625474792455396,5.772099278189772,22.83430907103713,1.268527587477441e-4,0.15602828292318963
ENSG00000118513,MYB,ENSG00000118513.19,4.151203341149611,1.900238460627171,22.72964771265019,1.3028726953402903e-4,0.15602828292318963
ENSG00000037965,HOXC8,ENSG00000037965.6,4.217097511215419,-0.07421211114273653,21.5665301061656,1.3288877274421059e-4,0.15602828292318963
ENSG00000140022,STON2,ENSG00000140022.13,2.9612815920223317,2.253080839592735,22.178098961423725,1.4960087267489592e-4,0.15602828292318963
ENSG00000154917,RAB6B,ENSG00000154917.11,-2.1893355442823608,5.117896509484445,21.959900451064023,1.5647171018072373e-4,0.15602828292318963
ENSG00000172116,CD8B,ENSG00000172116.23,3.7698477263977943,1.7299073191508567,21.963340583413373,1.571284790854296e-4,0.15602828292318963
ENSG00000275409,AC026367.2,ENSG00000275409.1,1.8428855439861247,-0.6436222329462846,21.859443772870264,1.577063487807554e-4,0.15602828292318963
