ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR,comparison,cluster1,cluster2
ENSG00000105696,TMEM59L,ENSG00000105696.9,3.093454001023493,-0.7210759675067012,520.9730759842624,1.5529139704183732e-80,3.2907799947135745e-76,Cluster3_vs_Cluster1,1,3
ENSG00000184905,TCEAL2,ENSG00000184905.9,3.919114086236457,-0.40358368054825067,440.95459724655734,4.948506381516495e-73,5.243189936535802e-69,Cluster3_vs_Cluster1,1,3
ENSG00000173641,HSPB7,ENSG00000173641.18,3.4923214088307395,2.989556172552897,529.8677767214622,7.744265123513155e-70,5.470290741078909e-66,Cluster3_vs_Cluster1,1,3
ENSG00000119147,ECRG4,ENSG00000119147.10,3.115344365421712,-0.9716263972612346,412.42704202937733,2.4346881674256995e-69,1.2898369238979499e-65,Cluster3_vs_Cluster1,1,3
ENSG00000108823,SGCA,ENSG00000108823.16,3.0940371339336536,1.0084569741643823,470.2559121882549,1.9476181549471605e-66,8.254395264297056e-63,Cluster3_vs_Cluster1,1,3
ENSG00000152137,HSPB8,ENSG00000152137.8,2.7543063700751715,3.483569078444705,481.9668660426344,7.282688208327409e-66,2.5721240970444354e-62,Cluster3_vs_Cluster1,1,3
ENSG00000171303,KCNK3,ENSG00000171303.7,3.177292186844502,0.17942036961677457,429.9066494701734,9.073208646364992e-66,2.7467194917874366e-62,Cluster3_vs_Cluster1,1,3
ENSG00000109846,CRYAB,ENSG00000109846.9,2.421463236777573,3.6337313573840033,465.8907347688898,1.7402787943201838e-64,4.5208690435419484e-61,Cluster3_vs_Cluster1,1,3
ENSG00000164326,CARTPT,ENSG00000164326.5,3.5060241428267913,-1.21969532630113,365.22055829768476,2.038157481386447e-64,4.5208690435419484e-61,Cluster3_vs_Cluster1,1,3
ENSG00000145936,KCNMB1,ENSG00000145936.9,2.8259538927573686,2.9433048702340643,465.8909773134483,2.1333910827907833e-64,4.5208690435419484e-61,Cluster3_vs_Cluster1,1,3
ENSG00000121577,POPDC2,ENSG00000121577.14,2.138227850607822,1.1951230543831686,461.8148455628662,3.091793374833412e-64,5.956199400554076e-61,Cluster3_vs_Cluster1,1,3
ENSG00000166831,RBPMS2,ENSG00000166831.9,2.7302821304160743,1.6660848293907584,456.1789663217092,1.0157021282783759e-63,1.7936453166955888e-60,Cluster3_vs_Cluster1,1,3
ENSG00000181195,PENK,ENSG00000181195.11,3.5674144165365305,-0.7045302581719423,362.71863610754514,4.3557517267147074e-63,6.619639195175906e-60,Cluster3_vs_Cluster1,1,3
ENSG00000144191,CNGA3,ENSG00000144191.12,3.913683190650102,-0.046252864051650786,375.0209832191333,4.373316442473818e-63,6.619639195175906e-60,Cluster3_vs_Cluster1,1,3
ENSG00000171246,NPTX1,ENSG00000171246.6,3.4040413531374023,0.6230418683600055,408.8906734799906,1.8406723235278981e-62,2.474126743665082e-59,Cluster3_vs_Cluster1,1,3
ENSG00000163017,ACTG2,ENSG00000163017.14,3.532872735943416,7.411571840127908,442.5755264418285,1.8680585106243835e-62,2.474126743665082e-59,Cluster3_vs_Cluster1,1,3
ENSG00000118729,CASQ2,ENSG00000118729.12,3.9128248796621383,1.3274836557358045,417.93102693194453,2.0125792915115452e-62,2.508739280377715e-59,Cluster3_vs_Cluster1,1,3
ENSG00000100095,SEZ6L,ENSG00000100095.19,3.3790568774799525,-0.8728926562105708,353.94779346912804,6.648577215903815e-62,7.827222210123208e-59,Cluster3_vs_Cluster1,1,3
ENSG00000130176,CNN1,ENSG00000130176.8,3.382615324484586,6.025869009268402,433.16043880465764,1.4098273011512606e-61,1.5724026494050717e-58,Cluster3_vs_Cluster1,1,3
ENSG00000163431,LMOD1,ENSG00000163431.13,2.872889244278203,4.658731683419403,426.14737525859607,6.692113659632303e-61,7.090629028063406e-58,Cluster3_vs_Cluster1,1,3
ENSG00000101335,MYL9,ENSG00000101335.10,2.40038792677834,7.696786974138825,421.09016891673923,1.857362160183104e-60,1.874255311259055e-57,Cluster3_vs_Cluster1,1,3
ENSG00000059915,PSD,ENSG00000059915.17,2.8402884709304685,2.6042803318507906,418.6336736811617,4.5833822133208727e-60,4.4148387492037555e-57,Cluster3_vs_Cluster1,1,3
ENSG00000170091,NSG2,ENSG00000170091.11,2.93890458529875,-0.8479347284084592,347.3054695579839,6.592477436596438e-60,6.07396475473544e-57,Cluster3_vs_Cluster1,1,3
ENSG00000131471,AOC3,ENSG00000131471.7,2.433384069024375,4.862341376764135,415.0037914900877,7.281638645549075e-60,6.429383522409602e-57,Cluster3_vs_Cluster1,1,3
ENSG00000087258,GNAO1,ENSG00000087258.16,2.6306644037501847,2.292562503456556,409.1755572607102,3.608240539562498e-59,3.058489010954756e-56,Cluster3_vs_Cluster1,1,3
ENSG00000174403,MIR1-1HG-AS1,ENSG00000174403.16,2.7974513359662114,-1.2090376467179005,331.72371729482495,1.040008924117429e-58,8.4764727349894e-56,Cluster3_vs_Cluster1,1,3
ENSG00000183114,FAM43B,ENSG00000183114.8,2.566540188843981,-1.7483690309630642,322.6753336272632,1.723349801323081e-58,1.3525742829569412e-55,Cluster3_vs_Cluster1,1,3
ENSG00000175785,PRIMA1,ENSG00000175785.13,3.3974712172481265,0.4804580312816789,366.77673086676555,2.1224595247592827e-58,1.6063228496133556e-55,Cluster3_vs_Cluster1,1,3
ENSG00000018625,ATP1A2,ENSG00000018625.15,3.4277338273757247,1.3505213987786622,381.5196354443448,1.321937236639604e-57,9.659714476424088e-55,Cluster3_vs_Cluster1,1,3
ENSG00000164107,HAND2,ENSG00000164107.9,3.062074219436191,1.0563385156256413,378.93017057647916,2.4515760605642522e-57,1.731711609980569e-54,Cluster3_vs_Cluster1,1,3
ENSG00000197380,DACT3,ENSG00000197380.11,2.1803081414395904,2.286695635916934,387.784818122958,4.299607225572801e-57,2.939128281197201e-54,Cluster3_vs_Cluster1,1,3
ENSG00000075035,WSCD2,ENSG00000075035.10,2.8467128827349963,-0.6864154226973601,324.59580053765086,4.578133651150451e-56,3.0317259437977874e-53,Cluster3_vs_Cluster1,1,3
ENSG00000254510,AP001107.5,ENSG00000254510.2,2.250377219158766,-1.624262802481579,306.9321495507681,1.66594602798608e-55,1.0697897660319096e-52,Cluster3_vs_Cluster1,1,3
ENSG00000133392,MYH11,ENSG00000133392.18,3.474140356215885,8.23586565149295,370.0934775918586,1.806115200411867e-55,1.1256878591743492e-52,Cluster3_vs_Cluster1,1,3
ENSG00000132872,SYT4,ENSG00000132872.12,3.273674215273236,-1.4078917137390514,301.28746094470773,2.4064660363710544e-55,1.457012050763972e-52,Cluster3_vs_Cluster1,1,3
ENSG00000162706,CADM3,ENSG00000162706.13,2.940104787001712,-0.11262753779780979,333.46954789226066,2.6908703782403093e-55,1.5839509495914e-52,Cluster3_vs_Cluster1,1,3
ENSG00000068976,PYGM,ENSG00000068976.14,2.393045975639051,0.5440438764229723,354.207908821696,9.669477387661821e-55,5.5379971708632875e-52,Cluster3_vs_Cluster1,1,3
ENSG00000197256,KANK2,ENSG00000197256.11,1.3031494831873787,6.012189907664336,362.3145149742704,1.1241787635685625e-54,6.269071625995107e-52,Cluster3_vs_Cluster1,1,3
ENSG00000127472,PLA2G5,ENSG00000127472.11,2.2746355187185574,0.19033396252962503,340.7481387090971,8.251381211196751e-54,4.483462031960778e-51,Cluster3_vs_Cluster1,1,3
ENSG00000182175,RGMA,ENSG00000182175.14,2.596219273636772,3.131133175825927,354.6710334419794,8.611921440549124e-54,4.562380681166912e-51,Cluster3_vs_Cluster1,1,3
ENSG00000149575,SCN2B,ENSG00000149575.9,2.5091421771830453,-1.06197568428825,303.0489728298813,1.3531990694785382e-53,6.994058897882854e-51,Cluster3_vs_Cluster1,1,3
ENSG00000054938,CHRDL2,ENSG00000054938.16,3.8524347032018946,3.8962128863626577,352.43954515566776,1.5156996934083804e-53,7.647426715004045e-51,Cluster3_vs_Cluster1,1,3
ENSG00000149591,TAGLN,ENSG00000149591.17,2.4586750646769358,7.704107172909352,349.7997415168515,2.212447511206663e-53,1.0903250048832648e-50,Cluster3_vs_Cluster1,1,3
ENSG00000105737,GRIK5,ENSG00000105737.9,2.371719754235531,0.40450707740096425,339.3917528979881,2.3381572420159948e-53,1.1260884117172942e-50,Cluster3_vs_Cluster1,1,3
ENSG00000159251,ACTC1,ENSG00000159251.8,2.9289646465203454,0.42104400546019316,327.7219765850294,5.4672762306023e-53,2.5746011245042966e-50,Cluster3_vs_Cluster1,1,3
ENSG00000122367,LDB3,ENSG00000122367.20,2.5816349810768933,1.043697590962282,328.8076043731055,1.67710770703889e-51,7.725997699969808e-49,Cluster3_vs_Cluster1,1,3
ENSG00000144891,AGTR1,ENSG00000144891.18,2.842510898273784,-0.22100220268448,301.8191686341318,1.9550318161062955e-51,8.814697705342235e-49,Cluster3_vs_Cluster1,1,3
ENSG00000172020,GAP43,ENSG00000172020.13,2.784184618307541,0.0648969707366612,308.4034957966636,2.532551677172563e-51,1.118068803978412e-48,Cluster3_vs_Cluster1,1,3
ENSG00000067840,PDZD4,ENSG00000067840.12,2.271938540000849,0.5583444676895997,323.3623918305024,3.2535393717683033e-51,1.4070561801457576e-48,Cluster3_vs_Cluster1,1,3
ENSG00000137094,DNAJB5,ENSG00000137094.15,1.7380790566508655,2.57827356181829,329.7071349600576,3.683202712482332e-51,1.5610149736042618e-48,Cluster3_vs_Cluster1,1,3
ENSG00000143028,SYPL2,ENSG00000143028.9,1.953039074485354,-0.5675092588478142,304.5416125892733,4.827419082075594e-51,2.005839956240469e-48,Cluster3_vs_Cluster1,1,3
ENSG00000149596,JPH2,ENSG00000149596.7,2.575250415800729,3.0759448443163713,326.7835066623999,7.610748379164992e-51,3.1015263250554875e-48,Cluster3_vs_Cluster1,1,3
ENSG00000022267,FHL1,ENSG00000022267.19,2.1036721589484917,4.970507480581402,320.6655293635805,2.912668507715098e-50,1.1645727989998235e-47,Cluster3_vs_Cluster1,1,3
ENSG00000095713,CRTAC1,ENSG00000095713.14,2.7704072441267016,-0.33755922525611887,286.46153422434867,1.0777564527185373e-49,4.229395738807134e-47,Cluster3_vs_Cluster1,1,3
ENSG00000092051,JPH4,ENSG00000092051.17,2.073730342548601,-1.0609538968846637,279.2721464456646,1.4225034510063339e-49,5.480776478231859e-47,Cluster3_vs_Cluster1,1,3
