ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR
ENSG00000164930,FZD6,ENSG00000164930.12,-1.9435549241115988,6.86911651381995,142.725814392901,1.4331256646202106e-20,3.6018747328899753e-16
ENSG00000271134,IFITM3P9,ENSG00000271134.1,-3.8995937106426974,-1.1261715525594043,115.33374318245839,1.4721482832395334e-19,1.8499751401329596e-15
ENSG00000258955,LINC00519,ENSG00000258955.2,-4.766007502621802,1.6812997536089729,117.80697696834146,2.27159548475682e-18,1.3097111733793225e-14
ENSG00000166407,LMO1,ENSG00000166407.14,-4.313909995711137,-0.7129426817290281,105.4558089809319,2.346596562994519e-18,1.3097111733793225e-14
ENSG00000139324,TMTC3,ENSG00000139324.12,-1.6868468116497888,6.311401193741303,118.11663131944051,2.6055607634968417e-18,1.3097111733793225e-14
ENSG00000227879,PSPC1P1,ENSG00000227879.2,-4.594827658671446,0.3159927884990808,105.98584316892925,1.0448655426815671e-17,4.3767676140359706e-14
ENSG00000147650,LRP12,ENSG00000147650.11,-2.5353211846907837,4.649548310930094,110.2482694422288,1.5711120441944527e-17,5.640965572391312e-14
ENSG00000185963,BICD2,ENSG00000185963.14,-2.1797814936513995,7.394238686359848,108.59710899017192,2.3018559623022583e-17,7.231568237567832e-14
ENSG00000171658,NMRAL2P,ENSG00000171658.8,-5.269977291154127,4.852177387472544,107.90081529215004,2.79533062215554e-17,7.289634862768785e-14
ENSG00000182557,SPNS3,ENSG00000182557.8,2.759405236344681,0.007820851645802963,107.8359761293142,2.900423691071016e-17,7.289634862768785e-14
ENSG00000272734,ADIRF-AS1,ENSG00000272734.1,-2.3341273383411765,2.829926303552423,106.7904334541979,3.5779530975903885e-17,8.174972291067204e-14
ENSG00000118200,CAMSAP2,ENSG00000118200.14,-1.2074898734405266,6.412802480178054,104.6867598197115,5.806130984591971e-17,1.2160457502979168e-13
ENSG00000154642,C21orf91,ENSG00000154642.11,-1.7702225480754856,4.783309012536363,100.52383709341917,1.58753650763213e-16,2.915006597321508e-13
ENSG00000115295,CLIP4,ENSG00000115295.20,-2.196589910909386,5.289136470436196,100.430765044873,1.623765263299292e-16,2.915006597321508e-13
ENSG00000238755,LINC02006,ENSG00000238755.3,-3.695584977109048,0.31790279119138204,98.63370252458763,1.7590919925862221e-16,2.947417269977968e-13
ENSG00000023608,SNAPC1,ENSG00000023608.5,-1.7098456059565617,3.525894503274859,98.41415248291501,2.675575423618141e-16,4.105306761466121e-13
ENSG00000288611,NPBWR1,ENSG00000288611.1,-5.143437317740058,1.748485447865643,96.9730935156489,2.7768358311751105e-16,4.105306761466121e-13
ENSG00000279286,AL133373.3,ENSG00000279286.2,3.6550431862496167,0.19625043462778366,97.02811006677761,3.3682382825285746e-16,4.702996264155037e-13
ENSG00000259342,AC025580.1,ENSG00000259342.1,4.133508023633885,0.5051487024640327,96.15115871457171,3.9410613479772863e-16,5.213194466248061e-13
ENSG00000179073,TAAR3P,ENSG00000179073.6,3.6326252303868207,-1.5847650136513036,88.4672329548802,4.4304582514541515e-16,5.56753536168986e-13
ENSG00000154645,CHODL,ENSG00000154645.14,-4.219649003268495,1.9418906163084466,95.90216620461814,5.098682305730337e-16,6.102151542377169e-13
ENSG00000131781,FMO5,ENSG00000131781.13,2.9645390572048522,4.211493373128147,95.38966123972205,5.675159912940264e-16,6.483354276905803e-13
ENSG00000258657,AL136018.1,ENSG00000258657.5,-4.484710915515428,0.5423982747531331,91.87534861144246,6.41469658026326e-16,7.009589963119848e-13
ENSG00000106689,LHX2,ENSG00000106689.11,-4.006686971036524,1.4122485493806376,94.38493008480546,7.12394611991259e-16,7.460255742990129e-13
ENSG00000171444,MCC,ENSG00000171444.18,-2.2581009171929973,5.766912360078515,94.16537525318488,7.69683972155947e-16,7.737786908878167e-13
ENSG00000063660,GPC1,ENSG00000063660.9,-2.5443499347868492,8.327594279386757,93.50676849964546,9.091732171957615e-16,8.788557872223491e-13
ENSG00000229647,MYOSLID,ENSG00000229647.2,-3.3745183703773445,1.1826426666346506,92.72683129486116,1.1403180299179487e-15,1.061467149849178e-12
ENSG00000185742,C11orf87,ENSG00000185742.7,-6.026796776785934,1.9494305767884994,89.2446796973111,1.1957506251527641e-15,1.0733143022130152e-12
ENSG00000244004,RPS3AP19,ENSG00000244004.1,2.931753721333884,-1.4834391480604863,88.54784230811254,1.3932606466503124e-15,1.0962932178536252e-12
ENSG00000283235,AC139493.2,ENSG00000283235.2,3.027313050892386,-1.794246042982871,86.48597933443055,1.4081896467949705e-15,1.0962932178536252e-12
ENSG00000135454,B4GALNT1,ENSG00000135454.14,-3.324944529449575,3.827808878631967,91.81100015669591,1.4162376856178102e-15,1.0962932178536252e-12
ENSG00000263429,TMEM238L,ENSG00000263429.3,3.752133141085564,-1.5583387511123474,83.94925046287173,1.4432096907779085e-15,1.0962932178536252e-12
ENSG00000259178,AC023906.2,ENSG00000259178.1,-3.89411847148115,-1.1687730129411507,82.67845378894768,1.479515352444204e-15,1.0962932178536252e-12
ENSG00000249628,LINC00942,ENSG00000249628.3,-6.568963979940359,3.6267187607815736,91.24910038462491,1.4830688499989359e-15,1.0962932178536252e-12
ENSG00000170484,KRT74,ENSG00000170484.10,-3.8613197714479446,-0.6795506800319759,85.53467986444593,1.5739719767214786e-15,1.1005802879306244e-12
ENSG00000231971,CT69,ENSG00000231971.6,-5.155186807267806,1.3897997795874308,89.23707112029795,1.5764489064378497e-15,1.1005802879306244e-12
ENSG00000226756,AC007365.1,ENSG00000226756.1,-2.137835504972374,-2.1979632494474575,84.66663447592626,1.7558277433228888e-15,1.1926815857549775e-12
ENSG00000211979,IGHV7-81,ENSG00000211979.2,3.1246049590164797,-1.7462202569547098,84.93711243634925,2.032227553987511e-15,1.3441046082728453e-12
ENSG00000253315,LINC01932,ENSG00000253315.1,-3.267827350543285,-1.3049377243167632,83.71348294973517,2.2652628909254075e-15,1.4556813090640594e-12
ENSG00000160868,CYP3A4,ENSG00000160868.15,4.663565381135796,0.6605680764336003,88.53941991395482,2.316764905206795e-15,1.4556813090640594e-12
ENSG00000287684,AL392172.1,ENSG00000287684.1,3.5407079783299036,-0.8701760415742993,85.4766016668461,3.561123535239359e-15,2.131650005631521e-12
ENSG00000136872,ALDOB,ENSG00000136872.20,5.536006279570739,4.365154711904113,88.31632697249943,3.5622209937740766e-15,2.131650005631521e-12
ENSG00000279502,AC016542.2,ENSG00000279502.1,2.296954527461137,-0.23633660661218156,87.79779968262325,4.200493471211985e-15,2.455139590976066e-12
ENSG00000196083,IL1RAP,ENSG00000196083.10,-2.1517395007026097,5.823329775542792,87.29076876255937,4.516023904314987e-15,2.579573381526104e-12
ENSG00000114770,ABCC5,ENSG00000114770.17,-2.467545743354613,7.610929814976191,86.66420651395413,5.323973116593626e-15,2.9734981408743908e-12
