ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR,comparison,cluster1,cluster2
ENSG00000174429,ABRA,ENSG00000174429.4,-5.403420037970404,-0.7855927434086276,1885.8458596053388,6.629102172358295e-245,1.4800796420224364e-240,Cluster2_vs_Cluster1,1,2
ENSG00000240045,STRIT1,ENSG00000240045.2,-6.495714831334824,0.1598936024765529,1807.679764619422,5.874080346755649e-239,6.557529595100669e-235,Cluster2_vs_Cluster1,1,2
ENSG00000163833,FBXO40,ENSG00000163833.8,-5.82630050878613,-0.17031560035187718,1755.9195259701078,3.559786888882476e-230,2.6493120622693013e-226,Cluster2_vs_Cluster1,1,2
ENSG00000278464,AC068506.1,ENSG00000278464.2,-6.043244555907373,-0.21426015469548182,1702.508011744773,2.3068596773332786e-229,1.2876314003955028e-225,Cluster2_vs_Cluster1,1,2
ENSG00000226306,NPY6R,ENSG00000226306.6,-5.243624085010307,-0.8779776290707351,1654.4894486812648,1.6564648712654662e-224,7.396778236148812e-221,Cluster2_vs_Cluster1,1,2
ENSG00000165192,ASB11,ENSG00000165192.14,-5.576101425931021,-1.3064784890793835,1666.6106288147328,1.6703771571593463e-221,6.215751797982788e-218,Cluster2_vs_Cluster1,1,2
ENSG00000146809,ASB15,ENSG00000146809.13,-5.159127862787089,-1.4103935708446105,1597.5495545627077,4.917489987867959e-220,1.5684685565589702e-216,Cluster2_vs_Cluster1,1,2
ENSG00000154415,PPP1R3A,ENSG00000154415.8,-6.013770186322605,0.053619224604732854,1585.8101450214324,1.662434772404292e-214,4.639647645433828e-211,Cluster2_vs_Cluster1,1,2
ENSG00000265142,MIR133A1HG,ENSG00000265142.9,-4.906911897474813,-1.2662130127323896,1504.9509261342002,7.904455914488936e-212,1.9609198578088277e-208,Cluster2_vs_Cluster1,1,2
ENSG00000177752,YIPF7,ENSG00000177752.14,-4.869441248542063,-1.688920549016917,1498.7797748875191,2.529939924624983e-210,5.648596869710199e-207,Cluster2_vs_Cluster1,1,2
ENSG00000174407,MIR1-1HG,ENSG00000174407.13,-5.706185010315874,-1.021084673730852,1475.869542529405,1.3512672514424576e-207,2.7427039929959776e-204,Cluster2_vs_Cluster1,1,2
ENSG00000146926,ASB10,ENSG00000146926.11,-5.389593950093711,-1.4643045223621594,1426.2880701695583,6.528241509431937e-200,1.2146337348423906e-196,Cluster2_vs_Cluster1,1,2
ENSG00000010282,HHATL,ENSG00000010282.15,-5.76402843423489,0.4127074864895108,1578.1623920295872,1.2382592873040574e-199,2.1266627005875146e-196,Cluster2_vs_Cluster1,1,2
ENSG00000260542,AL499627.1,ENSG00000260542.1,-5.363672754928008,-1.3385815085624935,1391.9877734611114,2.6985086277594094e-199,4.303543009427452e-196,Cluster2_vs_Cluster1,1,2
ENSG00000280323,AC053503.5,ENSG00000280323.1,-5.051487411425341,-1.0266479313101546,1277.6986124265784,2.189847867238439e-188,3.259515555455509e-185,Cluster2_vs_Cluster1,1,2
ENSG00000163157,TMOD4,ENSG00000163157.15,-4.743888358197704,1.5819986041669463,1739.3882827214175,5.497732363922587e-171,7.671741905581225e-168,Cluster2_vs_Cluster1,1,2
ENSG00000168509,HJV,ENSG00000168509.20,-6.0203746663396975,1.1940112627685806,1369.2620006984255,2.8112093046450982e-170,3.6921100085183e-167,Cluster2_vs_Cluster1,1,2
ENSG00000183230,CTNNA3,ENSG00000183230.17,-4.267207386903404,-0.42992250598202814,1196.9760511933991,1.1482013743330768e-157,1.4242162269297004e-154,Cluster2_vs_Cluster1,1,2
ENSG00000101605,MYOM1,ENSG00000101605.13,-4.714015258723081,3.2388680466271733,1493.46620492787,7.3670809839096116e-155,8.657095638302626e-152,Cluster2_vs_Cluster1,1,2
ENSG00000140795,MYLK3,ENSG00000140795.13,-4.650987842617973,0.47669709222637835,1280.140871219094,2.829409367231052e-154,3.158611147108385e-151,Cluster2_vs_Cluster1,1,2
