ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR
ENSG00000197616,MYH6,ENSG00000197616.13,-4.636468038643578,0.7617698079358248,199.3391028415332,4.1628300874263044e-36,8.182875102853886e-32
ENSG00000181418,DDN,ENSG00000181418.8,-3.9333362946748243,3.500908679304364,211.6194106070746,1.5536339836392408e-35,1.5269891608198277e-31
ENSG00000248713,C4orf54,ENSG00000248713.1,-3.953416563326576,1.4854317776796844,170.9970921262743,9.699024514435402e-31,6.355124162675223e-27
ENSG00000273540,AGBL1,ENSG00000273540.4,-3.9571797985343387,1.215391392471773,160.08637398083903,2.1182204342899423e-29,1.0409464769209348e-25
ENSG00000120729,MYOT,ENSG00000120729.10,-4.465668553455135,2.2217815523672884,159.20517071981,5.047621357675891e-29,1.6698182446193404e-25
ENSG00000131730,CKMT2,ENSG00000131730.16,-3.926706161954075,2.6025864086854944,160.44268515822523,5.09686598550951e-29,1.6698182446193404e-25
ENSG00000101605,MYOM1,ENSG00000101605.13,-3.5989025941235493,3.4857479802445663,157.75624885910176,1.2301227933082278e-28,2.6497377979918095e-25
ENSG00000251257,AC010457.1,ENSG00000251257.2,-3.5848799511868137,-0.5540408065882377,145.2713551076065,1.313888807485881e-28,2.6497377979918095e-25
ENSG00000183230,CTNNA3,ENSG00000183230.17,-3.3183762551782174,-0.23529213611381836,149.3943360961496,1.3278113473317327e-28,2.6497377979918095e-25
ENSG00000140795,MYLK3,ENSG00000140795.13,-3.6633632829857956,0.664609253885918,152.98405089231568,1.3479868738829981e-28,2.6497377979918095e-25
ENSG00000164309,CMYA5,ENSG00000164309.15,-3.8034038898376865,5.682111922908966,152.26041329308595,6.613892668556043e-28,1.1819026198709649e-24
ENSG00000007314,SCN4A,ENSG00000007314.12,-3.9920660012182996,1.9883484951080577,146.2690935332125,3.702603001824177e-27,6.065172267238153e-24
ENSG00000157119,KLHL40,ENSG00000157119.12,-4.4346914911200335,1.7354641014251655,142.3712854372489,7.684062175442654e-27,1.0907535039480544e-23
ENSG00000170681,CAVIN4,ENSG00000170681.7,-3.2388353810934296,3.2056561597038806,144.7568818973255,7.768504377714179e-27,1.0907535039480544e-23
ENSG00000155657,TTN,ENSG00000155657.28,-4.133569672108349,7.095810707351613,144.02419311501782,9.318088749430693e-27,1.2211044703170608e-23
ENSG00000163157,TMOD4,ENSG00000163157.15,-3.5002702969317046,1.9056505263561498,143.60046919283945,1.0251594537507669e-26,1.2594724613986765e-23
ENSG00000177354,C10orf71,ENSG00000177354.12,-4.675873135807504,2.3723995786690097,139.63506402583013,2.788663953733587e-26,3.2245157257965364e-23
ENSG00000070182,SPTB,ENSG00000070182.21,-3.0225378480836262,4.036944043916834,139.19900771842242,4.6197552690766204e-26,5.045029406902174e-23
ENSG00000122367,LDB3,ENSG00000122367.20,-3.8563167529646827,3.8325353974727854,139.05120683254114,4.995818056255056e-26,5.1685681858845073e-23
ENSG00000004776,HSPB6,ENSG00000004776.13,-3.5258670352173342,2.3353320097367622,136.85993570814503,1.0149607855068259e-25,9.975542080353839e-23
ENSG00000168509,HJV,ENSG00000168509.20,-4.455195724014409,1.5855134470959094,133.21436507531143,1.4064660932806784e-25,1.3165192378865855e-22
ENSG00000068976,PYGM,ENSG00000068976.14,-4.5101373600932675,4.0571638237556735,135.2219594516268,1.7883754920259189e-25,1.5979135021251585e-22
ENSG00000143028,SYPL2,ENSG00000143028.9,-3.224404955444189,1.784954334784688,134.8302123264176,1.9082015230459603e-25,1.6308485799354105e-22
ENSG00000136383,ALPK3,ENSG00000136383.7,-2.118513858162967,3.9705301842395597,133.84926552214614,2.6867675133725136e-25,2.2005745420984793e-22
ENSG00000183091,NEB,ENSG00000183091.19,-3.9942857886460645,7.044972027527192,132.03020972033428,4.897348323113524e-25,3.8506870394977013e-22
ENSG00000160808,MYL3,ENSG00000160808.11,-3.8927478170539977,2.625402814975466,130.2381967545376,9.190800477833858e-25,6.948598653568467e-22
ENSG00000101892,ATP1B4,ENSG00000101892.12,-3.7317398274795366,0.8486045541988531,126.51426227792821,1.3500453866872904e-24,9.828830431893358e-22
ENSG00000163380,LMOD3,ENSG00000163380.16,-4.010433662861491,3.291739767176246,128.34426931803614,1.7932209894295557e-24,1.2589051781863136e-21
ENSG00000135902,CHRND,ENSG00000135902.10,-4.333152250263964,2.6216651084213085,127.47636704664623,2.163417231415543e-24,1.4664238799288044e-21
ENSG00000004799,PDK4,ENSG00000004799.8,-3.0815076494194553,4.103399283152242,125.8454832850717,4.038768467859192e-24,2.646335725756938e-21
ENSG00000124701,APOBEC2,ENSG00000124701.5,-4.118831275414494,2.478428526520789,125.04696336084062,5.028715909997235e-24,3.1886925368650207e-21
ENSG00000165887,ANKRD2,ENSG00000165887.12,-2.626407942918354,1.5937013864906557,124.9460675882121,5.605288465041763e-24,3.443223604916436e-21
ENSG00000104848,KCNA7,ENSG00000104848.1,-2.73187627547549,0.3938265038814569,123.46262451153902,5.96431760641167e-24,3.476317446618315e-21
ENSG00000101306,MYLK2,ENSG00000101306.11,-2.804220703935895,1.3853695832252302,124.59919029506965,6.012860211884963e-24,3.476317446618315e-21
ENSG00000153531,ADPRHL1,ENSG00000153531.13,-2.342951541723306,3.6105146290165724,124.49849701377934,6.378674291042351e-24,3.582445729686271e-21
ENSG00000185739,SRL,ENSG00000185739.13,-3.4801680263388053,3.435540686367836,124.34019823834244,6.933708972707271e-24,3.78599770212519e-21
ENSG00000018625,ATP1A2,ENSG00000018625.15,-3.968474550190811,3.7593841209843264,124.22928265208891,7.223944874652267e-24,3.8378671459740435e-21
ENSG00000172399,MYOZ2,ENSG00000172399.6,-4.1859922315023,2.4214290731201134,121.61579068855904,1.58801639775153e-23,8.205813261227971e-21
ENSG00000171714,ANO5,ENSG00000171714.12,-3.017148179968824,1.0226144080849056,121.21543599644124,1.628054724464012e-23,8.205813261227971e-21
ENSG00000138347,MYPN,ENSG00000138347.16,-4.132368519293445,3.135853514917121,121.26817750009886,1.9912371339455258e-23,9.7854370854918e-21
ENSG00000172995,ARPP21,ENSG00000172995.16,-3.9615746371969345,1.7507980509318894,120.34396300933399,2.0611097365672806e-23,9.881764412610496e-21
ENSG00000159173,TNNI1,ENSG00000159173.19,-3.5045199274769177,6.500104628287558,120.93275739390116,2.1405009160199285e-23,1.0018053930048508e-20
ENSG00000163827,LRRC2,ENSG00000163827.13,-3.190294976156762,1.0811354328940477,119.91381910180253,2.4448021959985003e-23,1.117615738761454e-20
ENSG00000173641,HSPB7,ENSG00000173641.18,-4.057541816984324,5.186101079603098,119.97271638635453,3.0238261921541834e-23,1.3350946559592451e-20
ENSG00000196296,ATP2A1,ENSG00000196296.14,-3.8921049470765223,4.601621870580878,119.9664572991864,3.0563798910396315e-23,1.3350946559592451e-20
ENSG00000164591,MYOZ3,ENSG00000164591.14,-3.3398166022565308,1.7059313792464275,119.54579264377074,3.309873143020618e-23,1.4143951385294846e-20
ENSG00000133878,DUSP26,ENSG00000133878.9,-3.5110987239710685,2.0748241238239817,119.47160266900836,3.542099739532979e-23,1.4814266931914845e-20
ENSG00000164440,TXLNB,ENSG00000164440.15,-2.819643776975384,2.4866359896293035,119.17101399296587,4.143336570266176e-23,1.6903811357243756e-20
