ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR
ENSG00000200087,SNORA73B,ENSG00000200087.1,7.60984373313787,4.9706011018854745,217.63707163515724,9.598891589269042e-37,1.421503163511236e-32
ENSG00000212232,SNORD17,ENSG00000212232.1,7.179769588578257,4.824795796227906,216.86227393816847,1.3043108349876001e-36,1.421503163511236e-32
ENSG00000251791,SCARNA6,ENSG00000251791.1,6.559577343389631,3.0163833686734556,209.08175696776732,4.6047049311541546e-36,3.345625112812237e-32
ENSG00000117601,SERPINC1,ENSG00000117601.14,-6.87588481391785,3.87892708118713,193.11672009591177,2.976851729488004e-34,1.6221609286912506e-30
ENSG00000202538,RNU4-2,ENSG00000202538.1,7.790197242135499,5.5597467113622185,191.14313980376022,2.2377040100784452e-33,9.755046861535974e-30
ENSG00000168298,H1-4,ENSG00000168298.7,4.970498295056721,1.4350929051310224,184.68583053248364,6.643317874978917e-33,2.4134066620152576e-29
ENSG00000184260,H2AC20,ENSG00000184260.6,3.5097921257473055,0.2644000244441238,167.98189657432073,1.5956604620119633e-30,4.96865872721068e-27
ENSG00000276168,RN7SL1,ENSG00000276168.1,6.205877067788844,9.764433520061834,167.1096596875785,3.112512972341995e-30,8.480430657267308e-27
ENSG00000123561,SERPINA7,ENSG00000123561.15,-4.825619151057266,1.5063707355255966,160.29320132730436,5.125860091303059e-30,1.2414263601125864e-26
ENSG00000208772,SNORD94,ENSG00000208772.1,3.7589964818432953,0.9303935708277777,154.30642746178737,1.7052514928448715e-28,3.716936678953966e-25
ENSG00000238741,SCARNA7,ENSG00000238741.1,4.825705897041666,2.555259976276501,151.69768206945113,4.583235870451492e-28,9.081890206202835e-25
ENSG00000151655,ITIH2,ENSG00000151655.19,-5.064171827019821,3.2842599465242976,146.5477313994087,2.2052798345585852e-27,4.005707046156124e-24
ENSG00000106927,AMBP,ENSG00000106927.12,-4.752810609143238,4.711442702896289,136.11816887929973,7.798374745684135e-26,1.3075474948590546e-22
ENSG00000280109,PLAC4,ENSG00000280109.3,4.5843013047307295,2.307616610578481,133.11937773970158,2.1820888217751806e-25,3.3973564320166866e-22
ENSG00000086159,AQP6,ENSG00000086159.13,-6.141564080557269,4.476894342689445,128.93072650713492,8.58009231860511e-25,1.2468018151242372e-21
ENSG00000124664,SPDEF,ENSG00000124664.11,3.1799083605179774,0.1920065303056836,125.4533124361054,2.423870589489462e-24,3.3020692024438625e-21
ENSG00000279166,AC009951.4,ENSG00000279166.1,2.7526674729849425,-0.5129921693866921,124.49696634893604,2.934225966744243e-24,3.762195493948486e-21
ENSG00000224367,OACYLP,ENSG00000224367.6,4.388073395994567,3.8263400518835056,124.08909111609873,4.770012303387097e-24,5.776219898718253e-21
ENSG00000172482,AGXT,ENSG00000172482.5,-3.9666277724018366,3.1895158624215796,122.88134820074711,7.383776507432547e-24,8.470746133289854e-21
ENSG00000186081,KRT5,ENSG00000186081.12,3.2170571837324937,0.9649238021982507,122.0537471478943,9.889600569742531e-24,1.0778181180933896e-20
ENSG00000214814,FER1L6,ENSG00000214814.7,-3.5336947439105266,0.4983536983470433,118.87734201928825,1.2591622218771778e-23,1.306950426202707e-20
ENSG00000163631,ALB,ENSG00000163631.17,-5.989185575535881,7.871366985071366,116.00683271460754,7.964743296584295e-23,7.891250437983994e-20
ENSG00000109072,VTN,ENSG00000109072.14,-4.798113561367548,3.979287915514383,114.45027939700618,1.4406535257608287e-22,1.365301082652556e-19
ENSG00000241560,ZBTB20-AS1,ENSG00000241560.7,2.6774450429858314,-0.3491981913947442,112.17811289815248,2.6921125224232554e-22,2.444999027135821e-19
ENSG00000091583,APOH,ENSG00000091583.11,-5.423884835077405,5.141844199832232,111.87324398445091,3.59914811922665e-22,3.1125304976586674e-19
ENSG00000186847,KRT14,ENSG00000186847.6,2.75896919700529,-0.5008956549742238,110.86302697226047,3.712703259123978e-22,3.1125304976586674e-19
ENSG00000256045,MTRNR2L10,ENSG00000256045.3,1.9971818197892335,-1.439542652818418,108.73438021972396,5.700601561062882e-22,4.60207452690695e-19
ENSG00000134551,PRH2,ENSG00000134551.13,1.9921388856464803,-1.128770311724237,108.91229720231728,7.517615268608903e-22,5.852195000352437e-19
ENSG00000099937,SERPIND1,ENSG00000099937.11,-4.782596143182135,2.945698517107253,109.46091933025829,7.947406292320626e-22,5.973434998403886e-19
