ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR,comparison,cluster1,cluster2
ENSG00000145192,AHSG,ENSG00000145192.13,4.853856967896084,2.198466039276,409.3662492939342,8.188446412041576e-68,1.9062703247232788e-63,Cluster2_vs_Cluster1,1,2
ENSG00000205981,DNAJC19,ENSG00000205981.8,1.0159105738768484,5.557695066226844,271.6346721629054,2.5033618310965467e-49,2.91391317139638e-45,Cluster2_vs_Cluster1,1,2
ENSG00000139540,SLC39A5,ENSG00000139540.12,2.896892977018305,-0.1510172356499588,223.67599438821435,6.998128400844518e-43,5.430547639055346e-39,Cluster2_vs_Cluster1,1,2
ENSG00000250039,AC096719.1,ENSG00000250039.4,2.1082509943620242,-1.688777923289082,204.593129195314,4.201529566661735e-41,2.4452902077971298e-37,Cluster2_vs_Cluster1,1,2
ENSG00000162804,SNED1,ENSG00000162804.14,-1.2429735347131559,3.5696842937019855,214.44790353975574,7.605060696413762e-41,3.540916260250248e-37,Cluster2_vs_Cluster1,1,2
ENSG00000163882,POLR2H,ENSG00000163882.9,0.8272710298499669,6.745726434668102,210.22105790141453,3.3746788851052207e-40,1.3093754074208256e-36,Cluster2_vs_Cluster1,1,2
ENSG00000136521,NDUFB5,ENSG00000136521.13,0.9223860962469652,7.184866074748746,200.79018313919522,9.984467706183199e-39,3.320548688570641e-35,Cluster2_vs_Cluster1,1,2
ENSG00000136518,ACTL6A,ENSG00000136518.17,0.8951593149424667,7.003207727901145,199.64786614879753,1.5095514932425559e-38,4.392794845335838e-35,Cluster2_vs_Cluster1,1,2
ENSG00000121864,ZNF639,ENSG00000121864.10,0.8429127851422802,6.241301601181854,190.1833357505863,4.759941186935609e-37,1.2312381203540107e-33,Cluster2_vs_Cluster1,1,2
ENSG00000138823,MTTP,ENSG00000138823.13,2.121902371738977,-0.1055295640482943,180.78742066270087,1.1834083633652665e-35,2.75497466991434e-32,Cluster2_vs_Cluster1,1,2
ENSG00000165424,ZCCHC24,ENSG00000165424.7,-1.0642160162670316,4.248317214459551,177.72053538540106,4.833104566574313e-35,1.0228606755440909e-31,Cluster2_vs_Cluster1,1,2
ENSG00000197256,KANK2,ENSG00000197256.11,-0.874876468389691,5.50367893240208,175.9977647621635,9.180147783691887e-35,1.780948670036226e-31,Cluster2_vs_Cluster1,1,2
ENSG00000183908,LRRC55,ENSG00000183908.7,-3.637700087840924,2.1086939818169634,171.55380245300745,4.4855220803501605e-34,8.032534925427056e-31,Cluster2_vs_Cluster1,1,2
ENSG00000136527,TRA2B,ENSG00000136527.18,0.4838244789343883,7.67592802598008,169.95608834193843,8.924304540406068e-34,1.416750941721736e-30,Cluster2_vs_Cluster1,1,2
ENSG00000168140,VASN,ENSG00000168140.5,-1.3165140042589245,4.4453473243500286,169.90416843656962,9.12854988222768e-34,1.416750941721736e-30,Cluster2_vs_Cluster1,1,2
ENSG00000119681,LTBP2,ENSG00000119681.12,-1.1562002626489667,7.387359276684025,169.62834347526422,1.0102209714960462e-33,1.4698715135267473e-30,Cluster2_vs_Cluster1,1,2
ENSG00000114416,FXR1,ENSG00000114416.18,0.7893275646274072,8.051045718377434,168.72355064309238,1.4229544883280024e-33,1.948610616957406e-30,Cluster2_vs_Cluster1,1,2
ENSG00000136522,MRPL47,ENSG00000136522.14,0.7398691332079343,6.175801814065903,167.5752678677316,2.199396182038949e-33,2.8445523954370403e-30,Cluster2_vs_Cluster1,1,2
ENSG00000187955,COL14A1,ENSG00000187955.12,-1.9943171288560624,5.521881067359599,167.31537783711977,2.431360294539496e-33,2.9790561924673407e-30,Cluster2_vs_Cluster1,1,2
ENSG00000284753,EEF1AKMT4,ENSG00000284753.2,1.0650654136217625,3.966237351485133,166.96134131250145,2.788775025113727e-33,3.246134129232378e-30,Cluster2_vs_Cluster1,1,2
ENSG00000123243,ITIH5,ENSG00000123243.15,-2.284556522328733,3.852527653116524,166.54786756629824,3.295512638237826e-33,3.6533111532465045e-30,Cluster2_vs_Cluster1,1,2
ENSG00000258608,DNAJC19P9,ENSG00000258608.1,1.276042255894102,-2.3452991826283225,154.95860469565733,1.0337344701149244e-32,1.0938790211034293e-29,Cluster2_vs_Cluster1,1,2
ENSG00000106991,ENG,ENSG00000106991.14,-0.9101867242854279,6.240582838231648,162.67838097820132,1.420436836427401e-32,1.4377291109578214e-29,Cluster2_vs_Cluster1,1,2
ENSG00000019144,PHLDB1,ENSG00000019144.19,-0.8840511341636239,5.43903934309461,160.7334639420419,2.991816886967301e-32,2.9020623803582816e-29,Cluster2_vs_Cluster1,1,2
ENSG00000101665,SMAD7,ENSG00000101665.9,-0.8810535724853689,4.5571245811349845,160.2968616129782,3.5429435520977563e-32,3.299189035713431e-29,Cluster2_vs_Cluster1,1,2
ENSG00000142303,ADAMTS10,ENSG00000142303.14,-1.132447380892663,2.330800378756895,159.80976879445797,4.394901025613057e-32,3.9351267644719983e-29,Cluster2_vs_Cluster1,1,2
ENSG00000131018,SYNE1,ENSG00000131018.24,-1.2672531426995193,4.992039558231129,158.79999518876903,6.293354717550539e-32,5.426270289799131e-29,Cluster2_vs_Cluster1,1,2
ENSG00000254810,AP001189.3,ENSG00000254810.1,-1.3164383813077232,-1.377027224935213,153.5037429771578,1.4770774799736095e-31,1.2280844190637725e-28,Cluster2_vs_Cluster1,1,2
ENSG00000179954,SSC5D,ENSG00000179954.16,-1.4768129379177743,4.03239038980105,156.40235495096843,1.5913196711469938e-31,1.2774455842862764e-28,Cluster2_vs_Cluster1,1,2
ENSG00000135069,PSAT1,ENSG00000135069.14,1.1495614854276996,6.556624854195509,155.6320059593545,2.1315008463241526e-31,1.6540446567475425e-28,Cluster2_vs_Cluster1,1,2
ENSG00000163145,C1QTNF7,ENSG00000163145.13,-1.6204756422192,0.46193785471913124,154.9686328624746,2.8068333414259176e-31,2.1078412963998505e-28,Cluster2_vs_Cluster1,1,2
ENSG00000133121,STARD13,ENSG00000133121.21,-1.0598837612042133,3.4252897561090885,153.36093623488102,5.177543534788531e-31,3.766662921558656e-28,Cluster2_vs_Cluster1,1,2
ENSG00000158270,COLEC12,ENSG00000158270.12,-1.4327380553048745,4.49078985167818,153.0088226408577,5.901270068100859e-31,4.163077793496606e-28,Cluster2_vs_Cluster1,1,2
ENSG00000175899,A2M,ENSG00000175899.15,-1.3464401599498892,8.874215957015842,152.66027690022753,6.7386852351278315e-31,4.614017419816939e-28,Cluster2_vs_Cluster1,1,2
ENSG00000118526,TCF21,ENSG00000118526.7,-1.6286210377575743,0.38507648489532575,151.25741027628405,1.1669631436635342e-30,7.761971995567736e-28,Cluster2_vs_Cluster1,1,2
ENSG00000174348,PODN,ENSG00000174348.14,-1.3576968750075342,4.480646898396144,150.70495371972368,1.4447335662657297e-30,9.342610395185051e-28,Cluster2_vs_Cluster1,1,2
ENSG00000224877,NDUFAF8,ENSG00000224877.4,0.7017406345347489,4.52588422839489,150.4698973486726,1.581795834242558e-30,9.952488384099121e-28,Cluster2_vs_Cluster1,1,2
ENSG00000131471,AOC3,ENSG00000131471.7,-1.3924757335865579,4.867536091818346,150.08075224052158,1.8407866451041786e-30,1.1277240288954021e-27,Cluster2_vs_Cluster1,1,2
ENSG00000103710,RASL12,ENSG00000103710.11,-1.0092622325537652,2.942725761991577,149.41783566902387,2.4119563469093605e-30,1.4397524040012797e-27,Cluster2_vs_Cluster1,1,2
ENSG00000143977,SNRPG,ENSG00000143977.14,0.7848914357918176,6.280121433665271,149.23554648340206,2.5557360063787747e-30,1.487438355712447e-27,Cluster2_vs_Cluster1,1,2
ENSG00000176956,LY6H,ENSG00000176956.13,-2.5488907263648493,0.08298431917545084,147.73938936594647,2.7485024822115687e-30,1.56061311672891e-27,Cluster2_vs_Cluster1,1,2
ENSG00000066056,TIE1,ENSG00000066056.14,-0.9739833789595123,4.095551883149264,148.4053758690603,3.545778262729025e-30,1.965374237055517e-27,Cluster2_vs_Cluster1,1,2
ENSG00000125810,CD93,ENSG00000125810.10,-1.0924568591078707,5.890542760491376,148.06003825175173,4.0455690228730814e-30,2.1795040007470477e-27,Cluster2_vs_Cluster1,1,2
ENSG00000177565,TBL1XR1,ENSG00000177565.18,0.7752667472596863,8.35016137981994,148.01354993358018,4.1193374584566195e-30,2.1795040007470477e-27,Cluster2_vs_Cluster1,1,2
ENSG00000140092,FBLN5,ENSG00000140092.14,-1.1776479828472965,4.637778550935538,147.52670194760574,4.991722211086466e-30,2.5823842905353986e-27,Cluster2_vs_Cluster1,1,2
ENSG00000196569,LAMA2,ENSG00000196569.13,-1.3019062964350347,4.4086701235060834,147.45964262643753,5.1284429877333345e-30,2.595438103357218e-27,Cluster2_vs_Cluster1,1,2
ENSG00000138080,EMILIN1,ENSG00000138080.14,-1.2930098206781986,6.559516594166768,147.17755197666057,5.713522235728546e-30,2.830016971228948e-27,Cluster2_vs_Cluster1,1,2
ENSG00000159199,ATP5MC1,ENSG00000159199.14,0.7128142774785283,6.326460949636247,145.2798064182232,1.2023919416061926e-29,5.831600916790034e-27,Cluster2_vs_Cluster1,1,2
ENSG00000095370,SH2D3C,ENSG00000095370.20,-0.8708737767950656,3.6736304377123363,144.91792513783315,1.393383973372744e-29,6.619995693901527e-27,Cluster2_vs_Cluster1,1,2
ENSG00000186766,FOXI2,ENSG00000186766.8,-2.829879233421776,-0.8853391124892419,140.29463516906986,1.4806037062270881e-29,6.893690856193323e-27,Cluster2_vs_Cluster1,1,2
ENSG00000214160,ALG3,ENSG00000214160.10,0.8015651341268062,7.087606531553789,144.30945502173148,1.76056561117876e-29,8.036464201615986e-27,Cluster2_vs_Cluster1,1,2
ENSG00000148541,FAM13C,ENSG00000148541.13,-1.130243344924505,0.7744056133702328,144.11752953897286,2.0447578378935584e-29,9.154223551185007e-27,Cluster2_vs_Cluster1,1,2
ENSG00000143341,HMCN1,ENSG00000143341.12,-1.4490216448575548,5.012479359065583,143.85213652188855,2.1104102509481287e-29,9.269877479636308e-27,Cluster2_vs_Cluster1,1,2
ENSG00000211672,IGLV4-3,ENSG00000211672.2,-4.0428334258490155,1.559881121706724,142.2577096701152,2.4538296411495315e-29,1.0578732230733535e-26,Cluster2_vs_Cluster1,1,2
ENSG00000164051,CCDC51,ENSG00000164051.14,0.7229717848108141,4.505077475730933,142.78048849691936,3.21926613313544e-29,1.357141488731741e-26,Cluster2_vs_Cluster1,1,2
ENSG00000182168,UNC5C,ENSG00000182168.15,-1.3144888882020547,2.5183269526675596,142.79858342637144,3.264601519285975e-29,1.357141488731741e-26,Cluster2_vs_Cluster1,1,2
ENSG00000164741,DLC1,ENSG00000164741.15,-1.2488270634332865,4.688225768414717,142.6800637932633,3.3494382953765117e-29,1.3679811143221964e-26,Cluster2_vs_Cluster1,1,2
ENSG00000168275,COA6,ENSG00000168275.16,1.0044612822441092,4.932336254337374,141.83756594706176,4.6659316486190577e-29,1.8728084272388215e-26,Cluster2_vs_Cluster1,1,2
