ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR
ENSG00000117425,PTCH2,ENSG00000117425.14,3.6037309274686287,3.3962409320107376,141.81044803065046,2.0839942902108e-26,4.539981561224228e-22
ENSG00000211672,IGLV4-3,ENSG00000211672.2,4.7046664072765765,2.3266049453846245,122.55091894367712,1.228905604891105e-23,1.3385854301276362e-19
ENSG00000170044,ZPLD1,ENSG00000170044.8,-4.669952230079264,2.6709838866910696,118.28171801762508,4.202309928523846e-23,3.0515773930963997e-19
ENSG00000129167,TPH1,ENSG00000129167.9,-4.384896781020162,2.951335195819973,117.67548115744317,6.50846542127681e-23,3.5446729800628824e-19
ENSG00000237032,RPSAP7,ENSG00000237032.1,-1.5751420649927212,-1.127257640017691,107.95494639448694,5.705142626028384e-22,2.485730642160567e-18
ENSG00000145192,AHSG,ENSG00000145192.13,4.436432593893521,3.11273794911693,103.64087044318126,1.0456102088333732e-20,3.591141379518522e-17
ENSG00000073734,ABCB11,ENSG00000073734.10,2.523590165026938,-0.6288162854136339,101.98797727883355,1.153912768263927e-20,3.591141379518522e-17
ENSG00000188257,PLA2G2A,ENSG00000188257.12,4.324058275874901,5.23234266865379,93.57724931474283,4.00286241611023e-19,1.0012392353890723e-15
ENSG00000084674,APOB,ENSG00000084674.15,3.545361611789407,1.3644678710186866,93.50089452088186,4.136402624972068e-19,1.0012392353890723e-15
ENSG00000164434,FABP7,ENSG00000164434.12,4.286482175366283,4.119109757289268,89.05647191398099,2.209339222005799e-18,4.813045495139633e-15
ENSG00000124159,MATN4,ENSG00000124159.15,2.537445057526348,0.026239846688458524,87.40612696173068,3.818339874035392e-18,7.56204855962373e-15
ENSG00000273179,AC092535.5,ENSG00000273179.1,2.0642972519412033,0.1945436783749293,86.42462950508623,6.1284371979615066e-18,1.1125667029799285e-14
ENSG00000161944,ASGR2,ENSG00000161944.16,2.4372133825570104,1.2189872500018493,81.67269290644106,3.8053227008471976e-17,6.376842695227399e-14
ENSG00000247982,LINC00926,ENSG00000247982.6,1.7928658714980845,1.9227410030158765,79.5181479121321,8.537693472554774e-17,1.3285260878543267e-13
ENSG00000175426,PCSK1,ENSG00000175426.11,-2.619766628695577,3.1372869723181163,79.2839150632738,9.341046499983915e-17,1.3566313200143304e-13
ENSG00000167916,KRT24,ENSG00000167916.5,-3.956181351393356,2.8479984154761326,78.28774992531427,1.3569385799554449e-16,1.8475566852705853e-13
ENSG00000167483,NIBAN3,ENSG00000167483.19,2.183724345488701,1.1836567813589371,78.08110598977832,1.5274217712343409e-16,1.9573460756670657e-13
