ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR
ENSG00000182379,NXPH4,ENSG00000182379.10,4.0668950964718755,3.1811861597335493,57.20755544117032,3.349347105392874e-11,6.67549221149542e-7
ENSG00000237350,CDC42P6,ENSG00000237350.1,-1.28072979413414,-1.7264494705936921,52.65011675837399,7.522383197978389e-11,6.67549221149542e-7
ENSG00000174788,PCP2,ENSG00000174788.10,1.6900048458927814,-0.885743460364379,53.9596092030615,9.533239698427315e-11,6.67549221149542e-7
ENSG00000182253,SYNM,ENSG00000182253.15,-3.1510975007604554,5.816153938836646,47.65752812332572,7.07732327598189e-10,2.608498630573059e-6
ENSG00000105642,KCNN1,ENSG00000105642.15,3.509275352627508,0.852045210806056,47.62063461344952,7.375082706271756e-10,2.608498630573059e-6
ENSG00000196205,EEF1A1P5,ENSG00000196205.8,-1.5141131619930082,4.429348013641133,47.382854066428266,7.75541092133348e-10,2.608498630573059e-6
ENSG00000104760,FGL1,ENSG00000104760.17,4.349370351301042,4.6798027194802865,47.047439855510724,8.692098069220457e-10,2.608498630573059e-6
ENSG00000218283,MORF4L1P1,ENSG00000218283.2,-0.6923923523885943,2.8095421823751856,46.46338336149608,1.0570188848305413e-9,2.775599464204398e-6
ENSG00000279392,AL158801.4,ENSG00000279392.1,-0.8423141217262701,-1.4433925113025758,44.489786077026146,1.7117537468680297e-9,3.995423440050745e-6
ENSG00000134285,FKBP11,ENSG00000134285.11,1.3739300317057102,5.084450739494767,44.362462428065115,2.1465441246175096e-9,4.509245242584002e-6
ENSG00000251095,AC093866.1,ENSG00000251095.7,4.164583381809653,2.2610569953649984,43.86677676459227,2.6096544284593766e-9,4.983728234422375e-6
ENSG00000198763,MT-ND2,ENSG00000198763.3,1.0149281532702714,11.742088929613507,42.38289403828839,4.2418124945574235e-9,6.9199068802697774e-6
ENSG00000100258,LMF2,ENSG00000100258.18,0.9268587019933536,6.65196981671917,42.11351460096734,4.657689319793037e-9,6.9199068802697774e-6
ENSG00000240038,AMY2B,ENSG00000240038.6,5.0314648322314905,9.175112954070064,42.05089725911468,4.7601999562227765e-9,6.9199068802697774e-6
ENSG00000161509,GRIN2C,ENSG00000161509.14,3.099873628308437,1.200032601290135,42.0235571221973,4.9411435809038255e-9,6.9199068802697774e-6
ENSG00000198888,MT-ND1,ENSG00000198888.2,0.9807448683966609,11.638779189511137,40.170633679248056,9.199935254369447e-9,1.168965751150137e-5
ENSG00000183199,HSP90AB3P,ENSG00000183199.6,-1.0608028301323607,-0.5808589882578962,40.001800436594756,9.676900169542746e-9,1.168965751150137e-5
ENSG00000249353,NPM1P27,ENSG00000249353.2,-0.7244855165134048,0.7411443709583353,39.88549662401732,1.038925023119396e-8,1.168965751150137e-5
ENSG00000132026,RTBDN,ENSG00000132026.14,3.6680297254969303,1.9083704722686918,39.795574739832624,1.0732751130113787e-8,1.168965751150137e-5
ENSG00000100116,GCAT,ENSG00000100116.17,1.7267589235882448,4.235924921606892,39.585079379397015,1.1321760355219989e-8,1.168965751150137e-5
ENSG00000124159,MATN4,ENSG00000124159.15,2.74913573861124,0.11644994452209492,39.56903786381289,1.1685762257415564e-8,1.168965751150137e-5
ENSG00000225972,MTND1P23,ENSG00000225972.1,-4.007932797311361,3.1297166711503777,38.94287030822304,1.450402171648856e-8,1.3718804985073884e-5
ENSG00000185176,AQP12B,ENSG00000185176.13,4.006856768661325,1.6135629887578513,38.857706034245375,1.5020351057109503e-8,1.3718804985073884e-5
ENSG00000171954,CYP4F22,ENSG00000171954.13,3.342515083178331,0.665245513391369,38.66299538709383,1.605987431693086e-8,1.3791930974437019e-5
ENSG00000005206,SPPL2B,ENSG00000005206.17,1.1369290899556348,6.076435068502174,38.54239383509332,1.6413494280998023e-8,1.3791930974437019e-5
ENSG00000204140,CLPSL1,ENSG00000204140.10,4.5713630060404356,2.725542708290008,38.17176755904391,1.9122768511730506e-8,1.502667254618759e-5
ENSG00000166596,CFAP52,ENSG00000166596.15,2.200984782076802,-0.4060437742198772,38.16983820583351,1.9313569702816438e-8,1.502667254618759e-5
ENSG00000237423,LINC01522,ENSG00000237423.3,3.4284520524713242,1.6066260675574757,37.58430348294246,2.3654328909096586e-8,1.7746660264049715e-5
ENSG00000198886,MT-ND4,ENSG00000198886.2,0.9278732119346381,13.08069692379924,37.30048742524912,2.566166924427173e-8,1.833737209027682e-5
ENSG00000262902,MTCO1P40,ENSG00000262902.1,-3.1508541655153124,2.4087817613586755,37.29381877235638,2.6187516671028925e-8,1.833737209027682e-5
ENSG00000130222,GADD45G,ENSG00000130222.11,1.7025726842511042,4.368023151585798,37.08284765710326,2.7769168465167406e-8,1.8448851017128336e-5
ENSG00000220842,RPL21P16,ENSG00000220842.6,1.3004699667763662,2.2273550504247916,36.93677747418219,2.9363832087782657e-8,1.8448851017128336e-5
ENSG00000257017,HP,ENSG00000257017.9,4.430133122028213,5.184833942832573,36.901137618862094,2.9692189379191854e-8,1.8448851017128336e-5
ENSG00000123999,INHA,ENSG00000123999.5,1.7667920971918891,1.3399791282082105,36.91153034200325,2.985961510840974e-8,1.8448851017128336e-5
ENSG00000267934,AC010300.1,ENSG00000267934.1,1.4114188864020014,-0.5654138363620407,36.710280228650994,3.3047280768878694e-8,1.8921227721273747e-5
ENSG00000265511,AC020558.2,ENSG00000265511.1,1.6532648702028847,-0.14608976903313914,36.68803732284212,3.31919123919285e-8,1.8921227721273747e-5
