ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR,comparison,cluster1,cluster2
ENSG00000152137,HSPB8,ENSG00000152137.8,-2.443384319168289,6.30885647188168,631.9178753949865,5.80967646432978e-91,1.294221625958745e-86,Cluster2_vs_Cluster1,1,2
ENSG00000145936,KCNMB1,ENSG00000145936.9,-2.137765518496587,5.22881557553713,598.2094047094625,1.1636981356160983e-87,1.2961851683559912e-83,Cluster2_vs_Cluster1,1,2
ENSG00000107796,ACTA2,ENSG00000107796.13,-1.9648467608936226,8.678976751188753,594.4004842595969,2.778566589609088e-87,2.0632709305573887e-83,Cluster2_vs_Cluster1,1,2
ENSG00000182253,SYNM,ENSG00000182253.15,-2.2948064955647633,7.685845229781325,590.0479892656434,7.566790438998825e-87,4.214134765239421e-83,Cluster2_vs_Cluster1,1,2
ENSG00000133392,MYH11,ENSG00000133392.18,-2.340536402729668,11.226172745688125,588.8771603801919,9.91375781985939e-87,4.416975659060152e-83,Cluster2_vs_Cluster1,1,2
ENSG00000149596,JPH2,ENSG00000149596.7,-2.233820701979855,5.198292656538669,584.5650045433644,2.697587267335088e-86,1.0015691925737294e-82,Cluster2_vs_Cluster1,1,2
ENSG00000253250,C8orf88,ENSG00000253250.3,-2.0396074264459916,0.002642671072337484,570.715184104504,4.7010513948586094e-85,1.4960760274752178e-81,Cluster2_vs_Cluster1,1,2
ENSG00000196924,FLNA,ENSG00000196924.19,-1.9718924531222306,10.735092939542751,567.3066676732686,1.516343507466991e-84,4.22244803948027e-81,Cluster2_vs_Cluster1,1,2
ENSG00000154330,PGM5,ENSG00000154330.13,-2.4333354273450007,6.9596239996862375,559.1469591264853,1.0442353067020098e-83,2.510614990512883e-80,Cluster2_vs_Cluster1,1,2
ENSG00000103710,RASL12,ENSG00000103710.11,-1.9570828669026894,5.014201412973945,558.8376634772109,1.1269986939502102e-83,2.510614990512883e-80,Cluster2_vs_Cluster1,1,2
ENSG00000163431,LMOD1,ENSG00000163431.13,-2.0985096471341262,7.134229089039425,554.7410908729267,2.9774473742132893e-83,6.02987228684995e-80,Cluster2_vs_Cluster1,1,2
ENSG00000131471,AOC3,ENSG00000131471.7,-1.6731005009068647,6.149727010985159,553.3632534971588,4.1366341011415226e-83,7.679316489260809e-80,Cluster2_vs_Cluster1,1,2
ENSG00000267505,AC005180.2,ENSG00000267505.1,-2.295910012672386,1.7742497722203385,554.5222341542083,4.516535022623567e-83,7.739603899921938e-80,Cluster2_vs_Cluster1,1,2
