ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR
ENSG00000100346,CACNA1I,ENSG00000100346.18,3.742388850211379,0.6961385612784967,126.89308515787151,2.535181058943276e-24,3.22854258534179e-20
ENSG00000129151,BBOX1,ENSG00000129151.9,-4.7657222286665695,3.356096424119466,127.34624840566683,3.0871510664962612e-24,3.22854258534179e-20
ENSG00000174358,SLC6A19,ENSG00000174358.16,-5.1331865629915034,3.570815108592875,118.2843781209494,6.646024575644658e-23,4.633608334139455e-19
ENSG00000224099,AC104823.1,ENSG00000224099.2,4.936456206708401,3.9060731348082496,92.86572791529093,5.88592278063745e-19,3.077749021995323e-15
ENSG00000166035,LIPC,ENSG00000166035.11,2.653299779954243,0.0017109926844202758,82.36116057137147,2.8609215784003393e-17,1.1967807146764298e-13
ENSG00000261409,AL035425.3,ENSG00000261409.1,-2.9502204119894246,1.1652509172287338,80.51055134109839,5.965047360355984e-17,1.9128457899635461e-13
ENSG00000198744,MTCO3P12,ENSG00000198744.5,2.748894746778131,3.534490842747748,80.39090156935126,6.401759671899418e-17,1.9128457899635461e-13
ENSG00000253955,AC008663.2,ENSG00000253955.2,2.1226167256454787,-0.6165190567840287,79.52102347444206,8.359273155560873e-17,2.18553196652139e-13
ENSG00000244405,ETV5,ENSG00000244405.8,-1.9843411307506793,4.424862118565758,77.89117410294935,1.6813083221137762e-16,3.907360540592416e-13
ENSG00000004846,ABCB5,ENSG00000004846.16,2.5795248224827323,0.29693209334675463,71.68527942879776,1.9861607472473793e-15,4.154253818942618e-12
ENSG00000236255,AC009404.1,ENSG00000236255.2,1.2225496839416148,1.857486605289114,68.29256181017759,7.50021426846162e-15,1.4261316512649388e-11
ENSG00000250803,AC010255.2,ENSG00000250803.6,2.446829178347324,0.7267848262213538,67.81999451888494,9.430690471570312e-15,1.6437693491947054e-11
ENSG00000148677,ANKRD1,ENSG00000148677.7,-3.165833991848085,2.669662768546472,65.9836706655913,1.9396676069102452e-14,3.120775974318053e-11
ENSG00000250764,AC025178.1,ENSG00000250764.1,0.8877163609053914,-1.0260008152444993,65.56284970414555,2.261610329530177e-14,3.3788458323180844e-11
ENSG00000283907,AD000090.1,ENSG00000283907.1,2.6375746716590083,1.2491316888144322,65.09198517264177,2.803532047490727e-14,3.90924508702107e-11
ENSG00000162482,AKR7A3,ENSG00000162482.5,1.6769749785712156,0.4461459483408064,63.24455302252511,5.997233083771923e-14,7.839882948760847e-11
ENSG00000263677,AC012588.1,ENSG00000263677.2,2.2731096628528213,0.3406204576173353,62.15172559976124,9.321068014338117e-14,1.0656839397568944e-10
ENSG00000259865,AL390728.6,ENSG00000259865.1,0.7044382299989669,2.2175179815408446,62.01811326003894,9.485388572860514e-14,1.0656839397568944e-10
ENSG00000257596,SCAT2,ENSG00000257596.1,1.0415413212352191,-0.9733469411025141,61.97238719044373,9.76078621012035e-14,1.0656839397568944e-10
ENSG00000163331,DAPL1,ENSG00000163331.12,-3.126245595463345,2.8685695328806182,61.88718616086154,1.0190131380348961e-13,1.0656839397568944e-10
ENSG00000168334,XIRP1,ENSG00000168334.9,-3.4084254320842,2.864023769903109,60.96411991877459,1.4946309758033787e-13,1.4886524519001653e-10
ENSG00000275005,AL354950.1,ENSG00000275005.1,1.1941062110297394,-1.8934447399569905,58.79706106700938,2.351853165014756e-13,2.2359709454294838e-10
ENSG00000185739,SRL,ENSG00000185739.13,-1.8206939733185896,2.509334370585779,58.293649656766384,4.4256084120851707e-13,4.024609806398845e-10
ENSG00000053438,NNAT,ENSG00000053438.11,-2.5454803589710755,2.634824646051551,57.33464705370533,6.627785089904798e-13,5.776114705852032e-10
ENSG00000159173,TNNI1,ENSG00000159173.19,-2.6156752242543275,5.416662449322159,55.729840287526685,1.2759778802066362e-12,1.06753413369608e-9
ENSG00000204616,TRIM31,ENSG00000204616.11,1.7125366957334816,0.31072767744875784,55.43553087720208,1.500713421456787e-12,1.207266227815006e-9
ENSG00000063015,SEZ6,ENSG00000063015.20,1.8545450942316644,0.30796958989357215,54.6819265897236,2.0576624653791032e-12,1.5940025231803452e-9
