ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR,comparison,cluster1,cluster2
ENSG00000075035,WSCD2,ENSG00000075035.10,4.186221304344012,-0.920766085267766,559.3154917821461,1.2515881636667553e-68,2.9333471791857745e-64,Cluster2_vs_Cluster1,1,2
ENSG00000121871,SLITRK3,ENSG00000121871.4,4.29542930453749,-1.5253074853050512,374.2059740789362,3.0410597905643e-57,3.5636659155727752e-53,Cluster2_vs_Cluster1,1,2
ENSG00000267405,AC005180.1,ENSG00000267405.1,3.716158267990616,-2.073762850004738,350.1158133414248,2.9017810075349924e-55,2.2669680491199203e-51,Cluster2_vs_Cluster1,1,2
ENSG00000267505,AC005180.2,ENSG00000267505.1,3.60732211781658,-1.7718787494987251,355.5101633613916,1.1935928593389665e-54,6.993558961081839e-51,Cluster2_vs_Cluster1,1,2
ENSG00000146352,CLVS2,ENSG00000146352.13,3.7839751637018444,-2.1911085511849446,327.01506089816155,8.385257088086236e-53,3.930505407469542e-49,Cluster2_vs_Cluster1,1,2
ENSG00000280323,AC053503.5,ENSG00000280323.1,4.239974475181722,-2.0526213067560404,324.64461906462856,1.6525951407411144e-52,6.45531205225825e-49,Cluster2_vs_Cluster1,1,2
ENSG00000181072,CHRM2,ENSG00000181072.11,4.7436817447169926,0.3935664735234596,406.0811464253278,4.660107535997947e-50,1.560270576016913e-46,Cluster2_vs_Cluster1,1,2
ENSG00000184905,TCEAL2,ENSG00000184905.9,3.9390532664688562,-0.9772785951229473,318.863452441546,2.211720443736401e-47,6.479511504981254e-44,Cluster2_vs_Cluster1,1,2
ENSG00000231346,LINC01160,ENSG00000231346.5,3.015238745548762,-2.030045182709603,282.47385013617975,1.557200479817614e-46,4.055123071720602e-43,Cluster2_vs_Cluster1,1,2
ENSG00000122367,LDB3,ENSG00000122367.20,3.4723913518919858,0.7120359668650739,399.2483267262442,1.8031559088724613e-46,4.226056503624387e-43,Cluster2_vs_Cluster1,1,2
ENSG00000183230,CTNNA3,ENSG00000183230.17,2.918895378575976,-2.2962042197983785,264.2961109520147,6.614637606475842e-45,1.4093387416634026e-41,Cluster2_vs_Cluster1,1,2
ENSG00000170500,LONRF2,ENSG00000170500.13,3.801204978137967,-0.5605890940583231,316.8121480513,1.6543185923012434e-44,3.23102207064702e-41,Cluster2_vs_Cluster1,1,2
ENSG00000125965,GDF5,ENSG00000125965.9,3.267997708671541,-2.671850840118025,255.16074907116868,8.248175061231279e-44,1.4870190685390577e-40,Cluster2_vs_Cluster1,1,2
ENSG00000166831,RBPMS2,ENSG00000166831.9,2.9353975004077175,1.5670598501292479,343.58695715883186,2.14378565877638e-42,3.588850320338716e-39,Cluster2_vs_Cluster1,1,2
