ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR,comparison,cluster1,cluster2
ENSG00000229367,HMGN2P19,ENSG00000229367.1,6.010883637413544,0.02666235196505331,1232.9352598943833,2.8415815876761216e-143,6.158275616811691e-139,Cluster2_vs_Cluster1,1,2
ENSG00000258537,FRMD6-AS2,ENSG00000258537.5,7.704353156747336,1.5415193355866053,1207.1391007339703,2.784701381157413e-141,3.0175024166221723e-137,Cluster2_vs_Cluster1,1,2
ENSG00000204655,MOG,ENSG00000204655.12,7.444721051016754,1.0860758582593855,1025.3833855570253,8.585667068147269e-127,6.202285890029587e-123,Cluster2_vs_Cluster1,1,2
ENSG00000258987,AL132642.1,ENSG00000258987.2,6.00555547423151,-0.25564981082806204,1008.3817631089489,1.0049177550997127e-125,5.444644397130243e-122,Cluster2_vs_Cluster1,1,2
ENSG00000265142,MIR133A1HG,ENSG00000265142.9,5.591223265620687,0.003312820234992867,904.7497570077105,2.5638874677152344e-117,1.1112913840064911e-113,Cluster2_vs_Cluster1,1,2
ENSG00000248544,AC008676.1,ENSG00000248544.2,5.124065006552461,-0.4155277698022136,812.419690202761,1.406280190025977e-109,5.079484046373829e-106,Cluster2_vs_Cluster1,1,2
ENSG00000245869,AP004609.1,ENSG00000245869.2,5.7770411734246965,0.083828629728,782.6302707130435,1.449387903095103e-107,4.4873049479824385e-104,Cluster2_vs_Cluster1,1,2
ENSG00000279353,AP001324.3,ENSG00000279353.1,5.723618286482124,0.5312668023578526,824.9632648053681,6.077024888178324e-107,1.6462660422075082e-103,Cluster2_vs_Cluster1,1,2
ENSG00000223774,AL513217.1,ENSG00000223774.5,4.144114428814618,-1.4513036898327516,744.1140071903268,1.6976835341783303e-104,4.0880219503014195e-101,Cluster2_vs_Cluster1,1,2
ENSG00000234476,LINC02765,ENSG00000234476.3,5.401646063492109,0.23454709494448983,794.8020322385696,2.017199683691287e-104,4.3716751544957574e-101,Cluster2_vs_Cluster1,1,2
ENSG00000253105,AP003548.1,ENSG00000253105.6,6.590823315761518,2.660597097455981,1019.7284327103569,5.606389039045619e-103,1.1045605750381513e-99,Cluster2_vs_Cluster1,1,2
ENSG00000276365,MIR145,ENSG00000276365.1,5.4364824694623115,0.4890882706453792,785.9480764908453,3.7628666548602503e-101,6.795737178677612e-98,Cluster2_vs_Cluster1,1,2
ENSG00000287570,AL035447.1,ENSG00000287570.1,5.008979206607262,-1.077272439566508,706.8588018690631,1.222680950234278e-100,2.0383031964213285e-97,Cluster2_vs_Cluster1,1,2
ENSG00000179136,LINC00670,ENSG00000179136.7,6.0206712120443076,-0.16897644981982338,677.9730068029037,6.916449000514817e-98,1.0706663052796936e-94,Cluster2_vs_Cluster1,1,2
ENSG00000223611,SUPT20HL2,ENSG00000223611.6,6.406514513741961,0.7937280635027714,657.131553124677,3.219825937439847e-95,4.652004514413091e-92,Cluster2_vs_Cluster1,1,2
ENSG00000267405,AC005180.1,ENSG00000267405.1,6.557208613964087,2.4235635231836157,842.1479350190862,6.957752911281095e-95,9.424276318330243e-92,Cluster2_vs_Cluster1,1,2
ENSG00000163681,SLMAP,ENSG00000163681.16,3.2095555863762697,7.2749431563113065,1073.905781478622,1.0026997365634732e-94,1.2782652171060935e-91,Cluster2_vs_Cluster1,1,2
ENSG00000280285,AC108215.1,ENSG00000280285.1,4.683913680701474,-0.7835045211897156,648.3793825593285,2.6354129516070815e-94,3.173037193734926e-91,Cluster2_vs_Cluster1,1,2
