ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR
ENSG00000265142,MIR133A1HG,ENSG00000265142.9,-5.391179099022689,0.5524747992119668,217.99845169995962,6.964042662359374e-35,1.2289813802091758e-30
ENSG00000287559,AL136305.1,ENSG00000287559.1,-4.777191548562384,-0.5037421934156009,210.53391381308106,1.2499810620516434e-34,1.2289813802091758e-30
ENSG00000253647,KCNIP1-OT1,ENSG00000253647.1,-4.855429607437745,-0.7768998758302216,175.69031328692483,2.7802250372639115e-30,1.8223448377585854e-26
ENSG00000239941,AC108718.1,ENSG00000239941.1,-5.475838440767417,-0.06356214903482589,173.43337140544327,4.035014180218196e-30,1.983612970995265e-26
ENSG00000280285,AC108215.1,ENSG00000280285.1,-4.50256875374016,-0.26879523829903307,173.86240863279295,9.794737908318344e-30,3.8520745245834384e-26
ENSG00000287570,AL035447.1,ENSG00000287570.1,-4.5477151564713285,-0.6566437171654931,165.5267660537716,4.110348198415827e-29,1.3470981162274805e-25
ENSG00000150995,ITPR1,ENSG00000150995.20,-2.987746713475095,6.722808407386199,207.0272294921644,7.624179463072539e-29,2.1417409280265485e-25
ENSG00000172465,TCEAL1,ENSG00000172465.14,-2.235975111767026,5.428189912979939,192.80677793523262,1.3218444514016766e-27,3.249093661545321e-24
ENSG00000091436,MAP3K20,ENSG00000091436.17,-2.1718645778473245,7.613109590998062,179.80038262280502,1.9816497361950046e-26,3.6737926637315965e-23
ENSG00000159176,CSRP1,ENSG00000159176.14,-3.196355577898461,10.612100482741361,179.65326116746292,2.0447874745487926e-26,3.6737926637315965e-23
ENSG00000279353,AP001324.3,ENSG00000279353.1,-4.4484681334036535,0.5975174487306816,159.2090186734188,2.0551118440321174e-26,3.6737926637315965e-23
ENSG00000170364,SETMAR,ENSG00000170364.12,-1.7539660803870585,5.096552894230969,178.890383677384,2.4236021073196054e-26,3.971475986527727e-23
ENSG00000121057,AKAP1,ENSG00000121057.13,-2.3729208928814773,6.738647521495373,177.45200301712143,3.275421117657465e-26,4.954452373662799e-23
ENSG00000253636,AC022893.1,ENSG00000253636.1,-3.550833310653137,2.3923207581583936,175.98329743052395,4.3674529992299205e-26,6.13439969834694e-23
ENSG00000234438,KBTBD13,ENSG00000234438.5,-4.371153608309042,-0.07716661559426148,143.9372243480644,1.7006947578649468e-25,2.229497447910421e-22
ENSG00000267304,AC004637.1,ENSG00000267304.1,-4.479482154738188,0.4581364835125165,148.56884421920878,2.0031816824078267e-25,2.461910287679219e-22
ENSG00000260409,AC012414.4,ENSG00000260409.1,-3.627763670353995,-1.663923691005953,137.07326810379698,2.4963819346197684e-25,2.784934730577273e-22
ENSG00000163681,SLMAP,ENSG00000163681.16,-2.7514592592530107,7.688673661151129,168.04610082136927,2.549268976321751e-25,2.784934730577273e-22
ENSG00000165410,CFL2,ENSG00000165410.15,-2.178992463514619,7.227172932144548,167.00235334777165,3.213931846713774e-25,3.3262503070410347e-22
ENSG00000077157,PPP1R12B,ENSG00000077157.22,-4.009490849470986,9.510945246392122,164.0060742223075,6.2786805766659965e-25,6.173198742978008e-22
ENSG00000138796,HADH,ENSG00000138796.17,-1.3587568908012266,6.517773383825713,161.07978041554443,1.215607915117243e-24,1.138272097279308e-21
ENSG00000175946,KLHL38,ENSG00000175946.8,-4.2159253927519185,2.2733736478891045,154.01214946716337,4.2298928474734854e-24,3.780755134214483e-21
ENSG00000186073,CDIN1,ENSG00000186073.14,-1.6731659606383658,4.361455946486418,153.95465663377647,6.316575777868934e-24,5.400397656348466e-21
ENSG00000229589,ACVR2B-AS1,ENSG00000229589.1,-2.3544950414171355,1.181240910570711,149.68485320779178,1.603409293759855e-23,1.3048729414440459e-20
ENSG00000159322,ADPGK,ENSG00000159322.17,1.2311352842476946,5.611521149453514,149.78713003607112,1.6589617339351682e-23,1.3048729414440459e-20
ENSG00000198682,PAPSS2,ENSG00000198682.13,2.9371118256786124,5.544204066658426,148.8372998794687,2.0875264033844694e-23,1.5788122767750846e-20
ENSG00000123570,RAB9B,ENSG00000123570.4,-3.3663745763911,4.606089820563835,147.85604031891015,2.7044254206501556e-23,1.9696230174690614e-20
ENSG00000108091,CCDC6,ENSG00000108091.11,-1.4687336984615291,6.8732816195679876,147.5315816914739,2.8316669961387295e-23,1.9886392790025707e-20
ENSG00000198838,RYR3,ENSG00000198838.14,-2.8767219228192387,3.252991017750398,146.38996304913263,3.935422635685441e-23,2.6684879554523627e-20
ENSG00000237061,AC100823.1,ENSG00000237061.1,-4.193109856834181,-0.7167273102181457,121.79451639081016,5.115453146219053e-23,3.3530090222417156e-20
ENSG00000135679,MDM2,ENSG00000135679.25,3.6322299394748327,8.094694492453526,144.09906667167382,6.442872110799664e-23,3.961196261875976e-20
ENSG00000161594,KLHL10,ENSG00000161594.7,-2.780929441340319,-1.3079702344515671,125.58555967328847,6.446210352930799e-23,3.961196261875976e-20
ENSG00000087116,ADAMTS2,ENSG00000087116.16,3.108461812554255,7.791293738925613,143.48014167277975,7.480573359793856e-23,4.457514986272315e-20
ENSG00000157191,NECAP2,ENSG00000157191.20,1.306805856488423,6.596675518337421,142.48323830334152,9.521569141528164e-23,5.506827517617936e-20
ENSG00000106772,PRUNE2,ENSG00000106772.18,-3.5032076877842018,8.180151990532101,141.7606901554061,1.1347253271892679e-22,6.375211095385646e-20
ENSG00000134996,OSTF1,ENSG00000134996.12,1.5900183111773352,5.633050382097494,140.62692263678954,1.495684670944612e-22,8.169762047070791e-20
ENSG00000270332,SMC2-AS1,ENSG00000270332.2,-3.360585880676249,0.9646606927418946,137.1282992152189,1.5942834173986456e-22,8.18393396381214e-20
ENSG00000153071,DAB2,ENSG00000153071.15,2.352169692018459,7.736519653983372,140.3550188303635,1.5983650597234156e-22,8.18393396381214e-20
ENSG00000137124,ALDH1B1,ENSG00000137124.8,-2.9184911745672717,8.011348302196888,140.29210548193154,1.623135804458266e-22,8.18393396381214e-20
ENSG00000117013,KCNQ4,ENSG00000117013.17,-3.7459896644011907,3.2391906810045317,140.1519466307432,1.7710096885461005e-22,8.706283628892631e-20
ENSG00000133142,TCEAL4,ENSG00000133142.18,-1.7447114432690607,7.792881029467039,139.30685005740693,2.065996825358566e-22,9.908722335085571e-20
ENSG00000277443,MARCKS,ENSG00000277443.3,1.998535610148564,8.750027836050688,136.76860016211668,3.8622554249787487e-22,1.8082712065900505e-19
ENSG00000114547,ROPN1B,ENSG00000114547.10,-3.9970938384050703,0.1888979801684239,124.004070251077,3.9734407381696096e-22,1.8170636901248187e-19
ENSG00000150628,SPATA4,ENSG00000150628.7,-3.047567416653247,-1.2616118472898994,117.85682295456753,4.555566361168653e-22,2.0359240210459184e-19
ENSG00000145012,LPP,ENSG00000145012.13,-2.295138396517002,8.603186467268305,135.2433847127916,5.641092087277622e-22,2.465031884538381e-19
ENSG00000100122,CRYBB1,ENSG00000100122.7,2.852731277571925,0.6647986980402852,133.26192735727952,8.410657210492641e-22,3.595373117111463e-19
ENSG00000011454,RABGAP1,ENSG00000011454.18,-1.3834725317669618,6.813700683762704,133.09064554528572,9.664991899880537e-22,4.0436681004095933e-19
ENSG00000150764,DIXDC1,ENSG00000150764.14,-1.9155130395306272,5.690989340488456,132.75102523954357,1.0547028999776893e-21,4.3207662135752673e-19
ENSG00000140044,JDP2,ENSG00000140044.13,2.1637728129341784,5.869165110646163,132.13809167108573,1.2282576823863996e-21,4.9290732788665635e-19
ENSG00000138162,TACC2,ENSG00000138162.19,-2.1703252273818805,6.420400692110835,131.06298094973025,1.611800332308131e-21,6.338888346901417e-19
ENSG00000228063,LYPLAL1-DT,ENSG00000228063.2,-2.8962239036034294,1.0928951241521898,129.79526885848927,1.6779552683091585e-21,6.469669097261038e-19
ENSG00000160404,TOR2A,ENSG00000160404.18,1.2918842621651587,3.9758241841183737,129.89344815992732,2.1843526822310118e-21,8.027724328009004e-19
