ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR
ENSG00000187021,PNLIPRP1,ENSG00000187021.15,7.241360764432116,3.962935034144127,143.8857230146346,1.3452512272773224e-25,3.3033989137021928e-21
ENSG00000005381,MPO,ENSG00000005381.8,-5.5365079264359895,2.802646528160926,115.09207809292127,8.450248037399022e-22,1.0375214540318519e-17
ENSG00000134548,SPX,ENSG00000134548.11,5.131551589168971,2.931269589478732,113.84536314679042,1.793150324320451e-21,1.4677533121337663e-17
ENSG00000170477,KRT4,ENSG00000170477.13,8.04526762246781,7.431938966206114,111.41150863568063,3.825706892537482e-21,2.3486014613287602e-17
ENSG00000171189,GRIK1,ENSG00000171189.17,3.5205005017084625,1.2388996687120744,108.55569190455081,1.0265010808157829e-20,5.041352108102473e-17
ENSG00000124232,RBPJL,ENSG00000124232.11,4.852274438737138,1.836314412311564,103.13580148180944,5.946544319621797e-20,2.433722371877214e-16
ENSG00000168878,SFTPB,ENSG00000168878.19,4.448870210749853,2.458384937406609,99.36349602393946,2.244626419644586e-19,7.874149480113208e-16
ENSG00000183347,GBP6,ENSG00000183347.15,4.521961898152735,3.3470409430212027,98.52576767492877,2.9340214107086275e-19,9.005978720170133e-16
ENSG00000139055,ERP27,ENSG00000139055.7,3.9696057022005444,4.283121140678913,90.53321469087052,4.6196014946099504e-18,1.260432603351577e-14
ENSG00000140519,RHCG,ENSG00000140519.14,5.846059397248841,6.263016141755639,90.11822082389867,5.342329673073312e-18,1.3118624745198825e-14
ENSG00000203930,LINC00632,ENSG00000203930.12,3.212421836461678,3.0480954380094447,88.86087639378972,8.387437889961321e-18,1.8723811347808202e-14
ENSG00000105427,CNFN,ENSG00000105427.10,3.8423161011070674,4.608227738880378,88.52502295270621,9.37758092628144e-18,1.9189656435480584e-14
ENSG00000172005,MAL,ENSG00000172005.11,4.012440153891368,4.113110076825351,87.49222166579067,1.3593615373867941e-17,2.5677293778515473e-14
ENSG00000166922,SCG5,ENSG00000166922.8,3.2236956605905354,4.154207662130434,86.70964314218999,1.78978934619735e-17,3.1392905132301516e-14
