ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR,comparison,cluster1,cluster2
ENSG00000263612,AF186192.3,ENSG00000263612.1,6.737821840193622,1.3196100527621155,482.7190050753795,1.737662400393144e-55,3.8020053320601986e-51,Cluster2_vs_Cluster1,1,2
ENSG00000164509,IL31RA,ENSG00000164509.15,-6.566116634356582,2.277358030034055,467.81538914404337,1.3361192874137383e-49,1.4617145004306296e-45,Cluster2_vs_Cluster1,1,2
ENSG00000228586,AC005042.1,ENSG00000228586.1,-5.50538042842387,0.3767077260981508,388.04580876756,3.717373357913758e-49,2.7112043023717674e-45,Cluster2_vs_Cluster1,1,2
ENSG00000250166,AC053513.1,ENSG00000250166.3,-4.730241949030302,-1.0204340671738596,344.7854285072235,2.235382628240262e-47,1.2227542976474233e-43,Cluster2_vs_Cluster1,1,2
ENSG00000269842,AC011453.1,ENSG00000269842.5,5.407588107196245,-0.03614560407683084,333.1985692044206,1.7016305054984426e-44,7.446335092061185e-41,Cluster2_vs_Cluster1,1,2
ENSG00000261787,TCF24,ENSG00000261787.2,6.6389164504610845,2.227376510803888,340.2114765468392,2.427868436504412e-43,8.853626898452755e-40,Cluster2_vs_Cluster1,1,2
ENSG00000125965,GDF5,ENSG00000125965.9,5.5469198828237225,2.17564185778715,399.5774546167382,3.534798737421938e-43,1.1048770910684572e-39,Cluster2_vs_Cluster1,1,2
ENSG00000084453,SLCO1A2,ENSG00000084453.16,6.3157666682677664,2.007251446865394,338.4027021207722,8.027997724010155e-43,2.1956573775167775e-39,Cluster2_vs_Cluster1,1,2
ENSG00000226057,PHF2P2,ENSG00000226057.7,9.625713531935062,4.552162172118573,299.2738824835429,1.0460116925289924e-41,2.542970648059373e-38,Cluster2_vs_Cluster1,1,2
ENSG00000250978,AC079467.1,ENSG00000250978.5,-9.901086140014451,6.310670256110857,378.0913968687591,2.6460552944951587e-41,5.789568984355408e-38,Cluster2_vs_Cluster1,1,2
ENSG00000224583,AL356277.2,ENSG00000224583.1,-6.599177583196916,0.1836712474788688,286.7394325524111,6.927058778401197e-41,1.3778549642856198e-37,Cluster2_vs_Cluster1,1,2
ENSG00000248268,AC010275.1,ENSG00000248268.1,5.641850382583046,0.18313126441021715,283.1133384217573,3.3756519773539956e-40,6.1549387720421185e-37,Cluster2_vs_Cluster1,1,2
ENSG00000235070,AC062015.1,ENSG00000235070.3,-4.823615857613528,0.6609845462356781,316.8195468955056,1.1681344093948684e-39,1.966060067504594e-36,Cluster2_vs_Cluster1,1,2
ENSG00000188828,GLRA4,ENSG00000188828.12,-5.527544924855344,0.6171705441541655,277.0173755510102,3.188255284192635e-39,4.982787544152489e-36,Cluster2_vs_Cluster1,1,2
ENSG00000181215,C4orf50,ENSG00000181215.15,-7.017838934724399,4.308312692968432,365.5235928295713,7.986464052680349e-39,1.1649588898176403e-35,Cluster2_vs_Cluster1,1,2
ENSG00000125816,NKX2-4,ENSG00000125816.5,10.12090948698567,3.5355336639923314,327.9407071986377,1.128205261573915e-38,1.5428206952023288e-35,Cluster2_vs_Cluster1,1,2
ENSG00000112041,TULP1,ENSG00000112041.13,5.017572550465734,1.7430269774791145,321.7065570674935,3.987699445765585e-38,5.132403757255941e-35,Cluster2_vs_Cluster1,1,2
ENSG00000226496,LINC00323,ENSG00000226496.3,3.8440046477116643,-0.18599473840115122,284.9818023587903,4.3922607378888163e-38,5.339036941389294e-35,Cluster2_vs_Cluster1,1,2
ENSG00000273100,AL596442.2,ENSG00000273100.1,4.654426725666308,0.3004356714096104,267.647272633615,1.757016376280942e-37,2.023343069106685e-34,Cluster2_vs_Cluster1,1,2
ENSG00000256969,AC084375.1,ENSG00000256969.2,7.622985005682066,2.8658201941986596,254.14016917175184,4.38986672775963e-37,4.802514200169036e-34,Cluster2_vs_Cluster1,1,2
ENSG00000233098,CCDC144NL-AS1,ENSG00000233098.9,7.297989410570394,5.698569075052933,336.0160686834331,9.664814712784462e-37,1.0069816472177336e-33,Cluster2_vs_Cluster1,1,2
ENSG00000286351,AC046129.1,ENSG00000286351.1,-4.227214193932152,-0.753036688649005,241.054853632186,2.3906400170806007e-36,2.3776001624419793e-33,Cluster2_vs_Cluster1,1,2
