ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR
ENSG00000133112,TPT1,ENSG00000133112.17,1.1931343577017395,11.29422641553973,85.42090607323549,3.2159336798078976e-13,6.316283336323586e-9
ENSG00000220749,RPL21P28,ENSG00000220749.4,2.538931927985784,2.604511548951727,79.80973830936824,1.1066924196528145e-12,6.316283336323586e-9
ENSG00000159110,IFNAR2,ENSG00000159110.20,1.6085658099591253,1.4478261145786109,79.71777726237922,1.1600215376288104e-12,6.316283336323586e-9
ENSG00000250803,AC010255.2,ENSG00000250803.6,5.139697788640996,2.9520836971078754,79.55404485928374,1.1914297580038606e-12,6.316283336323586e-9
ENSG00000227053,MUC12-AS1,ENSG00000227053.1,3.069428074047387,-0.31959712510268484,76.13562630631294,1.4833920470464036e-12,6.316283336323586e-9
ENSG00000204435,CSNK2B,ENSG00000204435.15,1.810352761069308,5.07676650380674,71.3310068754021,7.354915447888067e-12,2.4502459021343835e-8
ENSG00000269386,RAB11B-AS1,ENSG00000269386.5,1.7667761422474273,2.6796124452683454,70.99848315704492,8.05623359085988e-12,2.4502459021343835e-8
ENSG00000109079,TNFAIP1,ENSG00000109079.10,-1.143409647342244,5.083271859233648,69.06659943982707,1.2562410793925703e-11,3.343171572533478e-8
ENSG00000126264,HCST,ENSG00000126264.10,3.087853441946387,3.416835195953077,68.43770321208936,1.4801118788017836e-11,3.5012868777433304e-8
ENSG00000130559,CAMSAP1,ENSG00000130559.19,-1.0106406687677654,6.179845731629264,67.5726072525907,1.7948691060550332e-11,3.821276326791166e-8
ENSG00000279357,AC007224.2,ENSG00000279357.1,1.9224349755713404,-0.8551798678766926,65.97459861437184,2.1856652413463404e-11,4.2302557262057806e-08
ENSG00000135441,BLOC1S1,ENSG00000135441.7,2.417272599505562,4.515175807581266,66.14527755403007,2.541878319477305e-11,4.5097157851393186e-8
ENSG00000023902,PLEKHO1,ENSG00000023902.14,1.7260231260722485,7.20951586767853,65.06423279805104,3.3052430435351605e-11,5.393808074040041e-8
ENSG00000222057,RNU4-62P,ENSG00000222057.1,3.3680780067438283,-0.870124763145175,59.41451105624447,3.969358819392189e-11,5.393808074040041e-8
ENSG00000163154,TNFAIP8L2,ENSG00000163154.6,1.8516673348025003,4.742423297167345,64.20222905755028,4.091410350243563e-11,5.393808074040041e-8
ENSG00000149806,FAU,ENSG00000149806.11,1.6047762353128507,9.284888355579945,64.1683879987971,4.123063343800645e-11,5.393808074040041e-8
ENSG00000213860,RPL21P75,ENSG00000213860.4,2.281659152338789,0.6590384025124337,64.26771002032268,4.341694972594811e-11,5.393808074040041e-8
ENSG00000004139,SARM1,ENSG00000004139.14,-1.6201269146921247,2.9627543676347283,63.831133543548106,4.5602886487891373e-11,5.393808074040041e-8
ENSG00000114391,RPL24,ENSG00000114391.13,1.3549881397314838,10.521664028139126,63.17530921317596,5.278200265815635e-11,5.9143622978534146e-8
ENSG00000243181,AC087343.1,ENSG00000243181.2,2.184460180855019,0.18916470990067627,63.04406287033066,5.80692377555708e-11,6.181470359080512e-8
ENSG00000008324,SS18L2,ENSG00000008324.12,0.9633057194142105,4.957060757221885,60.93964467458396,9.273251447398149e-11,9.248624374564013e-8
ENSG00000141579,ZNF750,ENSG00000141579.7,-2.363476205551287,6.354089630186741,60.82301358518089,9.557056657604898e-11,9.248624374564013e-8
ENSG00000105404,RABAC1,ENSG00000105404.11,2.17601241714287,4.316531398576842,60.071256923242295,1.1599363399695066e-10,1.0736975946935128e-7
ENSG00000241612,AC114728.1,ENSG00000241612.1,1.7417471146415398,-1.1336217560200106,58.5415557735019,1.2898310672997275e-10,1.1441876426171333e-7
