chaperone_ensembl,chaperone_gene_name,chaperone_uniprot,interactor_ensembl,interactor_gene_name,interactor_uniprot
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000109519,GRPEL1,Q9HAV7
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000164284,GRPEL2,Q8TAA5
ENSG00000205138,SDHAF1,A6NFY7,ENSG00000113013,HSPA9,P38646
ENSG00000113013,HSPA9,P38646,ENSG00000205138,SDHAF1,A6NFY7
ENSG00000205138,SDHAF1,A6NFY7,ENSG00000100209,HSCB,Q8IWL3
ENSG00000100209,HSCB,Q8IWL3,ENSG00000205138,SDHAF1,A6NFY7
ENSG00000152137,HSPB8,Q9UJY1,ENSG00000173641,HSPB7,Q9UBY9
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000152137,HSPB8,Q9UJY1
ENSG00000100209,HSCB,Q8IWL3,ENSG00000164284,GRPEL2,Q8TAA5
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000100209,HSCB,Q8IWL3
ENSG00000113013,HSPA9,P38646,ENSG00000205981,DNAJC19,Q96DA6
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000113013,HSPA9,P38646
ENSG00000113013,HSPA9,P38646,ENSG00000213221,DNLZ,Q5SXM8
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000113013,HSPA9,P38646
ENSG00000152137,HSPB8,Q9UJY1,ENSG00000109846,CRYAB,P02511
ENSG00000109846,CRYAB,P02511,ENSG00000152137,HSPB8,Q9UJY1
ENSG00000113013,HSPA9,P38646,ENSG00000109519,GRPEL1,Q9HAV7
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000113013,HSPA9,P38646
ENSG00000126602,TRAP1,Q12931,ENSG00000113013,HSPA9,P38646
ENSG00000113013,HSPA9,P38646,ENSG00000126602,TRAP1,Q12931
ENSG00000100209,HSCB,Q8IWL3,ENSG00000109519,GRPEL1,Q9HAV7
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000100209,HSCB,Q8IWL3
ENSG00000144381,HSPD1,P10809,ENSG00000115541,HSPE1,P61604
ENSG00000115541,HSPE1,P61604,ENSG00000144381,HSPD1,P10809
ENSG00000144381,HSPD1,P10809,ENSG00000166855,CLPX,O76031
ENSG00000166855,CLPX,O76031,ENSG00000144381,HSPD1,P10809
ENSG00000100209,HSCB,Q8IWL3,ENSG00000126602,TRAP1,Q12931
ENSG00000126602,TRAP1,Q12931,ENSG00000100209,HSCB,Q8IWL3
ENSG00000109846,CRYAB,P02511,ENSG00000106211,HSPB1,P04792
ENSG00000106211,HSPB1,P04792,ENSG00000109846,CRYAB,P02511
ENSG00000100209,HSCB,Q8IWL3,ENSG00000113013,HSPA9,P38646
ENSG00000113013,HSPA9,P38646,ENSG00000100209,HSCB,Q8IWL3
ENSG00000152137,HSPB8,Q9UJY1,ENSG00000106211,HSPB1,P04792
ENSG00000106211,HSPB1,P04792,ENSG00000152137,HSPB8,Q9UJY1
ENSG00000144381,HSPD1,P10809,ENSG00000276726,DNAJA3,Q96EY1
ENSG00000144381,HSPD1,P10809,ENSG00000113013,HSPA9,P38646
ENSG00000113013,HSPA9,P38646,ENSG00000144381,HSPD1,P10809
ENSG00000080824,HSP90AA1,P07900,ENSG00000096384,HSP90AB1,P08238
ENSG00000096384,HSP90AB1,P08238,ENSG00000080824,HSP90AA1,P07900
ENSG00000096384,HSP90AB1,P08238,ENSG00000106211,HSPB1,P04792
ENSG00000106211,HSPB1,P04792,ENSG00000096384,HSP90AB1,P08238
ENSG00000106211,HSPB1,P04792,ENSG00000080824,HSP90AA1,P07900
ENSG00000080824,HSP90AA1,P07900,ENSG00000106211,HSPB1,P04792
ENSG00000205138,SDHAF1,A6NFY7,ENSG00000117118,SDHB,P21912
ENSG00000205138,SDHAF1,A6NFY7,ENSG00000136003,ISCU,Q9H1K1
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000188522,FAM83G,A6ND36
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000168268,NT5DC2,Q9H857
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000204237,OXLD1,Q5BKU9
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000164898,FMC1,Q96HJ9
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000274853,MRM1,Q6IN84
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000101247,NDUFAF5,Q5TEU4
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000134548,SPX,Q9BT56
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000115523,GNLY,P22749
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000115760,BIRC6,Q9NR09
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000146085,MMUT,P22033
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000123064,DDX54,Q8TDD1
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000137992,DBT,P11182
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000066926,FECH,P22830
ENSG00000205138,SDHAF1,A6NFY7,ENSG00000073578,SDHA,P31040
ENSG00000205138,SDHAF1,A6NFY7,ENSG00000004779,NDUFAB1,O14561
ENSG00000205138,SDHAF1,A6NFY7,ENSG00000171446,KRT27,Q7Z3Y8
ENSG00000205138,SDHAF1,A6NFY7,ENSG00000285199,CIDEB,Q9UHD4
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000166788,SAAL1,Q96ER3
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000156009,MAGEA8,P43361
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000157800,SLC37A3,Q8NCC5
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000166016,ABTB2,Q8N961
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000118434,SPACA1,Q9HBV2
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000163346,PBXIP1,Q96AQ6
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000196950,SLC39A10,Q9ULF5
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000133195,SLC39A11,Q8N1S5
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000115194,SLC30A3,Q99726
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000129128,SPCS3,P61009
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000137040,RANBP6,O60518
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000140274,DUOXA2,Q1HG44
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000168785,TSPAN5,P62079
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000144407,PTH2R,P49190
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000146411,SLC2A12,Q8TD20
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000288705,UGT1A5,P35504
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000134216,CHIA,Q9BZP6
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000188996,HUS1B,Q8NHY5
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000121310,ECHDC2,Q86YB7
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000063241,ISOC2,Q96AB3
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000178127,NDUFV2,P19404
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000143119,CD53,P19397
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000088386,SLC15A1,P46059
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000137252,HCRTR2,O43614
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000282725,CORO7,P57737
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000099282,TSPAN15,O95858
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000137860,SLC28A2,O43868
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000164073,MFSD8,Q8NHS3
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000171953,ATPAF2,Q8N5M1
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000206072,SERPINB11,Q96P15
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000171989,LDHAL6B,Q9BYZ2
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000169067,ACTBL2,Q562R1
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000166816,LDHD,Q86WU2
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000103264,FBXO31,Q5XUX0
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000112303,VNN2,O95498
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000147145,LPAR4,Q99677
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000160124,MIX23,Q4VC31
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000184903,IMMP2L,Q96T52
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000197208,SLC22A4,Q9H015
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000217930,PAM16,Q9Y3D7
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000138074,SLC5A6,Q9Y289
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000165272,AQP3,Q92482
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000088682,COQ9,O75208
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000162972,MAIP1,Q8WWC4
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000131477,RAMP2,O60895
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000171051,FPR1,P21462
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000112695,COX7A2,P14406
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000104324,CPQ,Q9Y646
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000117266,CDK18,Q07002
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000054983,GALC,P54803
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000174840,PDE12,Q6L8Q7
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000144837,PLA1A,Q53H76
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000141385,AFG3L2,Q9Y4W6
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000163482,STK36,Q9NRP7
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000067992,PDK3,Q15120
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000277236,CCL14,Q16627
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000142173,COL6A2,P12110
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000137133,HINT2,Q9BX68
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000277494,GPIHBP1,Q8IV16
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000136143,SUCLA2,Q9P2R7
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000177542,SLC25A22,Q9H936
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000116670,MAD2L2,Q9UI95
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000114739,ACVR2B,Q13705
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000196296,ATP2A1,O14983
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000135124,P2RX4,Q99571
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000157017,GHRL,Q9UBU3
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000106688,SLC1A1,P43005
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000101162,TUBB1,Q9H4B7
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000197548,ATG7,O95352
