ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0000502,proteasome complex,1.664039039039039,10,0.08680555555555555,5.694130359197651e-17,1.2827105958865605e-14,"PSMA1, PSMA2","PSMC1, PSMC2, PSMC4, PSMD1, PSMD2, PSMD3, PSMD7, PSMD8, PSMD12, PSME3, PSMD14"
GO:0005747,mitochondrial respiratory chain complex I,1.6202485380116958,10,0.08680555555555555,3.189108984841841e-16,4.6897217344960905e-11,"NDUFA1, NDUFA3, NDUFA7, NDUFA9, NDUFB7, NDUFB8, NDUFC2, NDUFS8, NDUFV2, NDUFA13, NDUFA11","NDUFAB1, NDUFS1"
GO:0022624,proteasome accessory complex,2.6640625,10,0.08680555555555555,1.079314966957124e-14,4.532385250497731e-12,,"PSMC1, PSMC2, PSMC4, PSMD1, PSMD2, PSMD3, PSMD8, PSMD12, PSMD14"
GO:0015629,actin cytoskeleton,1.5579312865497075,10,0.058823529411764705,1.3416581174862082e-13,4.885719712365313e-12,"DAPK1, ARPC3, ARPC1A, MPP4, DGKH","ABL1, ACTN4, AMPH, CALD1, EPHA3, FLNA, MYH9, MYLK, TPM1, TPM3, IQGAP1, WASF1, HAP1, NHERF1, NTN1, ACTR3, ACTR2, WASF2, BAIAP2, SYNPO"
GO:0051015,actin filament binding,1.6576388888888889,10,0.058823529411764705,1.5743803262782075e-13,1.426437617487195e-11,"ARPC4, ARPC3, MICALL2, MYH14","ACTN4, ACTN1, CFL2, FLNA, MYO1B, MYH9, MYL4, TPM1, ACTR3, ACTR2"
GO:0032981,mitochondrial respiratory chain complex I assembly,1.7760416666666665,10,0.08680555555555555,5.803191093442543e-13,9.241283626196612e-9,"NDUFA1, NDUFA3, NDUFA9, NDUFB7, NDUFB8, NDUFC2, NDUFS8, TAFAZZIN, NDUFA13, NDUFA11","NDUFAB1, NDUFS1"
GO:0004497,monooxygenase activity,1.5787037037037035,10,0.058823529411764705,1.4098444978696538e-10,1.896038546270662e-10,"CYP1A1, CYP1B1, CYP2C8, CYP2D6, CYP2J2, CYP3A5, CYP2W1",CYP2S1
GO:0006805,xenobiotic metabolic process,1.30414653784219,10,0.058823529411764705,9.356081256414776e-10,3.250818650748686e-8,"AOC2, ABCC2, CYP1A1, CYP1B1, CYP2C8, CYP2D6, CYP2J2, CYP3A5, HNF4A, SULT1A2, CYP2W1, VKORC1","NAT1, ALDH3A1, CBR1, FMO2, GSTA4, SLC22A1, CYP46A1"
GO:0051092,positive regulation of NF-kappaB transcription factor activity,1.389945652173913,10,0.058823529411764705,3.8954788077873925e-9,7.760124848100601e-8,"AGER, AGT, TRAF5, TRAF6, UBE2V1, WNT5A, TNFRSF11A, RIPK3, PYCARD, RNF31, CARD11","CAMK2A, CHUK, EDA, IRAK1, NTRK1, NTS, PLCG2, PRKCI, S100A8, S100A9, STAT3, TNF, MALT1, PRKD2, NOD2, RAB7B"
GO:0008210,estrogen metabolic process,1.5069444444444444,10,0.058823529411764705,9.215074080073304e-9,1.1878607180233696e-8,"CYP1A1, CYP1B1, CYP2C8, CYP2D6, CYP3A5, HSD17B1, UGT1A7",
GO:0008401,retinoic acid 4-hydroxylase activity,1.8944444444444444,10,0.058823529411764705,9.805986300550079e-7,1.1684206591712578e-6,"CYP2C8, CYP3A5, CYP2W1",CYP2S1
GO:0006661,phosphatidylinositol biosynthetic process,1.1840277777777777,10,0.11764705882352941,1.3984161138993302e-6,1.3984161138993302e-6,"IMPA1, INPPL1, MTMR3, MTMR7, SACM1L, INPP5J, SLC27A1","MTM1, PLCG2"
GO:0005178,integrin binding,1.148148148148148,10,0.058823529411764705,1.7139432787109928e-6,2.244364313938882e-6,"CDH17, DMP1, SRC","ACTN4, ACTN1, FGF2, TNC, IBSP, ICAM3, MYH9, PTPRZ1, SPP1, THBS4, TLN1, TNXB, JAM3"
GO:0038061,non-canonical NF-kappaB signal transduction,2.3680555555555554,10,0.11764705882352941,2.3902039318638546e-6,1.7516770991108125e-4,TRAF6,"AMFR, BIRC2, BIRC3, CHUK, CREBBP, NFKB1, TAB2"
GO:0004713,protein tyrosine kinase activity,1.1598639455782311,10,0.058823529411764705,2.710966190818257e-6,8.730300435014847e-5,"ERBB3, FES, INSR, SRC, TYK2","ABL1, BLK, EPHA7, FGFR1, FYN, JAK1, NTRK1"
GO:0042573,retinoic acid metabolic process,1.5787037037037035,10,0.058823529411764705,3.0620739952545326e-6,3.647635958711954e-6,"CYP2C8, CYP3A5, ALDH1A2",CYP2S1
GO:0005245,voltage-gated calcium channel activity,2.2434210526315788,10,0.058823529411764705,3.612380065363093e-6,1.989119256243378e-4,"CACNA1F, CACNB1, CACNB3, CACNB4, TRPV1, TPCN2","CACNA1A, CACNA1C, CACNA2D1"
GO:0004143,ATP-dependent diacylglycerol kinase activity,2.1527777777777777,10,0.058823529411764705,4.0663810473442114e-6,4.0663810473442114e-6,"DGKA, DGKQ, DGKZ, DGKD, DGKH",
GO:0000159,protein phosphatase type 2A complex,2.1527777777777777,10,0.058823529411764705,4.718589773889195e-6,4.718589773889195e-6,,"PPP2CA, PPP2CB, PPP2R3A, PPP2R5A, PPP2R5C"
GO:0046339,diacylglycerol metabolic process,3.157407407407407,10,0.058823529411764705,6.944016528604323e-6,6.944016528604323e-6,"DGKA, DGKQ, DGKZ, DGKD, DGAT1, PGS1, DGAT2, DGKH",
GO:0005751,mitochondrial respiratory chain complex IV,1.8215811965811963,9,0.058823529411764705,6.994330509048096e-6,8.955881592412946e-4,"COX4I1, COX5B, COX6A1, COX6B1, COX6C",
GO:0008202,steroid metabolic process,1.1050925925925925,10,0.058823529411764705,8.399933384330992e-6,1.0382761114034958e-5,"CYP1A1, CYP1B1, CYP2C8, CYP2D6, CYP3A5, RDH16",SULT2B1
GO:0004623,phospholipase A2 activity,1.8944444444444442,10,0.11764705882352941,1.149860230434926e-5,1.3692182467783588e-5,"PLA2G6, PLA2G10, PNPLA2, PLB1, PLA2G4B",PLA2G2D
GO:0001726,ruffle,1.7964559386973178,10,0.058823529411764705,2.1712400071455448e-5,9.749071046504507e-4,INPP5J,"ACTN1, ARF6, CTTN, FGD1, ITGA5, MTM1, MYH9, TLN1, IQGAP1, NCKAP1"
GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,1.546485260770975,10,0.11764705882352941,2.526820708918699e-5,3.6904722315151726e-5,"DGKQ, NTF3, ENPP2, SRC, VEGFA, ANGPT4","ABL1, ACVR1, FGF7, IL11, ITGA5, PAK2, PLCG2, RELN, PTPN11, THBS4"
GO:0017166,vinculin binding,3.157407407407407,10,0.058823529411764705,2.8008171234467825e-5,3.531096590058918e-5,PXN,"ACTN1, CTNNA1, TLN1"
GO:0005200,structural constituent of cytoskeleton,1.6280381944444444,10,0.058823529411764705,3.422496317905953e-5,0.0018910497647599527,"NEFL, ARPC4, ARPC3","KRT9, KRT14, KRT15, KRT31, MSN, TPM1, ACTR3, ACTR2"
