ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0004713,protein tyrosine kinase activity,1.458200665929687,10,0.2857142857142857,1.4912584920833182e-25,6.921057341833021e-19,"ABL1, ABL2, ALK, AXL, BLK, BTK, CSF1R, EPHA7, FGFR1, FGR, FLT3, FYN, HCK, JAK1, JAK3, LCK, LYN, MATK, NTRK1, PDGFRB, RET, ZAP70","ERBB2, ERBB3, ERBB4, FGFR3, INSR, MET, PTK2, SRC, TYK2, TYRO3, WEE1, YES1"
GO:0062023,collagen-containing extracellular matrix,1.6286814790788193,4,0.125,8.518410521233777e-20,1.9983281153744237e-19,"COL1A1, COL3A1, COL4A1, COL4A2, COL6A1, COL6A2, COL6A3, DCN, FGF10, FGFR2, FN1, TNC, LAMA4, LAMB1, LAMB2, LAMC1, LTBP1, LUM, SERPINE1, SERPINE2, SFRP1, SFRP2, TGFB3, THBS1, THBS4, TNXB, VTN, VWF, WNT2, CDON",TNN
GO:0018108,peptidyl-tyrosine phosphorylation,1.3326740662800725,10,0.16666666666666666,2.5130980262126056e-18,6.262916136085526e-12,"ABL1, ABL2, BLK, BTK, CSF1R, EPHA3, FGFR1, FGFR2, FGR, FLT3, FYN, HCK, JAK3, LCK, LYN, NTRK1, PDGFB, PDGFRA, PDGFRB, ZAP70","ERBB2, ERBB4, FLT1, INSR, PTK2, SRC"
GO:0005178,integrin binding,1.5602227267812736,10,0.16666666666666666,3.7910267882600267e-17,2.0840449812171229e-4,"ACTN4, ACTN1, CD40LG, COL3A1, S1PR3, FCER2, FGF1, FGF2, FN1, TNC, IBSP, ICAM1, ICAM2, ICAM3, IGF1, ITGAV, ITGAX, ITGB1, ITGB2, ITGB3, MYH9, CX3CL1, CXCL12, SELP, SFRP2, SPP1, THBS1, THBS4, THY1, TLN1, TNXB, VCAM1, VTN, VWF, PLPP3, S1PR2, CD226, JAM2, JAM3, FERMT3","CDH17, DMP1, EMP2, HMGB1, IL1B, PPIA, PTK2, SRC, ADAM17"
GO:0005201,extracellular matrix structural constituent,1.6070481387494993,4,0.125,1.1052694650578774e-15,2.43676754883243e-13,"COL3A1, COL4A1, COL4A2, COL4A4, FN1, TNC, LAMA4, LAMB1, LAMB2, LAMC1, THBS1, TNXB, VTN",
GO:0005747,mitochondrial respiratory chain complex I,1.9356146610444374,10,0.14285714285714285,1.1047594972329069e-13,5.880841138530647e-5,,"NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFA10, NDUFAB1, NDUFB1, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFS3, NDUFV1, NDUFS4, NDUFS5, NDUFS8, NDUFV2, NDUFV3, NDUFA13, NDUFA12, NDUFA11, NDUFS7"
GO:0007229,integrin-mediated signaling pathway,1.35431578188633,8,0.2857142857142857,3.5512122682597273e-13,0.015239673925598617,"ABL1, CD40LG, COL3A1, DAB2, FGR, FN1, HCK, ITGA5, ITGAV, ITGB1, ITGB2, ITGB3, ITGB5, PRKD1, THY1, ZYX, ITGA10, PLPP3, BCAR1, ITGA11, FERMT3","APOA1, CDH17, NME2, PTK2, SRC, CUL3, LAT, ZNF304"
GO:0007155,cell adhesion,1.4864441508508501,8,0.25,2.316999519618487e-12,0.015474005652234474,"ACHE, RHOB, CD72, CCR1, CCR8, CX3CR1, DSC2, S1PR1, FPR2, GP1BA, CXCR3, HCK, IBSP, ICAM1, ITGA5, ITGA9, ITGAM, ITGAV, ITGAX, ITGB1, ITGB2, ITGB3, LAMB1, LAMC1, RAC1, CCL2, CCL4, CCL11, CX3CL1, CXCL12, SELP, SELPLG, SPP1, TNXB, VCAM1, VCL, VTN, VWF, SSPN, AOC3, PLXNC1, ITGA11, CDON, SIRPA","ALCAM, ADGRB1, CDH17, CTNND2, EFNB1, EMP2, INPPL1, AFDN, NME2, PTPRF, ADAM17, FARP2, SLURP1, FREM2"
GO:0007160,cell-matrix adhesion,1.1408275798155785,4,0.125,3.252688708485256e-11,1.6983315152044841e-9,"COL3A1, ITGA1, ITGAL, ITGAV, ITGB1, ITGB2, ITGB3, ITGB5, VCAM1, VCL, VTN, ITGA10, ITGA8, SGCE, SORBS1, ITGA11, PARVG","EMP2, TSC1"
GO:0004715,non-membrane spanning protein tyrosine kinase activity,1.5010889208099718,10,0.14285714285714285,1.4769633142843078e-10,4.680132633439917e-7,"ABL1, ABL2, BLK, BTK, FGR, FYN, ITK, JAK1, LCK, LYN, ZAP70","PTK2, SRC, TYK2, YES1"
