ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0006661,phosphatidylinositol biosynthetic process,1.4216836225812888,10,0.14646464646464646,2.3911717730145204e-20,1.649943525930655e-14,"INPP5D, PLCG2, PTEN, PIP5K1B, PIP5K1C, SLC27A1","CDS1, IMPA1, MTM1, OCRL, PI4KA, PIP5K1A, MTMR1, SYNJ1, SYNJ2, MTMR2, MTMR6, MTMR4, CDIPT, SACM1L, PI4K2B, MTMR14"
GO:0004713,protein tyrosine kinase activity,1.4243212545341295,10,0.3,9.620746767161988e-15,7.325175895879355e-11,"ALK, AXL, BLK, BTK, EGFR, EPHA4, EPHB2, PTK2B, FES, FGR, FYN, JAK2, JAK3, KIT, LCK, MATK, MET, NTRK1, PDGFRB, TYK2, ZAP70","FGFR1, FGFR3, IGF1R, MET, PTK2, SRC, TYRO3, WEE1, YES1, CAMKK2"
GO:0005747,mitochondrial respiratory chain complex I,1.3468581687612209,10,0.1,2.6964433547181957e-14,6.916550664147882e-7,"NDUFA3, NDUFA7, NDUFB7, NDUFB8, NDUFV2, NDUFA13, NDUFA11, NDUFS7","NDUFA4, NDUFA5, NDUFA10, NDUFAB1, NDUFB3, NDUFB5, NDUFB6, NDUFB9, NDUFB10, NDUFC1, NDUFS1, NDUFS2, NDUFS4, NDUFA12"
GO:0007186,G protein-coupled receptor signaling pathway,0.9217777175569933,9,0.1,7.710828331713021e-13,2.207396000200633e-9,"ABCA1, APOE, C3, CD3E, CX3CR1, S1PR1, LPAR1, GNAI2, XCR1, GRK5, CXCL1, HTR2B, CXCL8, PDE3A, PIK3CG, PLCB2, PTH1R, PTH2R, CCL5, CCL21, CXCL12, TBXA2R, TSHR, CXCR4, LGR5, S1PR4, S1PR2, RGS14, CXCR6, RAPGEF4, AKAP13, PIK3R5, ACKR4, GHRL, P2RY12, PIK3R6","ADRA1D, ADRA2C, AGTR1, CALM1, CALM2, CALM3, CGA, CCR8, S1PR3, FPR2, GNAZ, GPR37, FFAR2, HRH1, ITPR3, OPRD1, PIK3CB, PTGER2, SORT1, RGS9, GABBR2, ARHGEF11, LANCL1, NMUR1, FRS2, SUCNR1, NLN"
GO:0018108,peptidyl-tyrosine phosphorylation,1.2483075710469853,10,0.19090909090909092,5.1626822462090854e-11,5.456853623857484e-6,"BLK, BTK, EGFR, EPHA4, EPHB2, PTK2B, FES, FGR, FLT4, FYN, JAK2, JAK3, LCK, NTRK1, PDGFRA, PDGFRB, RELN, ZAP70","FGFR1, PDGFB, PTK2, SRC"
GO:0032981,mitochondrial respiratory chain complex I assembly,1.3085951526032316,10,0.1,5.4903706452933316e-11,2.9581934154699604e-6,"NDUFA3, NDUFB7, NDUFB8, NDUFA13, NDUFA11, NDUFS7","NDUFA5, NDUFA10, NDUFAB1, NDUFB3, NDUFB5, NDUFB6, NDUFB9, NDUFB10, NDUFC1, NDUFS1, NDUFS2, NDUFS4"
GO:0004715,non-membrane spanning protein tyrosine kinase activity,1.661708130289818,10,0.19090909090909092,2.022773264622922e-9,1.4951776950776012e-5,"BLK, BTK, PTK2B, FES, FGR, FYN, ITK, JAK2, LCK, TEC, TYK2, ZAP70","PTK2, SRC, YES1"
GO:0042613,MHC class II protein complex,1.9684850158817844,10,0.1,3.2407757795283584e-9,0.0013589924132654137,"CD74, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5",
GO:0046856,phosphatidylinositol dephosphorylation,1.789531832619804,10,0.1111111111111111,3.5506729518102995e-9,2.0665887757765113e-5,"INPP5B, PTEN","MTM1, MTMR1, SYNJ1, MTMR2, MTMR6, SACM1L, PIP4P2, PIP4P1"
GO:0004438,phosphatidylinositol-3-phosphate phosphatase activity,1.938659485338121,10,0.1111111111111111,1.4743020632250356e-8,1.1248367395959897e-5,PTEN,"MTM1, MTMR1, SYNJ1, SYNJ2, MTMR2, MTMR6, MTMR4, SACM1L, MTMR14"
GO:0004674,protein serine/threonine kinase activity,1.2971394374625973,10,0.5227272727272727,2.6846392029888504e-8,1.7555986672127377e-5,"ACVR2A, ACVRL1, ATM, CAMK2A, CDK9, CSNK1E, CSNK1G2, GRK5, MKNK2, ILK, LIMK1, MAP3K1, MAP3K5, PAK3, PRKAA1, PRKCB, PRKD1, MAPK11, MAP2K2, MAP2K6, RPS6KA1, RPS6KA2, MKNK1, RPS6KA4, PIM2, MAP4K1, IRAK3, SIK2, DAPK2, PRKD2, LRRK2, KSR2","ACVR1B, AKT2, BUB1, CDK1, CDK2, CDK7, CHEK1, MAPK14, CSNK1A1, CSNK1D, CSNK1G3, CSNK2A1, CSNK2A2, GSK3A, GSK3B, IRAK1, PAK2, PDK3, PDPK1, PLK1, PRKCD, PRKCI, PKN2, PRKDC, MAPK1, MAPK3, MAPK4, MAPK6, MAPK9, MAPK13, MAP2K1, EIF2AK2, RAF1, RPS6KB1, SRPK1, STK3, STK4, AURKA, MAP3K7, ULK1, MAP4K3, PPM1D, MAPKAPK5, RIPK2, PKMYT1, ROCK2, ULK2, OXSR1, PLK4, RIPK3, CHEK2, SMG1, TBK1, IRAK4, TAOK3, NLK, CSNK1G1, WNK1, CSNK2A3, EIF2AK4"
GO:0038096,Fc-gamma receptor signaling pathway involved in phagocytosis,1.5121543985637342,10,0.2,4.150960323193511e-8,1.5043141501291829e-5,"FGR, FYN, LIMK1, PLD2, VAV1, PLA2G6, MYO1G, PLPP4","PRKCD, PTK2, SRC, VAV2, YES1"
GO:0001784,phosphotyrosine residue binding,1.1230854949544975,10,0.19090909090909092,6.387222429312687e-8,4.768230749761115e-5,"FGR, LCK, PIK3R1, PLCG2, VAV1, ZAP70, LDLRAP1, SHC3, PTPN5","CRKL, GRB2, PTPN11, VAV2, YES1"
GO:0030168,platelet activation,1.3293665042318543,10,0.2727272727272727,1.3426204719381496e-7,0.0027468328155600377,"CD40LG, DGKA, DGKG, GP1BA, LCK, PLCG2, VAV1, DGKD, F2RL3, DGKI, P2RY12, DGKH","MAPK14, PIK3CA, PIK3CB, PPIA, SRC, TYRO3, VAV2, DGKE"
GO:0051092,positive regulation of NF-kappaB transcription factor activity,1.2137694169073452,10,0.1,1.5272153723845568e-7,2.3645795638434854e-4,"AGER, ALK, BTK, CAMK2A, CD40, CD40LG, IL18, NTRK1, ROR1, PLCG2, PRKD1, RPS3, TRAF1, UBE2V1, WNT5A, TRADD, IL18RAP, IL18R1, CFLAR, RPS6KA4, ARHGEF2, AIM2, NOD1, IRAK3, PRKD2, PYCARD, RNF31, CARD9, CLEC7A, CARD11, NLRP3, CARD16","CHUK, HSPA1A, HSPA1B, IRAK1, PPIA, PRKCI, EIF2AK2, TFRC, UBE2N, TRIM25, TNFSF11, RIPK2, CLOCK, LAMTOR5, RIPK3, DHX33"
GO:1990454,L-type voltage-gated calcium channel complex,1.4804308797127468,10,0.1,1.609471496490384e-7,0.0013815010047348634,"CACNA1C, CACNA1D, CACNA2D1, CACNB2","CACNG1, CACNG4, CACNG8"
GO:0004725,protein tyrosine phosphatase activity,1.6284739676840214,10,0.1,2.7901482521510665e-7,0.006369940697827085,"DUSP4, DUSP6, PTEN, PTPRC, PTPRM, PTPRS, CDC14B, PTPN5","ACP1, CDC25A, CDC25B, DUSP1, DUSP3, DUSP5, PPP2CA, PTK2, PTPN1, PTPN11, PTPN13, HACD2, PGP"
GO:0048010,vascular endothelial growth factor receptor signaling pathway,1.661708130289818,10,0.4,1.2733030336379416e-6,2.016475511418045e-6,"AXL, PTK2B, FLT4, FYN, PRKD1, VAV1, VEGFC, NRP1, PRKD2","MAPK14, HSPB1, PAK2, PTK2, SRC, VAV2"
GO:0007249,canonical NF-kappaB signal transduction,0.9970248781738907,8,0.1,1.6699070487262368e-6,0.02721414596854333,"NFKB2, TRADD, CARD11","BIRC2, CHUK, IRAK1, MAP3K7, RIPK2, ROCK2, TBK1, HACD3, ZNF675"
GO:0016301,kinase activity,1.5287714798666325,9,0.1,3.302592936185276e-6,0.046750948504165356,"CAMK2A, CDK9, DGKA, EPHA4, PIK3CD, PIK3CG, PRKD1, LRRK2","CDK1, CSNK2A1, GSK3B, IRAK1, PIK3CA, PIK3CB, PI4KA, PKN2, EIF2AK2, CCL3, DGKE, CDK5R1, PKMYT1, IRAK4, TRIB3"
GO:0046777,protein autophosphorylation,1.1984440454817475,10,0.10555555555555556,3.5092646352051697e-6,0.014424843100977176,"ALK, ATM, CAMK2A, CAMK2B, EGFR, EPHA4, PTK2B, FES, FGR, FLT4, GRK5, INSRR, JAK2, KIT, NTRK1, NTRK2, PDGFRA, PDGFRB, PRKD1, TXK, MAP4K1, SIK2, DAPK2, PRKD2, LRRK2","ACVR1B, FGFR1, GSK3B, IGF1R, IRAK1, PAK2, PDPK1, EIF2AK2, PTK2, SRC, STK4, AURKA, TYRO3, ULK1, MAPKAPK5, ULK2, OXSR1, CAMKK2, RIPK3, CHEK2, SMG1, EIF2AK1, TAOK3, MAP3K21, MYLK2, EIF2AK4"
GO:0071276,cellular response to cadmium ion,1.8278789433187999,10,0.45454545454545453,4.044714722922589e-6,1.567223273618728e-5,"EGFR, JUN, MMP9, NCF1","CHUK, DAXX, HSF1, MAPK1, MAPK3, MAPK9, SUMO1"
GO:0062023,collagen-containing extracellular matrix,1.221355475763016,9,0.1,4.680719896850789e-6,1.7760983494175006e-4,"COL1A1, COL3A1, COL6A1, COL6A2, COL6A3, DCN, F3, FGF10, TNC, LAMA4, LAMB1, LAMB2, SERPINE1, PLAT, SFRP2, TGFB2, TGFB3, TNN, LAMA1, AGRN",NPNT
GO:0005788,endoplasmic reticulum lumen,1.0856493117893475,9,0.1,5.246385043601523e-6,9.686620160868045e-5,"APOA2, APOE, ARSA, ARSB, BGLAP, SERPING1, C3, C4A, CES1, COL1A1, COL1A2, COL3A1, COL4A3, COL4A5, COL4A6, COL6A1, COL6A2, COL6A3, DMP1, F10, GAS6, GIP, GPC3, GPX7, TNC, IGFBP3, LAMB1, LAMB2, LIPC, MEN1, PDGFA, PENK, CFP, PROC, SPP1, TIMP1, WNT5A, H6PD, EBI3, IL23A, GHRL, PDGFC, TXNDC5, PCSK9, P4HA3, GPX8","AFP, DAG1, HRC, HSPA5, PDGFB, MAPK1, MAPK3, DNAJC3, ADAM17, HSP90B1, WFS1, WNT3, CES2, MINPP1, PDIA6, GANAB, IL27"
GO:0046854,phosphatidylinositol phosphate biosynthetic process,1.4955373172608362,10,0.3333333333333333,5.991250966007614e-6,0.016365348702561792,"PIK3CG, PIK3R1, IP6K2","PIK3CA, PIK3CB, PI4KA, IP6K1, SMG1, PI4K2B"
GO:0051403,stress-activated MAPK cascade,1.3958348294434468,10,0.6515151515151515,6.692102494347546e-6,1.5632747793950533e-5,"MAP3K5, MAPK11, MAP2K6, CCM2","MAPK14, MAPK1, MAPK3, MAPK13, MAP3K7"
GO:0030335,positive regulation of cell migration,1.0434549582849297,9,0.1,1.5331920077863635e-5,0.001139366251864346,"ATM, BMP2, CAV1, COL1A1, EGF, EGFR, EPHA2, EPHA4, EPHB2, F3, F10, PTK2B, FGR, HGF, IGF1, ITGAX, LAMB1, LAMC2, MMP14, NTF3, ROR2, PDGFA, PDGFRA, PDGFRB, PIK3CD, PPP3CA, PRKCA, CCL5, CCL11, SNAI2, SMO, TGFB1, TIAM1, TRIP6, XBP1, CXCR4, FZD4, TRADD, SPRY2, CCL26, VSIR, CLEC7A, FERMT3, TWIST2","ACTG1, ACTN4, AKT2, CLDN4, DRD1, HSPA5, IGF1R, PDGFB, PTK2, RDX, CCL3, CCL7, ADAM17, UBE2I, ADAM9, ROCK2, PDCD10"
GO:0034614,cellular response to reactive oxygen species,1.4955373172608362,10,0.2727272727272727,1.7388960559283454e-5,0.001726029682208107,"ATM, EGFR, JUN, MMP9, PDGFRA, PEX14, RPS3, LRRK2, NCF1","CHUK, GPR37, PDK2, PEX13, MAPK1, MAPK3, MAPK9, PEX5, CAMKK2"
GO:0004930,G protein-coupled receptor activity,0.7269973070017953,9,0.1,2.3754584872757877e-5,0.005551618893096577,"CX3CR1, S1PR1, LPAR1, GRM2, GRM6, GRM8, VIPR2, CXCR4, LGR5, F2RL3, S1PR2, CXCR6, GPR161","GPR37, FFAR2, HCRTR1, LANCL1, NMUR1, LGR4, SUCNR1"
GO:0006468,protein phosphorylation,1.2382405745062837,10,0.4772727272727273,2.474711491945099e-5,2.431746171042894e-4,"ATM, BTK, CAMK4, CAMK2A, CAMK2B, CDK9, CSNK1E, CSNK1G2, PTK2B, FGR, GAS6, MKNK2, IGFBP3, ILK, JAK2, JAK3, LCK, LIMK1, MATK, MAP3K5, NTRK1, PRKAA1, PRKCA, PRKCB, MAPK10, RPS6KA1, CCL11, TEC, TXK, TYK2, WNT11, ZAP70, CAMK1, MKNK1, RPS6KA4, MAP3K6, HCST, PIM2, MAP4K1, IRAK3, SIK2, DAPK2, PRKD2, PKN3, STRADA, LRRK2, GLYCTK","BIRC5, CDK1, CDC25B, CDK2, CDK4, CHEK1, CHUK, CSNK1A1, CSNK1D, CSNK2A1, GSK3A, GSK3B, PAK2, PDGFB, PDPK1, PLK1, PPP3CB, PRKAG1, PRKCD, PRKCI, PKN2, PRKDC, MAPK1, MAPK3, MAPK4, MAPK6, MAPK9, MAP2K1, EIF2AK2, RAF1, RARA, SRPK1, STK3, STK4, AURKA, YWHAZ, MAP4K3, ROCK2, MAML1, OXSR1, CAMKK2, PLK4, CHEK2, TBK1, TAOK3, NLK, WNK1, MAP3K21, MYLK3, HIPK1, CSNK2A3, EIF2AK4"
GO:0030036,actin cytoskeleton organization,1.1458345614834267,10,0.1,3.122196615586437e-5,7.114053103478925e-4,"DOCK2, S1PR1, FGF10, CXCL1, INSRR, KIT, PDGFA, TYROBP, S1PR2, ELMO1, PIP5K1C, MICALL2, FGD3, AGAP2, CLDN19","RHOA, DIAPH1, CTTN, FGD1, GRB2, NF1, PAFAH1B1, PDPK1, PIK3CA, PTPN1, EZR, PIP5K1A, WASF1, ROCK2, ARPC5, MRAS, SSH1, DIAPH3"
GO:0007229,integrin-mediated signaling pathway,1.3441372431677638,8,0.10555555555555556,3.1651541577942715e-5,0.04947123733330334,"CD40LG, CDH17, COL3A1, PTK2B, FGR, ILK, ITGA5, ITGB2, ITGB5, ITGB7, PRKD1, TEC, THY1, ZYX, MADCAM1, ITGA10, PLPP3, NRP1, LAT, CCM2, FERMT3","CD47, NME2, PTK2, SRC, CUL3"
