ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0006805,xenobiotic metabolic process,1.265610325993043,5,0.058823529411764705,6.898558461028307e-17,3.6341112344748897e-16,"ALDH3A1, CBR1, CBR3, CYP2A6, CYP26A1, AKR1C1, FMO2, GSTA4, GSTP1, ABCC1, CYP4F2, UGT1A1","NAT1, CYP2B6, CYP2D6, FMO5, HNF4A, ABCB1, SLC22A1, SULT1A2, UGT2B7, UGT2B17, ABCB11, SLCO1B3, SMOX, CYP2W1"
GO:0000221,"vacuolar proton-transporting V-type ATPase, V1 domain",3.022861586314153,10,0.0625,6.898294975647442e-13,3.7953399206540963e-10,"ATP6V1A, ATP6V1B2, ATP6V1C1, ATP6V1E1, ATP6V1F, ATP6V1G1, ATP6V1H","ATP6V1B1, ATP6V1G2"
GO:0030020,extracellular matrix structural constituent conferring tensile strength,3.358735095904614,10,0.0625,4.286987718571084e-12,4.9254752511242174e-12,,"COL1A1, COL4A1, COL4A2, COL6A1, COL6A2, COL6A3, COL6A5"
GO:0004364,glutathione transferase activity,1.5266977708657337,5,0.058823529411764705,7.862602311415421e-12,2.2063565266565962e-9,"GSTA1, GSTA4, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTP1, MGST2",PTGES
GO:0005788,endoplasmic reticulum lumen,1.567409711422153,10,0.0625,1.0440488041186693e-11,1.4578589756703076e-11,"CES1, DBI, FMO1, SPP1, WNT3, P4HA2, ERO1A, WNT4","ADAM10, APOA1, ARSB, STS, BMP4, C3, C4A, COL1A1, COL1A2, COL2A1, COL3A1, COL4A1, COL4A2, COL4A3, COL4A4, COL6A1, COL6A2, COL6A3, COL9A2, COL9A3, CP, DAG1, F10, FN1, PDIA3, HRC, HSPA5, IGFBP3, LAMB1, LAMC1, LIPC, PDGFB, SERPINA1, DNAJC3, PROC, PTGS2, RDH5, SDC2, SHH, TIMP1, HSP90B1, VGF, WFS1, H6PD, PDIA6, MGAT4A, GANAB, IL23A, CYP2W1, PDGFC, PNPLA2, TXNDC5, NOTUM, P4HA3, GPX8"
GO:0000502,proteasome complex,0.9985428663500204,10,0.0625,1.465441098571841e-11,1.8389006746146688e-9,"HSPB1, PSMA3, PSMA7, PSMB2, PSMB5, PSMB7, PSMC2, PSMD8, PSMD11, PSMD12, ADRM1",
GO:0062023,collagen-containing extracellular matrix,1.5114307931570765,10,0.0625,1.8618523246971438e-11,2.3284844691671572e-11,,"COL1A1, COL3A1, COL4A1, COL4A2, COL6A1, COL6A2, COL6A3, FGF10, FN1, LAMA4, LAMB1, LAMC1, SFRP1, TGFB2, WNT2, CDON, COL6A5, AGRN"
GO:0042178,xenobiotic catabolic process,1.4694466044582686,5,0.058823529411764705,4.076535133214289e-11,9.155974567666532e-11,"CYP2A6, GSTM1, GSTM2, GSTM3, GSTM4","CYP2B6, CYP2D6"
GO:0006749,glutathione metabolic process,1.8659639421692298,5,0.058823529411764705,1.3734759153033479e-10,1.891469951759342e-8,"G6PD, GSTA1, GSTA4, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTP1, SOD1",
GO:0000159,protein phosphatase type 2A complex,2.442716433385174,9,0.125,1.6807472641931067e-10,0.015062750938610375,"PPP2CA, PPP2CB, PPP2R2A, PPP2R3A, PPP2R5A, PPP2R3B, PPP2R2D",NKD1
GO:0001972,retinoic acid binding,1.7677553136340072,5,0.058823529411764705,2.3616046345204154e-10,5.295428721986529e-10,"CYP26A1, RXRA, UGT1A7, UGT1A1, CYP26C1","SERPINA5, RARA, UGT2B7, UGT2B17, CYP2W1"
GO:0018108,peptidyl-tyrosine phosphorylation,1.3107258910847273,10,0.29411764705882354,4.0159992739478694e-10,2.175700285110451e-8,"EGFR, EPHA1","EPHB2, ERBB2, ERBB4, FGFR1, FGFR4, FLT1, FLT4, FYN, INSR, PDGFB, PDGFRA, PDGFRB, RELN, ABI2"
GO:0048407,platelet-derived growth factor binding,3.022861586314153,10,0.13333333333333333,5.048997043971832e-10,5.798608240350051e-10,,"COL1A1, COL1A2, COL2A1, COL3A1, COL4A1, COL6A1, PDGFB, PDGFRA, PDGFRB"
GO:0032981,mitochondrial respiratory chain complex I assembly,1.3644861327112494,10,0.0625,1.5699961737737947e-9,4.221882812902735e-5,"NDUFA1, NDUFA5, NDUFA6, NDUFA8, NDUFAB1, NDUFB3, NDUFB4, NDUFB5, NDUFB9, NDUFC1, NDUFS4, NDUFS5, NDUFS7",
GO:0004550,nucleoside diphosphate kinase activity,1.8085496670255612,10,0.0625,6.155286154137565e-9,9.75304801047986e-5,"AK4, CMPK1, AK8","AK5, NME7, AK7, AK9"
GO:0004623,phospholipase A2 activity,1.7913253844824606,9,0.11764705882352941,7.793608517742555e-9,0.041106106888882714,"PLB1, PLA2G4B","PLA2G2A, PLA2G4A, PLA2G6, PLA2G10, PLAAT3, PNPLA2"
GO:0005747,mitochondrial respiratory chain complex I,1.3258164852255054,10,0.0625,1.2116991672687642e-8,1.1202948284261627e-5,"NDUFA1, NDUFA5, NDUFA6, NDUFA8, NDUFAB1, NDUFB3, NDUFB4, NDUFB5, NDUFB9, NDUFC1, NDUFS4, NDUFS5, NDUFA12, NDUFS7",NDUFV2
GO:0005604,basement membrane,1.8892884914463455,10,0.0625,4.636501520841947e-8,5.320527142459704e-8,,"COL4A3, COL4A4, DAG1, LAMA2, LAMA4, LAMA5, LAMB1, LAMC1, AGRN"
GO:0005201,extracellular matrix structural constituent,1.975726527002714,10,0.0625,7.833016858800102e-8,8.987404025767333e-8,DSPP,"COL3A1, COL4A1, COL4A2, COL4A4, FN1, LAMA4, LAMB1, LAMC1, MUC5AC"
GO:0008970,phospholipase A1 activity,2.442716433385174,10,0.07179487179487179,9.430358918429536e-8,0.006290748142017419,"LPL, PLA2G4C, PLA2G4E, PLA2G4F, PLA2G4B","LIPC, PLAAT3, PLA2G4D"
GO:1902600,proton transmembrane transport,1.9592621392776914,10,0.0625,3.2110958951585756e-7,0.0025448637954648646,"ATP5F1B, ATP6V1B2, ATP6V1C1, ATP6V1E1, ATP6V0E1","ATP6V1B1, ATP6V0A4"
GO:0004713,protein tyrosine kinase activity,0.9596385988298896,10,0.1213235294117647,1.9890417220808187e-6,5.171670548138634e-6,"EGFR, FGFR3, MATK, TYRO3, RPS6KA5","EPHA7, EPHB2, ERBB2, ERBB3, ERBB4, FGFR1, FYN, INSR, PDGFRB"
GO:0031209,SCAR complex,1.4927711537353838,10,0.0625,2.259513217250964e-6,5.855542072133194e-6,"WASF1, ABI1, WASF2",ABI2
GO:0070374,positive regulation of ERK1 and ERK2 cascade,1.079593423683626,10,0.18823529411764706,2.7974310455574806e-6,5.261549003081229e-4,"ADCYAP1, CD36, CD44, CRKL, EGFR, FGFR3, HRAS, NOTCH1, P2RY1, MAP2K7, RAP1A, S100A7, TREM2, NOD2","AGER, ALOX15, ARRB1, CHRNA7, ERBB4, FGB, FGF2, FGFR4, FLT4, FPR2, IGF1, PDGFB, PDGFRA, PDGFRB, PLA2G2A, PRKCA, THPO, MAP3K12, TNFRSF11A, RAPGEF2, SPRY2, TIRAP"
GO:0006468,protein phosphorylation,1.0654052185933989,10,0.0625,3.7636005136318323e-6,0.018487883400739983,"CAMK2A, CDK5, CSNK1A1, CSNK2A1, DAPK3, MKNK2, GSK3B, LIPE, MATK, MYLK, PAK2, PIM1, PRKACA, PRKCH, MAPK6, STK3, STK11, YWHAZ, MKNK1, RPS6KA4, MAP3K6, RPS6KA5, DAPK2, SGK3, WNK1","ADAM10, CAMK2B, DAPK1, ERBB2, ERN1, IGFBP3, ILK, INSR, PDGFB, PRKAA1, PRKAB1, PRKCA, PRKCG, PKN1, PRKG1, RARA, TXK, MAP3K12, MAP4K3, CAMK1, EIF2AK3, ROCK2, OXSR1, HCST, IRAK3, PRKD3, LATS2, STK39, PKN3, NLK, BIRC6, IP6K3, GLYCTK, EIF2AK4"
GO:0043295,glutathione binding,2.0152410575427684,5,0.058823529411764705,5.120171295493548e-6,0.0010906548825413513,"GSTM1, GSTM2, GSTM3, GSTM4, MGST2",PTGES
GO:0008210,estrogen metabolic process,1.0686884396060135,5,0.058823529411764705,8.009867567837223e-6,1.4386633714124993e-5,"HSD17B10, HSD17B4, UGT1A7, UGT1A1","CYP2D6, UGT2B7, UGT2B17"
GO:0034976,response to endoplasmic reticulum stress,1.7224282543100582,8,0.06666666666666667,8.297590456261484e-6,0.004878335937763281,"ATF4, DDIT3, EIF2S1, JUN, NCK1, PIK3R1, PPP1R15A, ERO1A, TRIB3","ALOX15, CFTR, ERN1, HSPA5, CXCL8, HSP90B1, WFS1, XBP1, EIF2AK3, CREB3L2, CREB3L1"
GO:0047498,calcium-dependent phospholipase A2 activity,1.679367547952307,2,0.0900735294117647,8.325959642150825e-6,8.211680654829387e-4,PLA2G4B,"PLA2G2A, PLA2G4A, PLA2G10, PLA2G4D"
GO:0005925,focal adhesion,0.866770347330223,10,0.11764705882352941,8.685202892386927e-6,0.028572023896623742,"CAV2, FGFR3, RALA","ADGRB1, DAG1, ILK, ITGA1, ITGB1, ABCB4, PXN, TLE2, VASP, IL1RL1, BCAR1, ITGA11, PARVA"
GO:0086002,cardiac muscle cell action potential involved in contraction,2.137376879212027,10,0.0625,9.732267450102156e-6,8.099789105062214e-4,"CACNA2D1, SCN4B","CACNA1C, CACNA1D, SCN1B, SCN5A, CACNA1G"
GO:0004497,monooxygenase activity,1.1195783653015379,5,0.058823529411764705,1.4315468141631005e-5,9.163382536630582e-4,"FMO1, CYP4F3, CYP4F2, CYP4F8","CYP2B6, CYP2D6, FMO5, CYP2W1"
GO:0043235,receptor complex,1.467408537045705,10,0.0625,1.54300500716431e-5,0.002720141209777348,"ADRB2, CD36, EGFR, IL4R, LRP1, LRP2, NOTCH1, NOTCH3, NTRK2, NTRK3, RXRA, TLR2, VLDLR, GABRQ","ADCYAP1R1, ADRA2A, BMPR1B, ERBB2, ERBB3, ERBB4, FGFR1, FLT1, FLT4, INSR, ITGA3, ITGB1, ITPR2, ITPR3, LIFR, LRP5, NBR1, NR3C2, NPR1, ROR1, OLR1, TNFRSF11B, PPARG, PTH1R, TGFBR2, TSHR, CUBN, RAMP1, NLGN1, SLITRK5, AMN"
GO:0004714,transmembrane receptor protein tyrosine kinase activity,1.2595256609642302,10,0.13333333333333333,1.8951984162877023e-5,3.5756296806883664e-4,EGFR,"ERBB2, ERBB4, FLT1, FLT4, PDGFRA"
GO:0004115,"3',5'-cyclic-AMP phosphodiesterase activity",1.5266977708657337,10,0.0625,1.9036297811316727e-5,0.0033280929492423192,,"PDE3A, PDE4A, PDE4D, PDE7A, PDE7B"
GO:0019888,protein phosphatase regulator activity,1.5501854288790524,6,0.06066176470588235,2.2666202199835308e-5,4.18684945141725e-5,"PPP2R2A, PPP2R5A, PPP2R5B, PPP2R3B, PPP2R2D",PPP1R1B
GO:0086091,regulation of heart rate by cardiac conduction,1.9192771976597793,10,0.0625,3.0224146714490848e-5,0.001222474686561968,"CACNA2D1, DSC2, JUP, SCN4B","BIN1, CACNA1C, CACNA1D, ACE, KCNQ1, SCN1B, SCN5A, CACNA1G"
GO:0005839,proteasome core complex,1.199548248537362,10,0.0625,3.074796728273185e-5,5.7661260991666764e-5,"PSMA3, PSMA7, PSMB2, PSMB5, PSMB7",
