ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0062023,collagen-containing extracellular matrix,1.8533893897364773,10,0.125,4.554934473561702e-22,3.4409947612685204e-19,"COL1A1, COL3A1, COL4A1, COL4A2, COL6A1, COL6A2, COL6A3, DCN, FGF10, FN1, TNC, LAMA4, LAMB1, LAMB2, LAMC1, LTBP1, LUM, SERPINE1, SERPINE2, PLAT, SFRP1, SFRP2, TGFB2, TGFB3, THBS1, THBS4, TNXB, VWF, WNT2, CDON, TNN, AGRN",F3
GO:0005178,integrin binding,1.769995376791493,10,0.2111111111111111,1.2002152201853156e-16,9.625959893342977e-13,"ACTN4, ACTN1, COL3A1, S1PR3, FCER2, FGF1, FGF2, FN1, TNC, IBSP, ICAM1, ICAM2, ICAM3, IGF1, IGF2, ITGA4, ITGAV, ITGAX, ITGB1, ITGB2, ITGB3, KDR, LAMA5, MYH9, PTPRZ1, CX3CL1, CXCL12, SELP, SFRP2, SPP1, THBS1, THBS4, THY1, TLN1, TNXB, VCAM1, VWF, PLPP3, S1PR2, JAM2, JAM3, FERMT3","CDH17, DMP1, EMP2, NRG1, HMGB1, P4HB, PPIA, PRKCA, PTPN2, F11R"
GO:0005201,extracellular matrix structural constituent,1.7179366892388024,10,0.125,1.0313750712684432e-13,4.6580009743821565e-11,"COL3A1, COL4A1, COL4A2, COL4A4, FN1, TNC, LAMA4, LAMB1, LAMB2, LAMC1, THBS1, TNXB",DSPP
GO:0007155,cell adhesion,1.5342173810087614,10,0.13392857142857142,2.1601295463805364e-13,1.2925593942263572e-10,"RHOB, ADGRB1, CD72, CCR1, CCR3, CCR8, CTNND2, CX3CR1, CYP1B1, S1PR1, EPHB4, GP1BA, HCK, IBSP, ICAM1, ITGA5, ITGA9, ITGAM, ITGAV, ITGAX, ITGB1, ITGB2, ITGB3, LAMB1, LAMC1, ROBO1, CCL2, CCL11, CX3CL1, CXCL12, SELL, SELP, SELPLG, SPP1, TNXB, VCAM1, VCL, VWF, SSPN, MADCAM1, AOC3, CHST10, PLXNC1, ITGA11, CDON, SIRPA","ARF6, CD44, CDH17, DSC2, DSG2, EMP2, RAC1, MAGI1, FARP2, HES5"
GO:0007229,integrin-mediated signaling pathway,1.5975342887964248,10,0.25,6.763893908953586e-13,3.4478587487927535e-10,"ABL1, COL3A1, DAB2, FGR, FN1, HCK, ITGA5, ITGAV, ITGB1, ITGB2, ITGB3, ITGB5, LAMA5, PRKD1, THY1, ZYX, MADCAM1, SEMA7A, ITGA10, PLPP3, NRP1, BCAR1, ITGA11, ZNF304, CCM2, FERMT3","CD47, CDC42, CDH17, TEC, CUL3, LAT"
GO:0018108,peptidyl-tyrosine phosphorylation,1.2054565136497413,10,0.375,1.6687438516739686e-12,1.08382645098767e-9,"ABL1, ABL2, BLK, BTK, CSF1R, EPHA3, FES, FGFR1, FGR, FLT1, FLT4, FYN, HCK, JAK3, KDR, NTRK1, PDGFB, PDGFRA, PDGFRB, RELN","JAK2, LYN"
GO:0007186,G protein-coupled receptor signaling pathway,1.031426914051937,6,0.11805555555555555,2.017061823916345e-12,1.1462373373093569e-8,"ABCA1, ADRA1D, ADRA2B, ADRA2C, AGTR1, APLNR, APOE, ADGRB1, C3, C3AR1, CGA, CHRM2, CHRM3, CCR5, CCR7, CCR8, CX3CR1, AKR1C2, S1PR1, LPAR1, S1PR3, EDN1, F2R, FPR1, GNA12, GNAI1, GNAI2, GNAZ, MCHR1, GPER1, GRK5, HRH1, HTR2B, CXCR1, NTSR1, PDE3A, PDE4A, PIK3CG, PLCB2, PTGER1, PTGER3, PTGFR, PTH1R, RGS2, RGS3, CCL21, CX3CL1, CXCL12, SST, TBXA2R, VIP, CXCR4, S1PR4, S1PR2, BCAR1, NMUR1, CCR9, PIK3R5, INPP5K, P2RY12, PIK3R6","CALM2, CHRM1, F2RL1, CXCL1, HTR4, ITPR3, P2RY1, PIK3CB, PLCB3, SCTR, UCN, NLN"
GO:0035987,endodermal cell differentiation,1.8186216234066441,10,0.125,6.926007680275929e-12,2.800537532817774e-8,"COL4A2, COL6A1, FN1, INHBA, ITGA4, ITGA5, ITGA7, ITGAV, ITGB2, ITGB5, LAMB1, LAMB3, MMP2, MMP9, MMP14","MMP15, SETD2"
GO:0004713,protein tyrosine kinase activity,1.192037702737128,10,0.3875,2.304013188197047e-11,2.0034985967034599e-7,"ABL1, ABL2, AXL, BLK, BTK, CSF1R, EPHA7, FES, FGFR1, FGR, FYN, HCK, IGF1R, JAK3, KDR, KIT, MATK, NTRK1, PDGFRB, RET","JAK2, LYN, MET, WEE1, YES1, RPS6KA5"
GO:0005788,endoplasmic reticulum lumen,1.3312785739970205,10,0.125,3.489753409251816e-11,4.878910659254022e-9,"APOB, APOE, APP, ARSB, SERPING1, C3, C4A, COL1A1, COL1A2, COL2A1, COL3A1, COL4A1, COL4A2, COL4A4, COL6A1, COL6A2, COL6A3, COL9A1, CP, CSF1, CTSZ, F2, F10, FMO1, FN1, GIP, GPX7, HRC, TNC, IGFBP3, IL6, LAMB1, LAMB2, LAMC1, LTBP1, MEN1, MFGE8, PDGFA, PDGFB, PENK, CFP, PLAUR, PROC, SDC2, SPP1, TF, THBS1, TIMP1, VGF, WFS1, WNT6, H6PD, EBI3, BACE1, SHISA5, PDGFC, PNPLA2, COLGALT1, PDGFD, WNT5B, IL27, P4HA3, GPX8","ADAM10, AFP, STS, COL4A6, COL9A2, DBI, DMP1, PDIA3, IL12A, KNG1, LIPC, P4HA1, P4HB, MAPK1, HSP90B1, MGAT4A, ERO1A"
