ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0042613,MHC class II protein complex,2.1397550571074717,10,0.15384615384615385,2.685101073597578e-21,1.5321542762066254e-11,"CD74, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5",
GO:0004713,protein tyrosine kinase activity,1.3719177832134644,10,0.26785714285714285,7.035852072553913e-18,1.993647285863889e-15,"BLK, BTK, CSF1R, EPHB2, ERBB3, FGR, FLT3, FYN, INSR, JAK1, JAK2, JAK3, KDR, LCK, LYN, SRC, ZAP70","ABL1, ABL2, ALK, EGFR, EPHA4, EPHA7, FGFR1, FGFR3, IGF1R, RYK, WEE1, YES1"
GO:0051015,actin filament binding,1.5067441860465116,10,0.07692307692307693,9.710464491879394e-18,9.656654495813136e-13,"BIN1, AFDN, MYO1D, MYO6, TNNC1, EZR, ARPC4, ARPC1B, IQGAP2, MYH14, SCIN","ABL2, ACTN1, CFL2, EGFR, FLNA, HIP1, MYO1B, MYH9, MYH10, TNNI3, TPM4, ACTR3, ACTR2, ARPC2, TRPV4"
GO:0018108,peptidyl-tyrosine phosphorylation,1.4134560844713993,10,0.16666666666666666,3.311694672979245e-17,2.7554102103745117e-10,"BLK, BTK, CSF1R, EPHB2, FGFR4, FGR, FLT3, FLT4, FYN, INSR, JAK2, JAK3, KDR, LCK, LYN, PDGFRA, SRC, ZAP70","ABL1, ABL2, EGFR, EPHA4, FER, FGFR1, FGFR2"
GO:0015629,actin cytoskeleton,1.4030411449016102,10,0.07692307692307693,2.382649250642992e-13,1.3156985247453215e-11,"BIN1, CNR1, DAPK1, FGR, FOXA3, VASP, EZR, WAS, TAOK2, ARPC1B, SPRY2, IQGAP2, SIPA1L1, RND1, ABLIM2","ABL1, ABL2, ACACA, ALDOA, ATP12A, CALD1, FER, FLNA, MARCKS, MYH9, MYLK, PPP1R12A, SNCA, ADAM17, ZNF74, IQGAP1, WASF1, HAP1, NHERF1, NTN1, ACTR3, ACTR2, ARPC2, WASF2, BAIAP2, TOPBP1, RIGI, CD274, PARVA, MPP4, AHNAK"
GO:0007229,integrin-mediated signaling pathway,1.0817650566487775,10,0.15384615384615385,3.0988779068044576e-11,0.0064761700849512395,"CD40LG, CDH17, FGR, ILK, ITGB7, SRC, MADCAM1, ITGA10, FERMT3","ABL1, COL3A1, FN1, ITGA2, ITGA5, ITGAV, ITGB5, ITGB8, PRKD1, ISG15, ITGA11, LAT"
GO:0004674,protein serine/threonine kinase activity,1.1801073345259392,10,0.38461538461538464,3.355828182488542e-11,3.806955600365012e-8,"ACVR2A, ACVRL1, ARAF, CSNK1D, DAPK1, ERN1, GRK5, ILK, PAK3, PRKAA1, PRKCB, PRKCD, PRKCZ, MAPK3, MAP2K6, RPS6KA1, RPS6KA2, RPS6KA3, STK4, MAPKAPK3, RIPK1, MAP3K14, TAOK2, EIF2AK3, RIPK3, PIM2, MAP4K1, IRAK3, SIK2, DAPK2, STK39, HIPK2, TAOK3, WNK4","ACVR1, ATR, BMPR1B, CAMK2A, CDK1, CDK2, CDK7, CDK9, CSNK1A1, CSNK1E, CSNK1G2, CSNK2A2, DAPK3, MKNK2, GSK3B, LIMK1, LIMK2, PAK2, PIM1, PRKACA, PRKD1, PRKDC, MAPK1, MAPK6, MAPK11, MAP2K1, EIF2AK2, MAPK12, SGK1, STK3, MAP3K7, TGFBR1, ULK1, MKNK1, PKMYT1, LATS1, MAP4K4, ULK2, AKT3, HIPK3, PLK4, CHEK2, PRKD2, MAP3K20, CSNK1G1, WNK1, WNK3, NEK7, KSR2, EIF2AK4"
GO:0005925,focal adhesion,1.2338103756708407,10,0.16666666666666666,3.5647144053719293e-11,7.183742732891918e-6,"DAG1, IL16, ILK, JAK2, ABCB4, MAPK3, PTPRC, SRC, VASP, EZR, LIMD1","ACTN1, ADGRB1, CAV1, CAV2, FGFR3, ITGA2, ITGA5, ITGAV, MSN, MYH9, MAPK1, MAP2K1, RDX, ADAM17, TRIP6, VCL, MAP4K4, TNFSF13B, ITGA11, ENAH, PARVA, TRPV4"
GO:0005884,actin filament,1.586046511627907,10,0.07692307692307693,4.3924856525922836e-11,1.5097520016017295e-10,"MYO6, RAC1, TEK, EZR, WAS, AMOT","ACTN1, CTTN, MYO1B, MYO5A, IQGAP1, APC2, RHOQ"
GO:0030658,transport vesicle membrane,1.4265033714049813,10,0.15384615384615385,8.193457046923013e-11,4.3226068402653345e-4,"CD74, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5",
