ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0004713,protein tyrosine kinase activity,1.3233792230074757,10,0.2,4.786277470325725e-16,1.4283332263352957e-9,"BLK, BTK, EPHB2, ERBB2, ERBB3, ERBB4, FLT3, FYN, INSR, JAK1, JAK2, JAK3, KDR, KIT, LCK, LYN, MET, SRC","ABL2, ALK, BCR, EGFR, EPHA4, EPHA7, FGFR1, FGFR3, HCK, IGF1R, MATK, RYK, SYK, TYRO3, WEE1, RPS6KA5, CAMKK2"
GO:0018108,peptidyl-tyrosine phosphorylation,1.2200910885288436,10,0.2,5.013216338632319e-14,1.140138213213009e-7,"BLK, BTK, EPHB2, ERBB2, ERBB4, FGFR4, FLT1, FLT3, FLT4, FYN, INSR, JAK2, JAK3, KDR, LCK, LYN, PDGFRA, SRC, ABI2","ABL2, EGFR, EPHA1, EPHA4, FER, FGFR1, HCK, SYK"
GO:0004674,protein serine/threonine kinase activity,1.223925269278429,10,0.3666666666666667,3.5207931311112154e-12,1.0360045550111438e-7,"ACVR1B, ACVR2A, ACVR2B, ACVRL1, ARAF, ATM, CSNK1D, DAPK1, ERN1, GRK5, ILK, PAK3, PRKAA1, PRKCB, PRKCD, PRKCI, PKN1, PKN2, PRKCZ, MAPK3, MAPK4, MAPK8, MAPK9, MAP2K6, ROCK1, RPS6KA1, RPS6KA2, RPS6KA3, SRPK1, STK4, AURKA, MAP4K3, PPM1D, MAPKAPK5, MAP3K14, TAOK2, EIF2AK3, ROCK2, RIPK3, PIM2, IRAK3, SIK2, DAPK2, STK39, HIPK2, TAOK3, NLK, WNK4, PIKFYVE, KSR2","ACVR1, AKT2, ATR, BMPR1B, CAMK2A, CAMK2D, CDK7, CDK9, PLK3, CSNK1A1, CSNK1E, CSNK1G2, CSNK2A2, DAPK3, MKNK2, GSK3B, LIMK1, LIMK2, MAP3K1, MAP3K9, MAP3K10, PAK1, PAK2, PIM1, PRKACA, PRKD1, MAPK1, MAPK6, MAPK11, MAP2K1, MAP2K2, EIF2AK2, MAP4K2, RPS6KB2, MAPK12, SGK1, STK3, STK11, SYK, ULK1, MKNK1, RPS6KA4, PKMYT1, RPS6KA5, MAP4K4, ULK2, SLK, AKT3, HIPK3, PLK2, CHEK2, MAP3K20, CSNK1G1, PINK1, WNK1, LRRK2, ACVR1C, NEK7, EIF2AK4"
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,1.0836727977080085,10,0.2,1.2907221896188485e-8,2.1217490553730866e-4,"AGT, ANGPT1, CALCR, CD19, ERBB3, FLT1, FLT3, GPER1, GRM2, INSR, JAK2, KDR, KIT, MST1R, OSM, PDGFA, PDGFRA, PIK3CG, PTPRJ, CCL21, SOX9, SRC, TCF7L2, TEK, THPO, GDF15, SEMA3E, SPRY2, HCST, SIRT1, PIK3R5, PIK3AP1","AKR1C2, HBEGF, EGF, EGFR, EXTL3, FGF2, FGFR1, FGFR3, FN1, IGF1R, IGF2, IL18, IRS1, LEP, NKX3-1, NTRK2, NTS, PIK3CA, PRKD1, CCL5, CX3CL1, TGFB1, TGFB2, THBS1, AKR1C3, HPSE, HCST, WNT16, TREM2, RTN4, UNC5B"
GO:0042813,Wnt receptor activity,1.5439424268420552,1,0.14285714285714285,4.1746631456513206e-8,4.1746631456513206e-8,"LRP5, ROR1, FZD5, FZD4","RYK, FZD1, FZD6, FZD7, FZD9, FZD10"
GO:0005747,mitochondrial respiratory chain complex I,1.1213897626537033,10,0.18333333333333335,4.866362375287959e-8,0.010948214864269572,"NDUFS1, NDUFS2, NDUFV2","NDUFA1, NDUFA6, NDUFA8, NDUFB1, NDUFB3, NDUFB4, NDUFB5, NDUFB7, NDUFB9, NDUFB10, NDUFC1, NDUFV1, NDUFS4, NDUFS5, NDUFS6, NDUFS8, NDUFV3, NDUFA12, NDUFA11, NDUFS7"
GO:0006661,phosphatidylinositol biosynthetic process,1.286618689035046,1,0.14285714285714285,4.4065552675485543e-7,4.4065552675485543e-7,"CDS1, IMPA1, INPP5D, PIK3C2A, PTEN, PIP5K1B, INPP4B, SYNJ2, MTMR6, MTMR4, FIG4, SACM1L, INPP5J, MTMR14, PIKFYVE, SLC27A1","MTMR1, MTMR3, MTMR2, CDIPT, INPP5F, PIP5K1C, INPP5K, PI4K2A, INPP5E"
GO:0046777,protein autophosphorylation,1.2538683951323355,10,0.2,4.664317568040317e-7,0.0011162364716008923,"ACVR1B, ATM, CAD, DAPK1, ERBB4, ERN1, FGFR4, FLT1, FLT3, FLT4, GRK5, INSR, INSRR, JAK2, KDR, KIT, LYN, PDGFRA, SRC, STK4, AURKA, TXK, MAPKAPK5, TAOK2, EIF2AK3, RIPK3, SIK2, DAPK2, EIF2AK1, STK39, TAOK3, MAP3K21, MYLK2","ALK, ATR, CAMK2A, CAMK2D, DAPK3, EGFR, EPHA1, EPHA4, EPHB1, EPHB3, FER, FGFR1, GSK3B, HCK, IGF1R, MAP3K9, MAP3K10, NTRK2, PAK1, PAK2, PIM1, PRKD1, EIF2AK2, STK11, TYRO3, ULK1, ULK2, SLK, CAMKK2, CHEK2, MAP3K20, LRRK2, GRK7, EIF2AK4"
GO:0051092,positive regulation of NF-kappaB transcription factor activity,1.1277492509107185,10,0.18333333333333335,7.706830194582245e-7,2.103335006686479e-5,"AGT, BTK, CD40LG, CHUK, IRAK2, ROR1, PRKCI, PRKCZ, TLR4, TRAF2, TRAF5, UBE2V1, TRIM25, TNFSF11, TNFRSF11A, IL18RAP, IL18R1, ARHGEF2, RIPK3, IRAK3, RNF31, NLRC4, CARD11, TIRAP","ALK, CAMK2A, CD40, FER, HSPA1A, HSPA1B, IL6, IL18, NTS, PPIA, PRKCH, PRKD1, EIF2AK2, RELA, S100A8, S100A9, TFRC, TLR2, UBE2N, WNT5A, IKBKG, TRADD, SPHK1, RPS6KA4, TNFSF18, RPS6KA5, AIM2, MALT1, PYCARD, NOD2, CLEC7A, RAB7B"
GO:0006468,protein phosphorylation,1.205271184825088,10,0.4,1.1216501428345123e-6,5.562994921217059e-5,"ADAM10, ATM, BTK, CCNE1, CHUK, CSNK1D, CTBP1, DAPK1, ERBB2, ERN1, ILK, INSR, IRAK2, JAK1, JAK2, JAK3, LCK, LYN, PRKAA1, PRKAB1, PRKCA, PRKCB, PRKCD, PRKCG, PRKCI, PKN1, PKN2, PRKCZ, MAPK3, MAPK4, MAPK8, MAPK9, RARA, ROCK1, RPS6KA1, SRPK1, STK4, AURKA, TXK, WNT11, MAP4K3, CAMK1, EIF2AK3, ROCK2, HCST, PIM2, IRAK3, SIK2, DAPK2, STK39, HIPK2, PKN3, TAOK3, NLK, STRADB, FNIP2, WNK4, ADM2, MAP3K21, MYLK3, STRADA, GLYCTK","BIRC5, APP, BCR, CAMK2A, CAMK2D, CDK6, CDK9, PLK3, CSNK1A1, CSNK1E, CSNK1G2, CTSG, DAPK3, FER, MKNK2, GSK3B, HCK, IGFBP3, LIMK1, LIMK2, MATK, MAP3K9, MYLK, PAK1, PAK2, PIM1, PRKACA, PRKCH, PRKG1, PRKG2, MAPK1, MAPK6, MAPK10, MAP2K1, EIF2AK2, MAP4K2, RYK, CCL2, SGK1, STK3, STK11, SYK, YWHAZ, MKNK1, RPS6KA4, MAP3K6, RPS6KA5, MAP4K4, AKT3, HIPK3, CAMKK2, PLK2, HCST, CHEK2, MAP3K20, PINK1, WNK1, LRRK2, NEK7, EIF2AK4"
