ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0005747,mitochondrial respiratory chain complex I,2.3524295140971803,10,0.11437908496732026,6.946813930475621e-39,5.829366488346223e-30,"NDUFA1, NDUFA2, NDUFA3, NDUFA7, NDUFA9, NDUFB1, NDUFB2, NDUFB6, NDUFB7, NDUFB8, NDUFB10, NDUFC2, NDUFS3, NDUFV1, NDUFS4, NDUFS5, NDUFS6, NDUFS8, NDUFV3, NDUFB11, NDUFA11, NDUFS7",NDUFS1
GO:0032981,mitochondrial respiratory chain complex I assembly,2.3076822135572885,10,0.11437908496732026,5.857404953941538e-32,1.9643776273543736e-29,"NDUFA1, NDUFA2, NDUFA3, NDUFA9, NDUFB1, NDUFB2, NDUFB6, NDUFB7, NDUFB8, NDUFB10, NDUFC2, NDUFS3, NDUFS4, NDUFS5, NDUFS8, NDUFB11, NDUFA11, NDUFS7",NDUFS1
GO:0000502,proteasome complex,2.100877121872923,10,0.08333333333333333,6.59810475950639e-27,4.619286850296219e-21,"PSMA1, PSMA2, PSMB3, PSMB4, PSMB6, PSMB7, PSMC3, PSMC5, PSMD4, PSME1, PSME2, PSMD6","PSMC1, PSMC2, PSMD2, PSMD7, PSMD11, PSMD12, PSME3, PSMD14"
GO:0022624,proteasome accessory complex,2.429139172165567,10,0.08333333333333333,1.063704711081566e-16,5.812398207421049e-13,"PSMC3, PSMC5, PSMD4, PSMD6","PSMC1, PSMC2, PSMD2, PSMD11, PSMD12, PSMD14"
GO:0007186,G protein-coupled receptor signaling pathway,0.9777667108087816,4,0.051587301587301584,2.035009540675996e-12,2.035009540675996e-12,"ADRA2B, GRK2, CALM3, CD3E, GNAI2, XCR1, GPR37, GRK6, CXCL1, PLCB2, PLCB3, PTGFR, PTH1R, RGS2, TSHR, UCN, VIP, VIPR1, CXCR4, LPAR2, RGS14, CXCR6, CCR9, ACKR4, GHRL, INPP5K, PIK3R6","ABCA1, AGT, NPBWR1, GPER1, HRH1, PDE3B, PIK3CB, PTH2R, SSTR5, RGS9, FRS2, PLCB1, NLN"
GO:0051092,positive regulation of NF-kappaB transcription factor activity,1.3941146553298036,10,0.05718954248366013,4.944403771328886e-12,2.1561537382019508e-10,"AGER, CD40LG, IL18, MYD88, NTRK1, PPIA, RPS3, S100A8, S100A9, TRAF1, TRAF5, TNFSF11, TRADD, IL18RAP, IL18R1, LAMTOR5, MALT1, PRKD2, PYCARD, RNF31, PIDD1, CARD14, NLRP3, CARD16","AGT, CAMK2A, CHUK, NTS, PRKCI, PRKCQ, TFRC, MAP3K13, DHX33"
GO:0005750,mitochondrial respiratory chain complex III,3.0229287475838165,4,0.051587301587301584,5.346941248443376e-12,4.157873730015426e-9,"UQCRB, UQCRC1, UQCRH, UQCR11, UQCRQ, UQCR10",UQCRC2
GO:0006654,phosphatidic acid biosynthetic process,2.0927968252503346,3,0.047619047619047616,7.385036996732817e-12,7.385036996732817e-12,"PLD2, AGPAT2, LPCAT1, GPAT2, SLC27A1","DGKB, DGKG, DGKE, DGKD, AGPAT5, GPAM, PNPLA3, GPAT3, LCLAT1"
GO:0008137,NADH dehydrogenase (ubiquinone) activity,3.0229287475838165,10,0.11437908496732026,3.798452134101612e-11,3.7215016012142905e-6,"NDUFB7, NDUFS3, NDUFV1, NDUFS4, NDUFS8, NDUFS7",NDUFS1
GO:0004713,protein tyrosine kinase activity,1.4277389420075168,10,0.29411764705882354,1.6816365738421994e-10,5.755310735418118e-9,"CSK, ERBB2, FGFR1, FLT3, JAK2, NTRK1, RET, ZAP70","ABL2, EGFR, EPHA7, ERBB4, IGF1R, MET, PTK2, RYK, SRC, YES1"
