ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0007186,G protein-coupled receptor signaling pathway,0.9297578933715273,9,0.11764705882352941,8.792872478059969e-16,4.72548865808511e-5,"ADORA2B, ADRA2A, ADRA2C, GRK2, AREG, CCR7, F2R, FPR2, CCR10, XCR1, FFAR2, CXCL1, HRH1, CXCL8, CXCR1, NTSR1, OPRD1, P2RY1, PIK3CG, PLCB2, PLCB3, PTGER2, PTGFR, RGS2, RGS3, CCL5, TSHR, UCN, VIP, CXCR4, S1PR4, LPAR2, S1PR2, CXCR6, NMU, GHRL","AVPR1B, C5, CALM3, CASR, GPER1, GRM1, PDE3B, PIK3CB, CX3CL1, SST, BCAR1, RAPGEF2, ARHGEF11, LANCL1, ARHGEF12, NLN"
GO:0005747,mitochondrial respiratory chain complex I,1.421456779289162,10,0.0625,9.045628720919685e-16,9.774850367784086e-10,"NDUFA2, NDUFA3, NDUFA4, NDUFA7, NDUFA9, NDUFB1, NDUFB7, NDUFB8, NDUFB9, NDUFS5, NDUFS8, NDUFV2, NDUFA13, NDUFB11, NDUFA11","NDUFA10, NDUFB3, NDUFS1, NDUFS2"
GO:0032981,mitochondrial respiratory chain complex I assembly,1.421456779289162,10,0.0625,8.891704164709138e-14,3.3902149725681535e-9,"NDUFA2, NDUFA3, NDUFA9, NDUFB1, NDUFB7, NDUFB8, NDUFB9, NDUFS5, NDUFS8, NDUFA13, NDUFB11, NDUFA11","NDUFA10, NDUFB3, NDUFS1, NDUFS2"
GO:0003700,DNA-binding transcription factor activity,1.1620668560612126,5,0.058823529411764705,3.877264353273844e-11,0.029492013696552608,"AHR, BCL6, ELK1, MECOM, GATA3, RBPJ, IRF3, IRF4, PITX2, POU2F2, POU5F1B, RORB, SOX4, SP1, STAT2, STAT4, TCF3, XBP1, ZNF133, ZBTB17, FOSL1, TP63, IRF9, BATF, HEY1, FOXP3, LEF1, BATF3, MAFA","AR, ARNT, DDIT3, E2F4, ESRRB, HNF4G, SMAD1, SMAD3, NFE2L2, NFKB1, NFYA, PPARA, RORC, SRF, STAT3, STAT5B, STAT6, HNF1A, HNF1B, TEAD1, TFDP1, THRA, VDR, GCM1, NR1I3, ATF6, ZNF746"
GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",1.1177266982444691,8,0.06696428571428571,9.717589403433849e-11,0.009123823264015205,"RUNX1, ELK1, ESR1, GATA3, HHEX, RBPJ, IRF3, IRF4, MYB, SOX4, SP1, TCF3, ZBTB17, POU2F3, FOXP3, LEF1, SOX17, ZNF300","AR, CEBPG, DBP, DDIT3, E2F4, ESRRB, GTF2I, HNF4G, SMAD1, SMAD3, NFATC3, NFE2L2, NFKB1, NRF1, PPARA, RFX5, SRF, STAT3, STAT5B, STAT6, HNF1A, TFDP1, TFDP2, GCM1, NR1I3, CREB3, PRDM4, ATF6"
GO:0006661,phosphatidylinositol biosynthetic process,0.8686680317878211,10,0.125,2.5473337897295045e-10,4.439965975286487e-5,"INPP5D, PTEN, INPP4B, MTMR7","MTM1, OCRL, PI4KA, PI4KB, MTMR1, MTMR2, INPP5F"
GO:0051015,actin filament binding,1.350383940324704,9,0.0625,4.36438001850733e-10,8.362227802708309e-7,"ACTN1, CACNB2, HCLS1, MYO1B, MYL4, TPM2, TPM4, ARPC5, ARPC4, ARPC3, MICALL2, MYH14","ACTN4, BIN1, MYO6, TNNC1, EZR, CYFIP1, TRPV4"
GO:0004550,nucleoside diphosphate kinase activity,1.74948526681743,7,0.0625,2.9053980442031908e-9,3.961880451558987e-9,"AK1, NME1, NME2, NME3","NME6, AK5, NME7, AK8"
GO:0046875,ephrin receptor binding,1.170611465296957,10,0.0625,7.833016858800102e-8,1.3272094323172133e-5,"EFNA3, EFNA4, EFNA5, PIK3CG","EFNA1, GRB2, SRC"
GO:0015629,actin cytoskeleton,1.084795963141729,9,0.0625,2.5864227492850776e-7,4.0288044003781687e-7,"ADCY8, AMPH, AXL, CNR1, FGR, LSP1, MARCKS, TPM2, VASP, WAS, ARPC5, ARPC3, ARPC1A","ACACA, ACTN4, ALDOA, BIN1, SEPTIN2, SNCA, EZR, WASL, HAP1, TAOK2, NHERF1, NTN1, BAIAP2, RIGI, CD274, PDXP"
GO:0062023,collagen-containing extracellular matrix,1.0660925844668714,9,0.0625,8.362227802708309e-7,2.245363623960477e-6,"COL1A1, COL3A1, COL6A1, COL6A2, COL6A3, DCN, F3, LAMA4, LUM, SFRP2, TGFB3, THBS4","VTN, CDON, LAMA1"
GO:0004713,protein tyrosine kinase activity,1.1023542369997583,10,0.20089285714285715,1.091874021509403e-6,4.190309129636059e-4,"AXL, BLK, EPHB2, FES, FGR, JAK3, MATK, NTRK1, RET, ZAP70, RPS6KA5","BCR, EPHA4, ERBB2, FGFR1, IGF1R, JAK1, MET, SRC"
GO:0007173,epidermal growth factor receptor signaling pathway,0.9476378528594412,10,0.17647058823529413,1.3344002134970092e-6,8.925334151293057e-5,"AREG, EREG, SHC3","GRB2, PDPK1, PTPN11, SRC, BCAR1"
GO:0004930,G protein-coupled receptor activity,0.9772515357612988,9,0.11764705882352941,1.6362555027301507e-6,0.019359194068896926,"CCR7, F2R, F2RL2, CCR10, FFAR2, GRM2, GRM5, GRM6, CXCR1, NTSR1, VIPR2, CXCR4, S1PR2, GLP2R, CXCR6","CASR, GPER1, GRM1, GRM8, MAS1, LANCL1, LGR4"
GO:0006935,chemotaxis,1.218391525104996,6,0.10049019607843138,3.009219937310836e-6,0.025111872835434763,"CCR3, FPR2, XCR1, CXCR3, CXCL1, CXCL2, HRAS, CXCL8, CCL11, CXCL6, CXCL11, CXCL5, SPN, FOSL1, CCL26, CCL28","C5, CCR4, MAPK14, PIK3CB, PLD1, MAPK1, CCL15, CCL16, CX3CL1, RALBP1, LTB4R2"
GO:0004674,protein serine/threonine kinase activity,1.0337867485739358,10,0.2426470588235294,3.892482268509542e-6,1.5189431091233499e-5,"CDK2, CDK9, MAP3K8, CSNK1E, CSNK2B, PHKG2, MAPK11, MAP2K2, MAP3K12, MKNK1, RPS6KA5, PLK4, RIPK3, PIM2, MAP4K1, CHEK2, DAPK2, WNK4, WNK2","ACVR1, ACVR1B, AKT2, ARAF, MAPK14, CSNK1A1, CSNK1D, CSNK2A1, CSNK2A2, MTOR, GSK3B, IRAK1, PAK1, PAK2, PDPK1, PIM1, PRKCE, PRKD1, PRKCZ, MAPK1, MAPK6, MAPK9, RAF1, RPS6KA3, SRPK1, STK3, MAPKAPK3, RIPK1, MAP3K14, MAP3K13, TAOK2, OXSR1, AKT3, SIK2, PRKD2, HIPK2, TAOK3, CSNK1G1, PINK1, LRRK2, ACVR1C"
GO:0008066,glutamate receptor activity,1.579396421432402,4,0.06971153846153846,7.237996435968108e-6,0.0014962343521447653,"GRM2, GRM5, GRM6","GRM1, GRM8"
GO:0030335,positive regulation of cell migration,1.0869963606328885,9,0.11764705882352941,1.1380439578212197e-5,2.841809259172672e-4,"ADRA2A, CAV1, COL1A1, DRD1, EPHB2, F2R, F3, FGR, HGF, HRAS, MMP7, ROR2, PDGFRA, RET, CCL5, CCL11, SNAI2, SNAI1, TWIST1, XBP1, CXCR4, SPHK1, CCL26, ZNF268, LEF1, WNT5B, TWIST2, MIR210","ACTN4, ACVR1, AKT2, APC, CLDN4, DAB2, EPHA4, F10, FGF1, GCNT2, GPER1, HSPA5, IGF1R, ITGA6, MGAT5, MYO1C, PAK1, PIK3CD, PRKCA, RDX, SMO, STAT3, NUMB, BCAR1"
GO:0070102,interleukin-6-mediated signaling pathway,1.29223343571742,4,0.06066176470588235,1.9036297811316727e-5,2.1233332871113426e-5,IL6,"IL6R, JAK1, SRC, STAT3"
GO:0005925,focal adhesion,0.9170688898639755,9,0.125,2.733308169747478e-5,8.586694116380427e-4,"ACTN1, CAV1, FES, ITGA5, NME2, MAP2K2, TLE2, VASP, TNFSF13B, ITGA11, EVL","DAG1, MSN, MAPK1, RDX, SRC, EZR, IL1RL1, BCAR1, TRPV4"
GO:0006954,inflammatory response,1.008775778850373,10,0.0625,2.957997484907645e-5,0.006279668907901246,"ADORA2A, AGER, CEBPB, F2R, FCGR2B, FUT7, GATA3, XCR1, HRH1, IL6, CXCL8, IL10RB, NFATC4, PIK3CG, S100A8, S100A9, SELE, CXCR4, PLA2G2D, NOX1, IL17D, NLRC4","CDO1, CHUK, HYAL1, NFATC3, NFKB1, NFX1, PIK3CD, STAT3, IL1RL1, MGLL, TAB2"
GO:0007265,Ras protein signal transduction,1.2437746818780167,10,0.06696428571428571,3.8199428140725677e-5,0.0013004502371005567,"ADRA2A, CDK2, CDKN1A, CDKN2A, HRAS, RASSF1, LAT","CRKL, GNB1, GRB2, PLD1, BRAP, KSR1, NTN1"
GO:0003779,actin binding,1.3537683612277733,9,0.0625,3.9024764031506496e-5,5.27976433605552e-5,"ADCY8, DMD, TPM2, CXCR4, ARPC1A, PARVG","ACTN4, ALDOA, DAG1, KCNMA1, ABLIM1, MAPT, MYO6, RDX, SNCA, SPTAN1, EZR, CGN, TRPV4, LRRK2"
GO:0004438,phosphatidylinositol-3-phosphate phosphatase activity,1.1845473160743016,9,0.125,5.474400787421832e-5,0.004242994249881743,"PTEN, MTMR7","MTM1, MTMR1, MTMR2"
