ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0006661,phosphatidylinositol biosynthetic process,1.3951335055986218,10,0.3333333333333333,7.992071491927628e-18,5.307004001099097e-13,"INPP4A, PIK3C2A, PI4KA, PI4KB, PLCG2, PIP5K1A, PIP5K1B, MTMR1, INPP4B, SYNJ1, SYNJ2, MTMR4, FIG4, INPP5F, SACM1L, INPP5J, PIKFYVE, SLC27A1","MTMR2, INPP5E, MTMR14"
GO:0004713,protein tyrosine kinase activity,1.0738053804024377,10,0.3333333333333333,8.02932113045728e-8,1.9890417220808187e-6,"BCR, BLK, CSK, ERBB4, PTK2B, FES, FGFR3, INSR, JAK2, KDR, KIT, LYN, MET, PDGFRB, PTK2, RET, SRC, WEE1, RPS6KA5","EPHA7, ERBB3, FLT3, MET"
GO:0006883,intracellular sodium ion homeostasis,1.9930478651408883,10,0.5,1.2189988216513667e-7,8.454325510024503e-4,"ATP1A1, ATP1A2, ATP1B1, ATP1B2, ATP1B3, SCNN1B, SCNN1G, SLC8A1, SLC9A1, SLC12A2",
GO:0005890,sodium:potassium-exchanging ATPase complex,1.6741602067183463,10,0.5,2.365850815109723e-7,4.361550702360952e-5,"ATP1A1, ATP1A2, ATP1A4, ATP1B1, ATP1B2, ATP1B3, FXYD4",
GO:0086064,cell communication by electrical coupling involved in cardiac conduction,2.092700258397933,10,0.3333333333333333,3.558794409208366e-7,0.005888066086327202,"ATP1A1, ATP1A2, ATP1B1, ATP1B2, CACNA1C, PRKACA, SLC8A1",
GO:0018108,peptidyl-tyrosine phosphorylation,1.049995948464468,10,0.16666666666666666,4.1683104101983854e-7,1.126642282477535e-5,"BLK, EPHA1, ERBB4, PTK2B, FES, FLT1, FLT4, INSR, JAK2, KDR, LYN, PDGFB, PDGFRB, PTK2, SRC","FGFR4, FLT3, RELN"
GO:0007179,transforming growth factor beta receptor signaling pathway,1.2878155436294971,10,0.16666666666666666,5.743949456212702e-7,1.6759212465708754e-4,"ACVRL1, CDH5, COL1A2, COL3A1, FOS, LRRC32, GDF10, HPGD, ITGB1, ITGB5, SMAD1, SMAD2, SMAD3, PTK2, PXN, SRC, STAT3, TGFB1, TGFB2, TGFB3, TGFBR1, CLDN5, ZFYVE9, GDF15, SIRT1","DAB2, ZYX, GDF5"
GO:0086009,membrane repolarization,1.9930478651408883,10,0.5,8.277582746855397e-7,2.9640504620771454e-4,"ATP1A1, ATP1A2, ATP1B1, ATP1B2, ATP1B3",
GO:0004438,phosphatidylinositol-3-phosphate phosphatase activity,1.3951335055986218,10,0.3333333333333333,1.1395492826399252e-6,1.350740811410053e-4,"MTMR1, SYNJ1, SYNJ2, MTMR4, SACM1L","MTMR2, MTMR14"
GO:0046856,phosphatidylinositol dephosphorylation,1.103841894539569,10,0.3333333333333333,2.101174417816971e-6,2.1788583980750402e-4,"MTMR1, SYNJ1, INPP5F, SACM1L, PIP4P2",MTMR2
GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",1.1856079608017591,10,0.3333333333333333,3.2565867207021018e-6,0.0037570917830153584,"ATF1, KLF5, RUNX1, CEBPA, CEBPE, ATF6B, DDIT3, E2F3, EGR1, EGR2, ELK1, ESRRB, ETS1, FOXO1, FOS, GATA3, HHEX, NR4A1, ONECUT1, RBPJ, IRF4, SMAD1, SMAD2, SMAD3, MEF2A, MEF2C, MYBL2, NOTCH1, NOTCH4, NR4A2, PGR, PPARG, REL, SREBF1, STAT3, TBX3, TP73, PRDM2, ATF6, POU2F3, LEF1, SOX17, CREB3L1","AR, DBP, HNF4A, MITF, NFE2L2, NKX2-2, NOTCH2, SOX4, SOX9, HNF1A, TFDP2, TP53, GCM1, RFXANK, NR1H4"
GO:0046777,protein autophosphorylation,1.1354333292317789,10,0.16666666666666666,3.5330861619300297e-6,6.429982093369601e-5,"ACVR1B, AKT1, EPHA1, EPHB3, ERBB4, ERN1, PTK2B, FES, FLT1, FLT4, GRK5, INSR, INSRR, JAK2, KDR, KIT, LYN, PDGFRB, PTK2, SRC, STK4, AURKA, STK11, EIF2AK3, SLK, OXSR1, RIPK3, DAPK2, PRKD2, STK39, TAOK3, MAP3K20, WNK3, MAP3K21, MYLK2, SIK1, EIF2AK4","CAMK2B, FGFR4, FLT3, PDPK1, PRKD1, MAP3K13, TAOK2, EIF2AK1, LRRK2, MAPK15"
GO:0047498,calcium-dependent phospholipase A2 activity,1.4349944629014397,10,0.16666666666666666,4.772365474164012e-6,4.0299061559762847e-4,"PLA2G2A, PLA2G4A, PLA2G10, PLA2G2F, PLA2G4D",PLA2G2D
