ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0007186,G protein-coupled receptor signaling pathway,1.220644468013844,10,0.09090909090909091,6.185882413891744e-19,5.044568727629134e-16,"ADORA2B, ADRA1D, ADRA1B, ADRA2A, ADRA2C, GRK3, APLNR, AREG, ADGRB1, C3AR1, CALM2, CCR5, CCR7, CX3CR1, LPAR1, S1PR3, EDN1, F2R, F2RL1, FPR1, GNA12, NPBWR1, FFAR2, GRK5, CXCL1, HRH1, HTR2B, CXCL8, CXCR1, ITPR3, OPRD1, P2RY1, PDE4A, PLCB2, PLCB3, PLCB4, PTGER1, PTGER2, PTGER3, PTH1R, PTPN6, RGS2, RGS3, SCTR, CCL21, CX3CL1, CXCL12, TBXA2R, VIP, CXCR4, S1PR4, LPAR2, BCAR1, NMUR1, RGS14, PIK3R5, RASD1, GHRL, INPP5K, SUCNR1, P2RY12, PIK3R6","ABCA1, ADRA1A, AGT, APOA1, APOC3, APOE, C3, GPER1, GPR37, CXCL10, INSR, CXCL9, PDE3B, CCL25, GABBR2, RAPGEF2, LANCL1, FRS2, RAPGEF4"
GO:0005925,focal adhesion,1.6617973372781067,10,0.2517482517482518,1.21516461596796e-18,4.5617224300262195e-5,"ACTG1, ACTN1, ADGRB1, CAV1, CAV2, CFL1, EPHA2, HCK, IL16, ITGA2, ITGAV, ITGB6, MSN, NME2, MAPK3, MAP2K2, PXN, SRC, ADAM17, VASP, VCL, EZR, ZYX, NRP1, IL1RL1, BCAR1, TNFSF13B, ITGA11, PIP5K1C, GIT1, PARVB, EVL, ENAH, PARVA","PTK2B, FES, ITGA1, ABCB4, RDX, TLE2, LIMD1, MAP4K4, ATP6V0A2"
GO:0004713,protein tyrosine kinase activity,1.5158872720685905,10,0.2727272727272727,5.917768546467067e-16,3.435740519784937e-13,"AXL, BCR, BLK, BTK, CSF1R, EPHA4, EPHB2, FGFR1, FGR, FLT3, HCK, IGF1R, JAK1, JAK3, KIT, LYN, MATK, PDGFRB, SRC, SYK, TYRO3","EGFR, ERBB2, ERBB3, PTK2B, FES, INSR, MET, TYK2, WEE1, YES1"
GO:0018108,peptidyl-tyrosine phosphorylation,1.5194652908067543,10,0.2727272727272727,4.163099178030732e-14,5.348780649276169e-12,"BLK, BTK, CSF1R, EPHA3, EPHA4, EPHB2, FGFR1, FGR, FLT1, FLT3, FLT4, HCK, JAK3, LYN, PDGFB, PDGFRA, PDGFRB, PTPN6, SRC, SYK","EGFR, EPHA1, ERBB2, PTK2B, FES, INSR"
GO:0015629,actin cytoskeleton,1.355676775147929,4,0.09090909090909091,1.0148353085257227e-13,1.17379158015731e-10,"ACTB, ALDOA, AMPH, AXL, EPHA3, FGR, FLNA, FLT1, FYB1, LSP1, MARCKS, SEPTIN2, SNCA, ADAM17, TPM2, TPM3, VASP, EZR, WAS, WIPF1, ZYX, IQGAP1, HAP1, PKD2L1, ARPC5, ARPC1B, ACTR3, ARPC2, WASF2, PARVB, PARVA, ABLIM2, DGKH","ACACA, FLNB, RARA, WASL, NHERF1, NTN1, IQGAP2, TOPBP1, RND1, PDXP"
GO:0007229,integrin-mediated signaling pathway,1.597386587771203,10,0.2153846153846154,5.476826411081839e-13,5.064221628738328e-10,"CD40LG, CD47, CDC42, COL3A1, DAB2, FGR, HCK, ITGA2, ITGAV, ITGB2, ITGB5, ITGB8, LAMA5, NME2, PRKD1, SRC, SYK, TEC, THY1, ZYX, SEMA7A, ITGA10, NRP1, BCAR1, ITGA11, FERMT3","APOA1, PTK2B, LAT, ZNF304"
GO:0051015,actin filament binding,1.3777459319526628,4,0.09090909090909091,7.689624315254572e-13,4.432850663685825e-11,"ACTN1, CFL1, CTNNA2, FLNA, HCLS1, MYL4, MYO10, TPM2, TPM4, EZR, ARPC5, ARPC1B, ACTR3, ARPC2, MICALL2, SCIN","CFL2, EGFR, AFDN, MYO1B, TNNC1, IQGAP2, MYH14"
GO:0007155,cell adhesion,1.402583345360081,10,0.18181818181818182,1.3783750046844031e-12,4.03592549721656e-11,"ADGRB1, CD44, CCR1, CX3CR1, CYP1B1, DSG2, EFNB1, EFNB2, GP1BA, HCK, IBSP, ICAM1, INPPL1, ITGA2, ITGA9, ITGAM, ITGAV, ITGAX, ITGB2, ITGB6, ITGB8, LAMB1, LAMC1, NME2, RAC1, CCL2, CCL4, CCL11, CX3CL1, CXCL12, SELL, SELP, SELPLG, SPP1, ADAM17, TNXB, VCL, SSPN, AOC3, ADAM9, CHST10, SEMA4D, ITGA11, SIRPA","AFDN, VCAM1, VTN, MAGI1"
GO:0007160,cell-matrix adhesion,1.5745667793744718,10,0.18181818181818182,6.694419341854591e-12,2.0069470745000127e-7,"CD63, COL3A1, ITGA2, ITGA4, ITGAV, ITGB2, ITGB4, ITGB5, ITGB8, L1CAM, VCL, ITGA10, ITGA8, ADAM9, HPSE, ITGA11, PARVG, NPNT","ITGA1, ITGAL, VCAM1, VTN, SGCE"
GO:0062023,collagen-containing extracellular matrix,1.7371579142011835,10,0.09090909090909091,1.097637206019026e-11,5.805064690545353e-10,"ANXA2, COL1A1, COL3A1, COL4A1, COL4A2, COL6A1, COL6A2, COL6A3, DCN, F3, TNC, LAMA4, LAMB1, LAMC1, LTBP1, LUM, SERPINE2, PLAT, SFRP1, TGFB2, TGFB3, THBS1, TNXB, WNT2, NPNT, LAMA1, AGRN","VTN, TNN"
