ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0006661,phosphatidylinositol biosynthetic process,1.1230715895302479,10,0.2857142857142857,4.869478460154647e-19,4.70521607093993e-15,"IMPA1, MTM1, PIK3C2A, PTEN, INPP4B, SYNJ1, SYNJ2, MTMR2, MTMR6, FIG4, INPP5F, SACM1L, PIKFYVE","INPPL1, OCRL, PI4KB, CDIPT, PIP5K1C, INPP5J, INPP5K, PI4K2A, INPP5E, MTMR14, SLC27A1"
GO:0007249,canonical NF-kappaB signal transduction,1.263455538221529,10,0.26785714285714285,6.334755995204448e-19,0.01699389985626037,"BIRC2, BIRC3, CHUK, ROCK1, MAP3K7, TRAF6, RIPK2, ROCK2, TBK1, TLR8, ZNF675","AKT1, BCL3, IRAK1, NFKB2, NFKBIA, RELA, IKBKG, TRADD, MAP3K14, CARD11"
GO:0005747,mitochondrial respiratory chain complex I,1.418616744669787,10,0.16666666666666666,1.0642758482227017e-15,2.196763022122069e-8,"NDUFA5, NDUFA7, NDUFB8, NDUFV2","NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA6, NDUFA8, NDUFA10, NDUFAB1, NDUFB1, NDUFB2, NDUFB3, NDUFB4, NDUFB6, NDUFB7, NDUFB9, NDUFB10, NDUFC1, NDUFS2, NDUFS3, NDUFV1, NDUFS5, NDUFS6, NDUFS8, NDUFV3, NDUFB11, NDUFA12, NDUFA11, NDUFS7"
GO:0004674,protein serine/threonine kinase activity,1.214959265037268,10,0.5,1.153607792812402e-12,4.124229056050292e-11,"ACVR2A, ACVR2B, ATM, ATR, BMPR1A, BMPR1B, BRAF, BUB1, CAMK2D, CSNK1A1, CSNK1G3, GSK3B, ILK, MAP3K1, MAP3K5, PDK3, PRKAA1, PRKAA2, PRKCE, PRKCI, PKN2, PRKDC, MAPK6, MAPK8, MAP2K6, EIF2AK2, RAF1, ROCK1, RPS6KA3, RPS6KB1, SRPK1, STK3, STK4, MAP3K7, TGFBR1, MAP4K3, MAPKAPK5, RIPK2, LATS1, RPS6KA5, MAP4K4, EIF2AK3, ROCK2, SLK, AKT3, HIPK3, PLK4, IRAK3, SMG1, HIPK2, TBK1, IRAK4, TAOK3, MAP3K20, CSNK1G1, TAOK1, WNK3, LRRK2, ACVR1C, NEK7, PIKFYVE, KSR2","ACVR1B, ACVRL1, AKT1, ARAF, CDK5, CDK9, PLK3, CSNK1D, CSNK1E, CSNK1G2, CSNK2B, DAPK3, GRK5, MKNK2, GSK3A, IRAK1, LIMK1, MAP3K10, MAP3K11, PDPK1, PHKG2, PIM1, PRKACA, PRKCD, PKN1, PRKCZ, MAPK3, MAPK4, MAPK11, MAPK13, MAP2K1, MAP2K2, MAP4K2, RPS6KA1, RPS6KA2, RPS6KB2, MAPK12, STK11, MAPKAPK3, ULK1, RPS6KA4, MAP3K14, PKMYT1, MAPKAPK2, TAOK2, OXSR1, PAK4, RIPK3, PIM2, MAP4K1, CHEK2, DAPK2, PRKD2, STK39, PINK1, WNK2, SIK1"
GO:0032981,mitochondrial respiratory chain complex I assembly,1.3160995189807592,10,0.16666666666666666,2.4774602263723544e-12,3.1788408760773786e-5,"NDUFA5, NDUFB8","NDUFA1, NDUFA2, NDUFA3, NDUFA6, NDUFA8, NDUFA10, NDUFAB1, NDUFB1, NDUFB2, NDUFB3, NDUFB4, NDUFB6, NDUFB7, NDUFB9, NDUFB10, NDUFC1, NDUFS2, NDUFS3, NDUFS5, NDUFS8, NDUFB11, NDUFA11, NDUFS7"
GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",1.195063358089879,10,0.26785714285714285,2.4970051783122187e-12,5.326083853634942e-10,"KLF5, CREB1, ATF2, ELK4, ESR1, ETS1, FOXO1, FOXO3, GTF2I, HIF1A, HNF4G, ONECUT1, RBPJ, SMAD2, SMAD4, MEF2A, MEF2C, MITF, NFATC3, NOTCH2, PGR, REL, SP1, ZNF143, CLOCK, NR1I3, ATF6, ZNF300","CEBPA, ATF6B, DBP, DDIT3, E2F2, E2F3, E2F4, EGR1, EGR2, ELK1, ESRRB, FOS, GATA3, GATA4, HHEX, NR4A1, HSF1, IRF1, IRF3, IRF5, JUN, FOXO4, NFATC1, NFE2L2, NFKB2, NFYB, NOTCH1, NOTCH4, NRF1, NR4A2, RELA, RXRB, SOX4, SREBF1, SRF, STAT3, STAT5B, STAT6, TCF3, TFAP4, TP53, TP73, NR1H2, ZNF76, ZBTB17, RFXANK, CREB3, PRDM4, MLXIP, POU2F3, FOXP3, SOX17, CREB3L3, CREB3L1, MEF2B"
GO:0043123,positive regulation of canonical NF-kappaB signal transduction,1.1535898392457438,6,0.16666666666666666,2.4239317750675048e-11,5.971726783296121e-10,"BIRC2, BIRC3, XIAP, CHUK, HTR2B, IL1B, ILK, ROR1, PRKN, REL, MAP3K7, TFRC, TLR4, TNF, TRAF5, TRAF6, UBE2V1, RIPK2, CFLAR, BCL10, TLR6, AKAP13, FBXW11, TBK1, IRAK4, CLEC7A, TIFA, CLEC6A, TAB3","RHOA, CAV1, CD4, CD36, CD74, CX3CR1, FLOT2, GAPDH, HLA-DRB1, IRAK1, LTBR, MAP3K3, MYD88, RELA, CCL19, CCL21, CX3CL1, TGFB1, TNFRSF1A, UBE2N, IKBKG, TRADD, FADD, RBX1, FLOT1, LAMTOR5, RBCK1, PIM2, CARD9, PINK1, SHARPIN, CARD11, TICAM1, DAB2IP"
GO:0006954,inflammatory response,0.9781591263650546,6,0.16666666666666666,3.57315681245377e-11,1.263085541461967e-7,"ADORA2A, PARP4, CHUK, CYBB, FCGR2B, IL1B, IL5, CXCL8, IL10RB, MEFV, NFATC3, PIK3CG, MAP3K7, THBS1, TNF, WNT5A, RIPK2, HDAC9, LIAS, TBK1, NOX4, MAP3K20, NLRC4, NLRP3, MIR221","ADORA1, AGER, CEBPB, CYBA, FOS, FUT7, GATA3, XCR1, HMGB1, HRH1, KIT, NFATC4, PIK3CD, RELA, CCL3, STAT3, TNFRSF1A, HYAL3, IKBKG, AOC3, MAPKAPK2, HDAC5, MGLL, PLA2G2D, NOX1, F11R, IL17D, NRROS, CCL3L3"
GO:0038061,non-canonical NF-kappaB signal transduction,1.1581675767030681,6,0.16666666666666666,1.3299216431395845e-10,1.0106207965981424e-6,"BIRC2, BIRC3, CHUK, TRAF6, TAB3","AKT1, NFKBIA, RELA, TRAF2, MAP3K14, TAB1"
GO:0051092,positive regulation of NF-kappaB transcription factor activity,1.0437241402699586,8,0.26785714285714285,5.971726783296121e-10,0.023238833636859538,"AGT, CHUK, FER, IL1B, ROR1, PRKCH, PRKCI, EIF2AK2, PSMA6, TFRC, TLR2, TLR4, TNF, TRAF5, TRAF6, UBE2V1, WNT5A, RIPK2, TNFRSF11A, IL18RAP, IL18R1, CFLAR, BCL10, TNFSF18, RPS6KA5, AIM2, CLOCK, MALT1, IRAK3, NLRC4, CLEC7A, NLRP3","AGER, IL18, IRAK1, MYD88, NTS, PLA2G1B, PPIA, PRKCZ, RELA, RPS3, STAT3, TRAF2, UBE2N, IKBKG, TRADD, RPS6KA4, ARHGEF2, LAMTOR5, RBCK1, RIPK3, PRKD2, PYCARD, PIDD1, CARD9, CARD11"
