ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0005747,mitochondrial respiratory chain complex I,1.6820627802690582,10,0.037037037037037035,1.4002862564553512e-9,2.391997935960134e-5,"NDUFA3, NDUFA7, NDUFB7, NDUFB8, NDUFV1, NDUFS6, NDUFA13, NDUFB11, NDUFA11, NDUFS7",NDUFS1
GO:0004674,protein serine/threonine kinase activity,1.831270553064275,10,0.37037037037037035,1.8776805009718205e-8,1.745856815192742e-7,"ARAF, CSNK1D, CSNK1E, CSNK1G2, ERN1, MAP3K10, PAK3, PHKG2, PIM1, PKN1, MAPK11, MAP2K2, STK11, ULK1, MKNK1, PKMYT1, WNK4, WNK2, KSR2","ATR, BMPR1A, BUB1, CDK1, CHEK1, MAPK14, CSNK1A1, CSNK1G3, CSNK2A2, MTOR, GSK3B, PAK1, PAK2, PRKACB, PRKDC, MAPK1, MAPK6, MAPK8, MAP2K1, EIF2AK2, ROCK1, STK3, TGFBR1, RIPK2, ROCK2, SMG1, TAOK3, MAP3K20, CSNK1G1, WNK1, ACVR1C, SIK1, EIF2AK4"
GO:0000502,proteasome complex,1.256381044721852,10,0.037037037037037035,4.0865376393171447e-7,6.829101029776529e-7,PSMA2,"PSMA4, PSMC1, PSMD1, PSMD2, PSMD7, PSME3, PSMD14"
GO:0034198,cellular response to amino acid starvation,2.360622197309417,10,0.1111111111111111,2.947903909100459e-6,2.947903909100459e-6,"CDKN1A, NPRL2, SESN2, FLCN, CASTOR1","FAS, EIF2S1, MTOR, MAPK1, MAPK8, EIF2AK2, SH3GLB1, EIF2AK4"
GO:0004623,phospholipase A2 activity,1.9369207772795214,10,0.14814814814814814,4.314738933133094e-6,4.314738933133094e-6,"PLA2G1B, PLA2G2A, PLA2G6, PNPLA2, PLA2G4B",
GO:0006974,DNA damage response,1.7090477446584018,10,0.037037037037037035,4.503851316678755e-6,4.503851316678755e-6,"CASP9, CDKN1A, DDB2, IRF3, POLB, STK11, ZNF432, SIRT7, PIDD1","ATR, BLM, CHEK1, DDB1, DDIT3, MCL1, MRE11, NEDD4, PAK1, PRKDC, RAD51, RPA1, TP53BP1, CUL4B, YAP1, TOPBP1, CBX3, SMG1, TAOK3, POLK, SETD7"
GO:0032981,mitochondrial respiratory chain complex I assembly,1.4526905829596413,10,0.037037037037037035,7.456041391558896e-6,0.00400013000853071,"NDUFA3, NDUFB7, NDUFB8, NDUFA13, NDUFB11, NDUFA11, NDUFS7",NDUFS1
GO:0005178,integrin binding,1.2325859491778772,10,0.037037037037037035,1.2236382619803043e-5,1.2236382619803043e-5,"CDH17, P4HB, SPP1, VTN, ANGPTL3","NRG1, TNC, IGF2, ITGAV, ITGB1, PTK2, ADAM17, TNXB, JAM3"
GO:0051015,actin filament binding,1.3074215246636773,10,0.037037037037037035,1.6045543148630533e-5,1.6045543148630533e-5,"CTNNA2, MYH14","CFL2, EGFR, FLNA, HIP1, MYO1B, ACTR2, CYFIP1"
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,0.9867332261612658,10,0.1111111111111111,2.2136339496231315e-5,2.8177651696681332e-5,"AGT, EGF, FGFR3, GPER1, INSR, PLXNB1","CBL, CSF3, EGFR, MTOR, IGF2, IRS1, ITGB1, NEDD4, NTS, PIK3CA, PTK2, TGFBR1"
GO:0006468,protein phosphorylation,1.5307922272047834,10,0.18518518518518517,2.595472960477236e-5,2.595472960477236e-5,"CSNK1D, CSNK1E, CSNK1G2, CTBP1, ERN1, INSR, PHKG2, PIM1, PRKCG, PKN1, STK11, TYK2, MKNK1, SGK3, WNK4, WNK2, STRADA","ADAM10, APP, CDK1, CHEK1, CREB1, CSNK1A1, FER, MTOR, GSK3B, IRAK2, JAK1, MYLK, PAK1, PAK2, PRKACB, PRKDC, MAPK1, MAPK6, MAPK8, MAP2K1, EIF2AK2, ROCK1, STK3, YWHAZ, ROCK2, PRKD3, TAOK3, MAP3K20, BIRC6, WNK1, SIK1, EIF2AK4"
GO:0051403,stress-activated MAPK cascade,2.324304932735426,10,0.25925925925925924,3.4855363077662686e-5,3.4855363077662686e-5,"MAPK11, MAP2K7","MAPK14, MAPK1, MAPK8, MAP3K20"
