ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0005747,mitochondrial respiratory chain complex I,2.4454183266932272,10,0.05555555555555555,5.460113486098775e-21,7.529120287625737e-16,"NDUFA1, NDUFA2, NDUFA3, NDUFA5, NDUFA7, NDUFA9, NDUFB1, NDUFB7, NDUFB8, NDUFB9, NDUFS5, NDUFS8, NDUFV2, NDUFV3, NDUFA13, NDUFA11","NDUFS1, NDUFS2"
GO:0062023,collagen-containing extracellular matrix,2.452211155378486,10,0.05555555555555555,7.104449359561725e-18,7.104449359561725e-18,VTN,"COL4A1, COL4A2, COL6A1, COL6A2, COL6A3, DCN, FGF10, FN1, TNC, LAMA4, LAMB2, LAMC1, LTBP1, SFRP1, TGFB2, THBS4, TNXB, VWF"
GO:0032981,mitochondrial respiratory chain complex I assembly,2.419945219123506,10,0.05555555555555555,6.048200575893932e-17,7.527304447471067e-12,"NDUFA1, NDUFA2, NDUFA3, NDUFA5, NDUFA9, NDUFB1, NDUFB7, NDUFB8, NDUFB9, NDUFS5, NDUFS8, NDUFA13, NDUFA11","NDUFS1, NDUFS2"
GO:0005201,extracellular matrix structural constituent,3.340473400515585,10,0.05555555555555555,7.17523315441595e-15,7.17523315441595e-15,"MUC5AC, VTN","COL4A1, COL4A2, COL4A4, FN1, TNC, LAMA4, LAMB2, LAMC1, TNXB"
GO:0005925,focal adhesion,1.6653386454183268,10,0.1111111111111111,1.0634776537006935e-12,1.1430673785766279e-11,"NME2, EVL","ACTN1, CAV1, CAV2, DAG1, ITGA1, ITGA5, ITGB1, ITGB3, MSN, MYH9, MAPK1, TLN1, VCL, ZYX, NRP1, SORBS1, PIP5K1C, PARVA"
GO:0005788,endoplasmic reticulum lumen,1.8355732625055332,10,0.05555555555555555,7.384761729805636e-10,7.384761729805636e-10,"BGLAP, DMP1, LIPC, MEN1, PROC, VGF, GHRL","ARSB, BDNF, SERPING1, C3, C4A, CALR, CES1, COL4A1, COL4A2, COL4A4, COL4A6, COL6A1, COL6A2, COL6A3, COL9A1, COL9A2, CSF1, DAG1, FN1, GAS6, GIP, HRC, HSPA5, TNC, LAMB2, LAMC1, LTBP1, MFGE8, PDGFB, MAPK1, DNAJC3, WFS1, CES2, P4HA2, H6PD, PDIA6, COLGALT2, GANAB, BACE1, PDGFC, PDGFD"
GO:0005178,integrin binding,1.7208499335989376,10,0.1111111111111111,1.7728976345854258e-9,1.7728976345854258e-9,"DMP1, IGF1, PTPN2, VTN","ACTN4, ACTN1, CALR, FN1, TNC, ITGB1, ITGB3, KDR, MYH9, PTPRZ1, SELP, THBS4, TLN1, TNXB, VWF, PLPP3, JAM2, JAM3"
GO:0015629,actin cytoskeleton,1.6302788844621514,10,0.05555555555555555,1.8728161715161067e-8,4.307935510958281e-6,"ATP12A, ARPC1A, SEPTIN9","ACTN4, BIN1, AXL, CALD1, EPHA3, FLNA, FLT1, MYH9, MYLK, PPP1R12A, TPM1, TPM2, TPM3, ZYX, IQGAP1, ARPC2, SPRY2, SYNPO, PARVA, AHNAK, ABLIM2"
GO:0061621,canonical glycolysis,2.8159362549800795,10,0.05555555555555555,1.8918355528997816e-8,1.4944721012172482e-6,HK3,"ENO3, HK1, HK2, PGAM1, PGK1"
GO:0051015,actin filament binding,1.9359561752988048,10,0.05555555555555555,2.742809859354881e-8,1.6384304134135759e-6,MICALL2,"ACTN4, ACTN1, BIN1, CFL2, FLNA, MYH9, MYH10, MYO1D, TNNC1, TPM1, TPM2, ARPC2, CYFIP1, MYH14"
GO:0030020,extracellular matrix structural constituent conferring tensile strength,3.6875355719977234,10,0.05555555555555555,8.842521348842365e-7,8.842521348842365e-7,,"COL4A1, COL4A2, COL6A1, COL6A2, COL6A3"
GO:0008307,structural constituent of muscle,3.226593625498008,10,0.1111111111111111,1.5928138049640005e-6,4.990502208261444e-6,MYL5,"DAG1, DMD, MYH11, MYL3, TPM1, TPM2, MYL9, MYL11, MYL6B"
GO:0005859,muscle myosin complex,4.517231075697212,10,0.1111111111111111,1.8694131010676208e-6,4.822074142263072e-6,MYL5,"MYH6, MYH11, MYL3, MYL9, MYL11, MYL6B"
GO:0005604,basement membrane,2.5812749003984066,10,0.05555555555555555,2.094213811046008e-6,2.094213811046008e-6,,"COL4A4, DAG1, HSPG2, LAMA2, LAMA4, LAMB2, LAMC1, THBS4"
