ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0006661,phosphatidylinositol biosynthetic process,1.4831103945220747,10,0.16783216783216784,6.2477445130434445e-25,2.663304952443022e-17,"INPPL1, PI4KA, PI4KB, MTMR1, CDIPT, PIP5K1C, INPP5J, INPP5K, INPP5E, MTMR14, SLC27A1","IMPA1, PIK3C2A, PTEN, SYNJ1, SYNJ2, MTMR2, MTMR6, MTMR7, INPP5F, SACM1L, PI4K2B, PIKFYVE"
GO:0005747,mitochondrial respiratory chain complex I,1.5883195987101397,10,0.10555555555555556,2.2350004295779226e-24,2.0735118742120278e-17,"NDUFA2, NDUFA3, NDUFA4, NDUFA6, NDUFA9, NDUFA10, NDUFAB1, NDUFB2, NDUFB7, NDUFB8, NDUFB9, NDUFB10, NDUFC2, NDUFS2, NDUFS3, NDUFV1, NDUFS6, NDUFS8, NDUFV2, NDUFA13, NDUFB11, NDUFA12, NDUFA11, NDUFS7","NDUFA5, NDUFB3"
GO:0032981,mitochondrial respiratory chain complex I assembly,1.5959557506270152,10,0.10555555555555556,4.1586861933503366e-17,2.0062794353894336e-12,"NDUFA2, NDUFA3, NDUFA6, NDUFA9, NDUFA10, NDUFAB1, NDUFB2, NDUFB7, NDUFB8, NDUFB9, NDUFB10, NDUFC2, NDUFS2, NDUFS3, NDUFS8, TAFAZZIN, NDUFA13, NDUFB11, NDUFA11, NDUFS7","NDUFA5, NDUFB3"
GO:0007186,G protein-coupled receptor signaling pathway,1.0219956779315365,9,0.1111111111111111,6.519351634848482e-14,1.3379760461629225e-5,"ADORA2B, ADRA1D, ADRA1B, ADRA2A, GRK2, AKT1, CALM3, DGKQ, FPR1, CCR10, GPER1, FFAR2, GRK6, CXCL1, ITPR3, PLCB3, PTGER1, PTGER2, PTPN6, RGS3, SSTR5, TBXA2R, UCN, VIPR1, S1PR4, LPAR2, BCAR1, RGS14, CXCR6, RASD1, GHRL, INPP5K, NPW","ABCA1, GRK3, AGTR1, C3, C3AR1, C5, CHRM3, CCR5, CCR8, CX3CR1, S1PR1, S1PR3, F2R, GNAI1, HRH1, CXCL9, P2RY1, PDE3B, PIK3CB, PIK3CG, PLCB4, PTGER3, PTGFR, RGS2, CCL21, CXCL12, VIP, LGR5, RAPGEF2, LANCL1, FRS2, RAPGEF4, AKAP13, PLCB1, ARHGEF12, SUCNR1, NLN"
GO:0007249,canonical NF-kappaB signal transduction,1.4094154680861954,10,0.10555555555555556,9.494539291633298e-14,3.0712206517701624e-8,"AKT1, BCL3, IRAK1, NFKB2, NFKBIA, TRADD, MAP3K14","BIRC2, BIRC3, CHUK, ROCK1, MAP3K7, TRAF6, ROCK2, TBK1, TLR7, ZNF675"
GO:0046856,phosphatidylinositol dephosphorylation,1.9642532315409418,10,0.2111111111111111,2.5617884541926665e-13,8.132155464548108e-8,"INPP5B, MTMR1, INPP5K, PIP4P1","PTEN, SYNJ1, MTMR2, MTMR6, INPP5F, SACM1L, PIP4P2"
GO:0004674,protein serine/threonine kinase activity,1.5335244237429835,10,0.4444444444444444,1.4182851996581699e-12,3.582446639011934e-8,"ACVRL1, AKT1, AKT2, ARAF, BMPR1B, CDK9, PLK3, CSNK1A1, CSNK1D, CSNK1E, CSNK1G2, CSNK2A2, CSNK2B, DAPK3, MKNK2, GSK3A, ILK, IRAK1, MAP3K10, MAP3K11, PHKG2, PIM1, PLK1, PRKCD, PRKCZ, MAPK3, MAP2K2, RAF1, RPS6KA1, RPS6KB2, STK11, MAPKAPK3, ULK1, MKNK1, RPS6KA4, MAP3K14, PKMYT1, TAOK2, IKBKE, PAK4, RIPK3, MAP4K1, PRKD2, PINK1, WNK2","ACVR1, ACVR2A, ACVR2B, ATM, ATR, BMPR1A, BRAF, BUB1, CDK1, CDK7, CHEK1, CSNK1G3, CSNK2A1, GSK3B, MAP3K1, PAK1, PAK2, PAK3, PDK3, PDPK1, PRKAA1, PRKAA2, PRKACB, PRKCB, PRKCI, PKN2, PRKD1, PRKDC, MAPK6, MAPK8, MAPK9, EIF2AK2, ROCK1, RPS6KA3, RPS6KB1, STK3, STK4, SYK, MAP3K7, TGFBR1, MAP4K3, LATS1, MAP3K13, RPS6KA5, MAP4K4, EIF2AK3, ROCK2, SLK, OXSR1, AKT3, HIPK3, PLK4, SMG1, SIK2, LATS2, STK39, TBK1, TAOK3, MAP3K20, CSNK1G1, TAOK1, LRRK2, NEK7, PIKFYVE"
GO:0004438,phosphatidylinositol-3-phosphate phosphatase activity,1.741042637047653,10,0.1111111111111111,1.863579354314765e-12,2.3412363137150513e-9,"MTMR1, MTMR14","PTEN, SYNJ1, SYNJ2, MTMR2, MTMR6, MTMR7, SACM1L"
GO:0007229,integrin-mediated signaling pathway,1.4444205581432383,10,0.2222222222222222,8.070467111633694e-9,9.888999252905231e-4,"CDH17, ILK, ITGB7, NME2, SRC, ZYX, MADCAM1, BCAR1, ISG15, CCM2, FERMT3","CDC42, COL3A1, DAB2, DOCK1, FN1, ITGA5, ITGAV, ITGB1, ITGB3, ITGB8, PRKD1, PTK2, SYK, PLPP3, NRP1, ITGA11, LAT"
GO:0052629,"phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity",1.6249731279111432,10,0.1111111111111111,8.56563458737073e-9,5.084302063638773e-6,"MTMR1, MTMR14","SYNJ1, SYNJ2, MTMR2, MTMR6, MTMR7"
GO:0004550,nucleoside diphosphate kinase activity,1.2499793291624177,5,0.09090909090909091,1.0635493261062462e-8,1.376610458243142e-8,"AK1, NME1, NME2, NME3","AK4, CMPK1, AK9"
GO:0008137,NADH dehydrogenase (ubiquinone) activity,1.8055256976790477,10,0.10555555555555556,2.7160128343831026e-8,4.640618408248992e-4,"NDUFB7, NDUFS2, NDUFS3, NDUFV1, NDUFS8, NDUFV2, NDUFS7",
GO:0034142,toll-like receptor 4 signaling pathway,1.5883195987101397,10,0.10555555555555556,4.923646054093322e-8,0.004906838679355432,"IRF3, MYD88, NFKBIA, TRAF3, ECSIT, TIRAP, TICAM1","CHUK, MAP3K7, TLR4, TRAF6, LY96, TBK1"
GO:0031209,SCAR complex,1.8055256976790477,9,0.1,9.530285861548587e-8,0.002280898239948415,CYFIP1,"NCKAP1L, WASF1, ABI1, ABI2, WASF2, NCKAP1"
GO:0046854,phosphatidylinositol phosphate biosynthetic process,1.8239494292880174,10,0.14646464646464646,1.3218348616690332e-7,0.021217981731916028,"ITPKA, PI4KA, IP6K1, IP6K2","PIK3C3, PIK3CA, PIK3CB, PIK3CG, PIK3R1, SMG1, PI4K2B"
GO:0010592,positive regulation of lamellipodium assembly,1.5020760005901321,9,0.1111111111111111,1.7195091272796804e-7,2.4687175716317106e-7,"RAC2, CYFIP1","CDC42, PIK3CA, PIK3R1, RAC1, ACTR3, ACTR2, ABI2, WASF2, NCKAP1"
GO:0018108,peptidyl-tyrosine phosphorylation,1.3588625459884123,10,0.1111111111111111,2.1024755080959626e-7,0.0014178969084784135,"BLK, EPHA1, EPHB2, FGFR4, JAK3, PTPN6, SRC, ZAP70","ABL2, BTK, EGFR, EPHA3, ERBB2, FGFR1, FLT1, FLT3, FYN, JAK2, KDR, PDGFRA, RELN, PTK2, SYK, ABI2"
