ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0062023,collagen-containing extracellular matrix,3.258811475409836,10,0.0625,1.096825396094385e-26,1.0374239284865929e-20,"COL1A1, COL3A1, COL4A1, COL4A2, COL6A1, COL6A2, COL6A3, DCN, FGF10, FGFR2, FN1, TNC, LAMA4, LAMB2, LAMC1, LTBP1, LUM, SFRP1, SFRP2, TGFB3, THBS1, THBS4, TNXB, VWF, WNT2, CDON, TNN",
GO:0005925,focal adhesion,1.8688524590163935,10,0.17647058823529413,6.951584890331975e-18,5.403608845088622e-9,"ACTN1, ADGRB1, CAV1, ITGA1, ITGA5, ITGAV, ITGB1, ITGB3, MSN, ABCB4, PXN, RDX, TLN1, VCL, NRP1, SORBS1, TNFSF13B, ITGA11, PIP5K1C, EVL, ENAH, PARVA","LIMD1, ATP6V0A2"
GO:0005201,extracellular matrix structural constituent,2.8399228543876567,10,0.0625,3.5607603628912635e-16,8.532925962010925e-12,"COL3A1, COL4A1, COL4A2, FN1, TNC, LAMA4, LAMB2, LAMC1, THBS1, TNXB",
GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,1.85687263556116,10,0.06458333333333333,2.2651769727351476e-15,0.038381326315847994,"ABCA1, ADCY2, ADCY5, ADCY9, ADCYAP1, DRD1, GIP, CXCL9, PTGIR, PTHLH, PTH1R, VIP, CALCRL, RAMP2, RAMP1, RAMP3, GPR161, OR51E2","ADCY6, PF4"
GO:0005178,integrin binding,2.3407848981619472,10,0.2583333333333333,1.8572814862158044e-14,1.477341777230835e-11,"ACTN1, COL3A1, S1PR3, FGF1, FGF2, FN1, TNC, ICAM1, IGF1, ITGAV, ITGAX, ITGB1, ITGB2, ITGB3, KDR, CXCL12, SELP, SFRP2, SPP1, THBS1, THBS4, THY1, TLN1, TNXB, VCAM1, VWF, PLPP3, S1PR2, JAM2, JAM3","CDH17, NRG1"
GO:0005788,endoplasmic reticulum lumen,1.6808136004857315,10,0.0625,9.964513398832843e-12,1.271360931244188e-6,"APOE, ARSB, BDNF, SERPING1, C3, C4A, COL1A1, COL1A2, COL3A1, COL4A1, COL4A2, COL6A1, COL6A2, COL6A3, CSF1, FMO1, FN1, GIP, HRC, TNC, IGFBP3, LAMB2, LAMC1, LTBP1, MFGE8, PDGFA, PDGFB, PENK, SDC2, SPP1, THBS1, TIMP1, WNT7A, WNT7B, BACE1, PDGFC, PDGFD, P4HA3, GPX8","APOA2, COL9A2, FGG, MEN1, FGF23, MINPP1, TXNDC12, ACE2"
GO:0018108,peptidyl-tyrosine phosphorylation,1.7662934826069574,10,0.22875816993464052,1.2555314177357139e-11,2.412120127201993e-9,"BTK, CSF1R, EPHA3, FGFR1, FGFR2, FGR, FLT4, KDR, NTRK1, PDGFB, PDGFRA, PDGFRB, RELN","EPHB2, FGFR4"
GO:0007160,cell-matrix adhesion,2.2070257611241217,10,0.19375,3.1444908849647956e-11,8.249076943308902e-10,"COL3A1, ITGA1, ITGAV, ITGB1, ITGB2, ITGB3, ITGB5, ITGB8, VCAM1, VCL, ITGA10, SGCE, SORBS1, ITGA11","FGB, FGG"
GO:0007229,integrin-mediated signaling pathway,2.145719489981785,10,0.18198529411764708,5.270721315868282e-11,1.7232558705784906e-10,"COL3A1, DAB2, DOCK1, FGR, FN1, ITGA5, ITGAV, ITGB1, ITGB2, ITGB3, ITGB5, ITGB8, PRKD1, THY1, ITGA10, PLPP3, NRP1, ITGA11, LAT",CDH17
GO:0006935,chemotaxis,1.3027582617746551,10,0.1715686274509804,1.6411363789694825e-10,2.4433422091647725e-10,"C5AR1, S1PR1, FGF2, NCKAP1L, CXCL9, CCL2, CCL17, CCL25, CXCL12, CCR2","MAPK14, CXCL1, CXCL2, PIK3CB, CCL20, LTB4R2, CCL28"
