ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0007186,G protein-coupled receptor signaling pathway,1.3692348008385742,10,0.19615384615384618,2.4234659772286995e-19,2.887029442370957e-13,"ADRA1B, AGT, AREG, CXCR5, C5, CD3E, CGA, CCR7, CX3CR1, FPR1, FPR2, XCR1, CXCL1, CXCL8, CXCR1, PTPN6, SCTR, CCL5, SST, TSHR, CXCR4, S1PR4, LPAR2, CXCR6, CCR9, NMU, PIK3R5, GHRL, SUCNR1, PIK3R6","ADRA1D, AGTR1, CALM1, CALM2, CHRM2, S1PR3, GNA12, GNAI1, GNAZ, HTR2B, P2RY1, PDE3A, PDE4A, PIK3CB, PTGER3, RGS2, SSTR5, VIP, PLCB1, ARHGEF12"
GO:0062023,collagen-containing extracellular matrix,2.2859375,10,0.037037037037037035,2.6428016221722654e-16,3.071335472560434e-14,"F3, FGFR2, VTN, LAMA1","COL3A1, COL4A2, COL6A1, COL6A2, COL6A3, FGF10, FN1, TNC, LAMA4, LAMB1, LAMB2, LAMC1, LTBP1, TGFB2, THBS1, CDON, TNN"
GO:0005925,focal adhesion,1.7557123655913978,10,0.1111111111111111,2.734271752357099e-16,5.4053262453892775e-14,"ALOX15B, CFL1, HCK, IL16, NRP1, IL1RL1","ACTN1, ILK, ITGA1, ITGA5, ITGAV, ITGB1, MYH9, NME2, MAPK1, PTK2, RDX, TLN1, VCL, ZYX, SORBS1, PIP5K1C, GIT1, ENAH, PARVA"
GO:0042613,MHC class II protein complex,3.0144230769230766,10,0.07407407407407407,4.834227604363876e-16,9.884658083334804e-10,"CD74, HLA-DMA, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQB1, HLA-DRA, HLA-DRB1",
GO:0008009,chemokine activity,1.842147435897436,10,0.07407407407407407,2.409849497000321e-14,5.322883080717316e-10,"C5, CXCL3, CXCL8, PF4, CCL3, CCL5, CCL7, CCL19, CCL24, CXCL6, CCL26",
GO:0005201,extracellular matrix structural constituent,3.073529411764706,10,0.037037037037037035,8.603311137927635e-14,1.9019558163314514e-11,"MUC5AC, VTN, LAMA1","COL3A1, COL4A2, FN1, TNC, LAMA4, LAMB1, LAMB2, LAMC1, THBS1"
GO:0004950,chemokine receptor activity,2.6794871794871797,10,0.1176923076923077,2.5506899397342744e-13,2.474696411498423e-9,"CCR3, CCR4, CCR6, CX3CR1, XCR1, CXCR3, CXCR1, CCR9",
GO:0018108,peptidyl-tyrosine phosphorylation,2.0177845528455287,10,0.1111111111111111,6.752888937727595e-13,3.121681686014571e-11,"BLK, BTK, FGFR2, FGR, FLT3, HCK, JAK3, LCK, RELN, PTPN6, ZAP70","ABL1, EPHA3, ERBB2, ERBB4, FER, FGFR1, PTK2, ABI2"
GO:0006935,chemotaxis,1.7969576719576716,10,0.229020979020979,3.672471857891311e-12,3.5799322651931677e-10,"C5, CCR3, CCR4, CCR6, CX3CR1, FPR2, XCR1, CXCR3, CXCL1, CXCL2, CXCL8, CXCR2, CCL3, CCL7, CCL17, CCL22, CCL24, CXCL6, FOSL1, CXCL14, CCL26, CCR9","MAPK14, FGF2, PIK3CB, MAPK1"
GO:0051015,actin filament binding,1.6328125,10,0.037037037037037035,2.3284844691671572e-11,1.6384304134135759e-6,"CFL1, HCLS1, MYL4, ARPC4","ACTN1, CACNB2, CFL2, FLNA, MYO1B, MYH9, MYH10, MYO1D, TPM1, TPM2, ACTR2"
GO:0007173,epidermal growth factor receptor signaling pathway,1.6328125,10,0.037037037037037035,3.283293360253797e-11,2.395597678944106e-7,"AREG, EREG, SHC3","EGF, GAB1, PDPK1, PIK3CA, PTPN11, SOS1"
GO:0035987,endodermal cell differentiation,1.8660714285714284,10,0.044466403162055336,1.6240249276530057e-10,3.0383800457247316e-10,VTN,"COL4A2, COL6A1, FN1, ITGA5, ITGA7, ITGAV, ITGB5, LAMB1"
GO:0007229,integrin-mediated signaling pathway,2.225462962962963,10,0.18518518518518517,2.8294563993160933e-10,6.105771041456351e-10,"FGR, HCK, ITGB7, MADCAM1, SEMA7A, NRP1, LAT, FERMT3","ABL1, COL3A1, DOCK1, FN1, ILK, ITGA5, ITGAV, ITGB1, ITGB5, LAMA5, NME2, PRKD1, PTK2, ZYX, CUL3"
GO:0001784,phosphotyrosine residue binding,1.9518678160919538,10,0.18518518518518517,6.720625855819443e-10,1.030580448638665e-9,"FGR, HCK, LCK, PTPN6, VAV1, ZAP70, SHC3","ABL1, CRK, CRKL, IRS1, PTPN11, YES1"
GO:0004930,G protein-coupled receptor activity,1.1565755208333333,10,0.1176923076923077,1.3959906347336082e-9,9.546480410868565e-7,"CXCR5, CCR7, CX3CR1, FPR1, GRM4, GRM8, CXCR1, CXCR2, PTAFR, CXCR4, HCAR3, CXCR6, SUCNR1, NMUR2, RXFP1","GLP2R, CALCRL"
GO:0003700,DNA-binding transcription factor activity,1.2712895377128954,8,0.037037037037037035,2.0411507365278284e-9,3.928284598473087e-8,"ESRRB, NR5A2, IRF4, POU5F1, RARA, RORC, SOX2, SPI1, STAT4, XBP1, FOSL1, BATF, RBPJL, FOXP3","AR, ARNT, CREB1, ATF2, DDIT3, FOXO3, GLI2, GLI3, RBPJ, SMAD1, SMAD2, SMAD4, MEF2A, NFIL3, NFYB, PITX2, PPARA, SP1, SREBF1, SRF, STAT5B, ZEB1, TEAD1, TEAD3, TEAD2, HES6"
GO:0004713,protein tyrosine kinase activity,1.5994897959183672,10,0.037037037037037035,1.087829159157986e-8,3.0659241477969903e-7,"BLK, BTK, FGR, FLT3, HCK, JAK3, LCK, MATK, ZAP70","ABL1, EPHA7, ERBB2, ERBB4, FGFR1, PTK2, RYK, YES1, RPS6KA5"
GO:0006096,glycolytic process,2.539930555555556,9,0.037037037037037035,1.7151785275815512e-8,2.5759870010806227e-8,"ALDOA, ALDOB, PFKFB1, PGAM4","ENO2, HK2, PFKM"
GO:0005788,endoplasmic reticulum lumen,1.4513888888888888,10,0.037037037037037035,2.3254314483737878e-8,3.677288880394947e-7,"APOA2, STS, B2M, DBI, FGA, HRC, IL12B, KNG1, CFP, SERPINA1, EBI3, SHISA5, IL23A, GHRL, ERO1B, WNT5B, NOTUM, IL27","ARSB, C4A, CES1, COL1A2, COL3A1, COL4A2, COL4A5, COL4A6, COL6A1, COL6A2, COL6A3, FN1, TNC, LAMB1, LAMB2, LAMC1, LTBP1, P4HA1, PENK, MAPK1, DNAJC3, SDC2, THBS1, VGF, WNT6, BACE1, COLGALT1"
GO:0030658,transport vesicle membrane,2.0096153846153846,10,0.07407407407407407,2.5626905080920966e-8,6.991353238694262e-4,"CD74, HLA-DPA1, HLA-DPB1, HLA-DQB1, HLA-DRA, HLA-DRB1",
GO:0016601,Rac protein signal transduction,3.386574074074074,10,0.037037037037037035,2.9696197845771057e-8,4.3181802281898076e-8,"RHOG, TIAM1, ELMO1, BRK1","WASF1, ABI2, NCKAP1"
GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,1.4513888888888888,10,0.037037037037037035,3.876897276381018e-8,2.2821460171822134e-6,"CCKBR, CX3CR1, FPR1, CXCR2, PTAFR, NMUR2","AGTR1, EDNRA, GRPR, P2RY1"
GO:0006805,xenobiotic metabolic process,0.9465579710144927,6,0.037037037037037035,4.5424241300059904e-8,4.5424241300059904e-8,"NAT1, ALDH3A1, CYP2C8, CYP2C9, CYP2C18, CYP3A4, EPHX1, RORC, SLC22A1, SLCO1B1, ACSM1","NAT2, CYP2A6, SULT2A1, TPMT"
GO:0008543,fibroblast growth factor receptor signaling pathway,1.8660714285714284,10,0.039230769230769236,8.163901463668222e-8,1.6074323543710207e-7,"FGFR2, FGF20","FGF1, FGF2, FGF5, FGF7, FGF10, FGFR1, PTPN11"
GO:0007267,cell-cell signaling,1.3666362530413625,10,0.07407407407407407,8.661047265892491e-8,1.4710424031215814e-6,"AGT, AREG, C1QA, TNFSF8, CX3CR1, EREG, ESR2, FGFR2, IL1B, IL17A, INHA, INSL3, LTA, LTB, S100A9, CCL3, CCL4, CCL5, CCL7, CCL17, CCL22, CCL24, CXCL6, SST, SSTR3, TSHR, NRP1, GRAP2, CXCL14, CCL26, FGF20, SIRPG, NMUR2","AR, BMP3, CTF1, EFNA2, FGF5, PGR, POMC, TAC1, ZYX, FZD1"
GO:0031012,extracellular matrix,2.561274509803922,10,0.037037037037037035,1.7195091272796804e-7,1.6307630864095726e-5,"PRSS2, LAMC3, LAMA1","COL6A3, COMP, FN1, LTBP1, THBS1, HPSE2, COL6A6"
GO:0007160,cell-matrix adhesion,2.114880952380952,10,0.1111111111111111,3.1324151132203446e-7,7.093344860514108e-7,"FGA, ITGAL, ITGB7, TIAM1, VTN, MADCAM1, ANGPTL3, PARVG","COL3A1, ITGA1, ITGAV, ITGB1, ITGB5, VCL, ITGA8, SGCE, SORBS1"
GO:0006954,inflammatory response,1.4045698924731183,10,0.037037037037037035,3.6828122027773823e-7,8.770991657372102e-7,"CYBA, FUT7, XCR1, IL1B, CXCL8, CXCR2, KRT16, MEFV, PIK3CD, S100A8, S100A9, CCL3, TNF, CXCR4, IL1RL1, PLA2G2D, BLNK, NLRC4, NLRP3, CCL3L3","CHUK, HSPG2, NFATC4, MAP3K7, THBS1, AOC3, HDAC4, NOD1, TAB2, MAP3K20"
GO:0098553,lumenal side of endoplasmic reticulum membrane,2.0625,10,0.07275132275132275,3.975217280987694e-7,0.0059693026595546645,"CD74, HLA-A, HLA-B, HLA-DPA1, HLA-DPB1, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-E",
