ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0005747,mitochondrial respiratory chain complex I,1.4718100890207715,10,0.2,1.2102543938024137e-13,1.726083543684908e-5,"NDUFA1, NDUFA2, NDUFA4, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFA10, NDUFAB1, NDUFB1, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB9, NDUFB10, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFS3, NDUFV1, NDUFS5, NDUFS6, NDUFS8, NDUFV2, NDUFA13, NDUFB11, NDUFA12, NDUFA11, NDUFS7",
GO:0006661,phosphatidylinositol biosynthetic process,1.1166336960105505,10,0.29166666666666663,5.352803005263302e-13,6.326000087793778e-7,"CDS1, IMPA1, MTM1, PIP5K1A, PIP5K1B, MTMR1, MTMR4, SACM1L, INPP5J, PI4K2B, INPP5E, MTMR14","INPP4A, INPP5D, PTEN, INPP4B, MTMR3, CDIPT, INPP5F, PIP5K1C, INPP5K, PI4K2A, SLC27A1"
GO:0004674,protein serine/threonine kinase activity,1.0380721158169228,10,0.2,5.716184742693605e-13,3.239846628881112e-9,"ATR, BUB1, CDK1, CDK2, CDK5, CDK7, CHEK1, CSNK1G2, CSNK2A1, CSNK2B, MTOR, GSK3B, IRAK1, MAP3K9, MAP3K11, PAK1, PAK2, PHKG2, PLK1, PRKAA1, PRKCD, PRKCI, PKN2, PRKCZ, PRKDC, MAPK6, MAPK8, MAPK9, MAPK13, MAP2K1, MAP2K6, RPS6KA1, RPS6KB1, RPS6KB2, SRPK1, STK3, AURKA, MAPKAPK3, PPM1D, MAPKAPK5, RIPK2, RPS6KA4, PKMYT1, MAP3K13, EIF2AK3, IKBKE, OXSR1, PAK4, PLK4, RIPK3, CHEK2, STK39, TBK1, NLK, ACVR1C, KSR2","ACVR1, ACVRL1, ATM, BMPR1A, BMPR1B, CAMK2A, DAPK3, GRK5, ILK, MAP3K10, PAK3, PDK3, PDPK1, PIM1, PRKAA2, PRKACA, PRKACB, PRKCB, PRKCE, PKN1, PRKD1, MAPK4, MAPK11, ROCK1, RPS6KA2, TGFBR1, MAP3K12, ULK1, MAP3K14, RPS6KA5, ULK2, AKT3, HIPK3, SIK2, PRKD2, LATS2, MAP3K20, PINK1, WNK1, WNK3, LRRK2, NEK7"
GO:0032981,mitochondrial respiratory chain complex I assembly,1.4746847181008902,10,0.2,4.067037502007486e-10,0.002373097636061789,"NDUFA1, NDUFA2, NDUFA6, NDUFA8, NDUFA9, NDUFA10, NDUFAB1, NDUFB1, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB9, NDUFB10, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFS3, NDUFS5, NDUFS8, TAFAZZIN, NDUFA13, NDUFB11, NDUFA11, NDUFS7",
GO:0018108,peptidyl-tyrosine phosphorylation,1.3641166678729102,10,0.2,4.1031980652425505e-9,6.201036614994487e-5,"EGFR, EPHB2, ERBB2, FGFR4, LYN, RELN, PTK2, SRC","ABL1, ABL2, BLK, BTK, CSF1R, EPHA3, EPHA4, ERBB4, FER, FES, FGFR1, FGR, FLT1, FLT3, FLT4, FYN, INSR, JAK3, KDR, NTRK1, PDGFB, PDGFRA, PDGFRB, ABI2"
GO:0004713,protein tyrosine kinase activity,1.3554169442257615,10,0.2,1.9809099252046585e-8,1.712835636225466e-5,"CSK, EGFR, EPHB2, ERBB2, ERBB3, IGF1R, LYN, MET, PTK2, SRC, TYK2, WEE1, YES1","ABL1, ABL2, ALK, AXL, BLK, BTK, CSF1R, EPHA4, EPHA7, ERBB4, FES, FGFR1, FGR, FLT3, FYN, INSR, JAK1, JAK3, KDR, KIT, MATK, NTRK1, PDGFRB, RET, RPS6KA5"
GO:0046856,phosphatidylinositol dephosphorylation,1.3444419082401278,10,0.29166666666666663,2.030094008967135e-7,6.991353238694262e-4,"MTM1, MTMR1, SACM1L, PIP4P1","INPP5B, PTEN, MTMR3, INPP5F, INPP5K, PIP4P2"
GO:0086064,cell communication by electrical coupling involved in cardiac conduction,1.3108308605341246,10,0.4,2.302984902233322e-6,0.01143596305525963,ATP1B1,"ATP1A2, ATP1B2, CACNA1C, PRKACA, SLC8A1"
GO:0006468,protein phosphorylation,1.0712166172106825,10,0.2,6.423438564575929e-6,6.436237812208418e-4,"ADAM10, BIRC5, CAMK2B, CCNE1, CDK1, CDC25B, CDK2, CDK4, CDK5, CHEK1, CHUK, CSK, CSNK1G2, CSNK2A1, CTBP1, ERBB2, MTOR, GSK3B, LYN, MAP3K9, MAP3K11, PAK1, PAK2, PHKG2, PLK1, PRKAA1, PRKAG1, PRKCD, PRKCI, PKN2, PRKCZ, PRKDC, MAPK6, MAPK8, MAPK9, MAP2K1, RPS6KA1, SRPK1, STK3, AURKA, TEC, TYK2, YWHAZ, RPS6KA4, MAP3K13, EIF2AK3, OXSR1, PLK4, HCST, CHEK2, STK39, TBK1, PKN3, NLK, STRADB, BIRC6, MAP3K21, GLYCTK","ATM, BTK, CAMK4, CAMK2A, CTSG, DAPK3, FER, FGR, GAS6, IGFBP3, ILK, INSR, JAK1, JAK3, LIPE, MATK, MYLK, NTRK1, PDGFB, PDPK1, PIM1, PPP3CB, PRKAA2, PRKACA, PRKACB, PRKCB, PRKCE, PRKCH, PKN1, PRKG1, PRKG2, MAPK4, MAPK10, RET, ROCK1, CCL2, CCL11, MAP3K12, CAMK1, MAP3K6, RPS6KA5, AKT3, HIPK3, MERTK, HCST, SIK2, PRKD3, PRKD2, LATS2, MAP3K20, PINK1, WNK1, WNK3, MYLK3, STRADA, LRRK2, NEK7"
GO:0035725,sodium ion transmembrane transport,1.2337231628556466,10,0.2,1.698553622736919e-5,0.021282322679159367,"ATP1B1, ATP1B3","ATP1A2, ATP1A4, SCN1B, SCN4B, SCN9A, SCNN1B, SCNN1G, SLC8A2, SLC8A1, SLC8A3"
