ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0005747,mitochondrial respiratory chain complex I,1.7115830115830115,10,0.0625,4.0435660399906245e-40,2.1818681614273896e-24,"NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA6, NDUFA7, NDUFA9, NDUFAB1, NDUFB1, NDUFB2, NDUFB4, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFB10, NDUFC2, NDUFS3, NDUFV1, NDUFS5, NDUFS6, NDUFS8, NDUFB11, NDUFA12, NDUFA11",NDUFS1
GO:0032981,mitochondrial respiratory chain complex I assembly,1.6416385135135136,10,0.0625,4.86407855801944e-30,5.446013903194975e-21,"NDUFA1, NDUFA2, NDUFA3, NDUFA6, NDUFA9, NDUFAB1, NDUFB1, NDUFB2, NDUFB4, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFB10, NDUFC2, NDUFS3, NDUFS5, NDUFS8, NDUFB11, NDUFA11",NDUFS1
GO:0000502,proteasome complex,1.6902327037462173,1,0.05555555555555555,2.413227734611486e-28,2.413227734611486e-28,"HSPB1, PSMA1, PSMA4, PSMA5, PSMB1, PSMB2, PSMB3, PSMB4, PSMB6, PSMB7, PSMC3, PSMC5, PSMD4, PSMD8, PSMD13, PSME1, PSME2, PSMD6","PSMB5, PSMC1, PSMC6, PSMD7, PSMD11, PSMD12, PSME3"
GO:0051015,actin filament binding,1.7510810810810813,10,0.0625,8.6416430461067e-22,3.434118680401152e-16,"BIN1, CFL1, HCLS1, MYL4, TPM2, ARPC5, ARPC4, ARPC3","ABL2, ACTN4, ACTN1, CACNB2, CFL2, EGFR, FLNA, HIP1, AFDN, MYO1B, MYH9, MYH10, MYO1D, MYO1E, MYO6, MYO10, TPM1, IQGAP2, CYFIP1, MYH14"
GO:0005839,proteasome core complex,1.7868174296745727,1,0.05555555555555555,4.1138002468917333e-13,4.1138002468917333e-13,"PSMA1, PSMA4, PSMA5, PSMB1, PSMB2, PSMB3, PSMB4, PSMB6, PSMB7",PSMB5
GO:0008013,beta-catenin binding,1.5125617311663824,10,0.09126984126984126,6.178078385213848e-13,0.008285474394659709,"PIN1, TCF7, LEF1","APC, CDH1, CDH5, CTNNA1, CTNND2, DVL3, EP300, FOXO1, FOXO3, GJA1, GLI3, GSK3B, SMAD7, PRKN, PSEN1, PTPRJ, PXN, VCL, BTRC, DLG5, APC2, CARM1, CHD8"
GO:0004674,protein serine/threonine kinase activity,1.5464092664092666,10,0.5,2.0027215649538457e-12,3.3627833650376763e-9,"ACVRL1, ARAF, BMPR1B, CDK1, CDK5, CDK9, CHEK1, CSNK2B, DAPK3, GSK3A, MAP3K11, PHKG2, PIM1, PRKACB, PKN1, MAPK3, MAP2K2, MAP4K2, RPS6KA1, RPS6KB2, SRPK1, MAPKAPK3, MKNK1, RPS6KA4, PKMYT1, MAP4K4, IKBKE, RIPK3, PIM2, MAP4K1, PRKD2, IRAK4","ACVR1, ACVR1B, ACVR2A, AKT1, AKT2, ATR, BMPR1A, BRAF, CSNK1A1, CSNK1D, CSNK1G3, CSNK2A1, MTOR, GSK3B, LIMK2, MAP3K1, MAP3K5, MAP3K9, PAK1, PDPK1, PRKAA1, PRKCE, PRKCI, PKN2, PRKD1, PRKCZ, PRKDC, MAPK1, MAPK4, MAPK6, MAPK13, MAP2K1, EIF2AK2, RAF1, ROCK1, RPS6KA3, RPS6KB1, STK3, MAP4K3, PPM1D, MAP3K14, LATS1, MAP3K13, RPS6KA5, EIF2AK3, ROCK2, ULK2, SLK, AKT3, HIPK3, PAK4, PLK2, IRAK3, SMG1, SIK2, HIPK2, TBK1, MAP3K20, CSNK1G1, TAOK1, PINK1, WNK1, WNK4, WNK3, WNK2, ACVR1C, NEK7, SIK1, PIKFYVE, EIF2AK4"
GO:0022624,proteasome accessory complex,1.563465250965251,1,0.05555555555555555,2.3220430676807334e-12,2.3220430676807334e-12,"PSMC3, PSMC5, PSMD4, PSMD8, PSMD13, PSMD6","PSMC1, PSMC6, PSMD11, PSMD12"
GO:0006661,phosphatidylinositol biosynthetic process,1.0423101673101671,10,0.1213235294117647,5.1722021154358346e-12,2.944104029661523e-10,"FIG4, INPP5K, INPP5E, MTMR14","CDS1, INPP4A, MTM1, OCRL, PIK3C2A, PIP5K1A, MTMR1, SYNJ1, INPP5F, PI4K2B, PIKFYVE"
GO:0003700,DNA-binding transcription factor activity,1.1503452357466957,10,0.12916666666666665,9.417124276886682e-12,0.0026303614030693395,"ATF4, E2F1, ELK1, GATA3, RBPJ, IRF3, RORC, SOX4, SOX9, SPI1, TCF3, ZEB1, TP53, ZBTB17, BATF, LEF1","AHR, ARNT, ATF1, CEBPA, ATF6B, DDIT3, EGR1, EGR2, EGR3, MECOM, FOXO1, FOXO3, FOS, GLI2, GLI3, HIF1A, PDX1, JUN, SMAD1, SMAD2, SMAD3, MEF2A, NR3C2, NFE2L2, NFKB1, PPARD, RARA, RORA, SP1, SREBF1, STAT3, STAT6, TEAD1, TEAD3, TFDP1, TFE3, THRA, VDR, ZNF175, TP63, CLOCK, CREB5, ARNT2, NR1I3, ATF6, HEY1, HEY2"
