ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0043536,positive regulation of blood vessel endothelial cell migration,1.0120867748423252,10,0.06458333333333333,6.501914262816434e-6,2.371406029185756e-4,"ETS1, PDGFB, PLCG1, STAT5A, VEGFA, FGF18, PRKD2, ANGPT4","ANGPT1, ATP5F1A, ATP5F1B, MAPK14, FGF2, HMGB1, HSPB1, ADAM17"
GO:0048010,vascular endothelial growth factor receptor signaling pathway,1.8133221382591656,10,0.1380952380952381,1.7913084892025168e-5,0.03008509118095456,"AXL, PTK2B, FLT4, FYN, VAV1, VAV2, VEGFA, VEGFC, MAPKAPK2, PRKD2","MAPK14, HSPB1, PAK2, NRP1"
GO:0009615,response to virus,1.1178013181049653,7,0.06666666666666667,1.5937582261202533e-4,0.03004039441537272,"APOB, BCL3, CDK6, CFL1, FGR, GATA3, IFNAR2, IFNG, IRF7, MST1R, PSMA2, CCL4, CCL5, CCL22, XCL1, TNF, LILRB1, PIM2, TBX21, FOXP3, TLR8, BATF3","ADAR, CHUK, HSPB1, ODC1, EIF2AK2, HYAL3, LAMTOR5, TBK1"
GO:0032729,positive regulation of type II interferon production,1.3283638919805518,10,0.11145510835913312,0.001565188788095,0.04450545200030217,"CD2, HLA-A, HLA-DPA1, HLA-DPB1, IL1R1, IL12B, IL12RB1, IL12RB2, JAK2, TXK, TYK2, IL18R1, EBI3, LILRB1, TLR8, CD244, CLEC7A, CCR2","CEBPG, HSPD1, SLC7A5"
GO:0032760,positive regulation of tumor necrosis factor production,0.9624555964606342,9,0.06666666666666667,0.00158529792002418,0.02120641036906636,"AGER, CD2, CYBA, EPHB2, HLA-E, IFNG, IL12B, JAK2, LPL, PLCG2, PTPRC, SPN, RIPK1, LILRA2, CLEC7A, IL33, CCR2","HMGB1, HSPB1, LBP, PTPN11, WNT5A, MAVS"
GO:0032735,positive regulation of interleukin-12 production,1.3599916036943744,3,0.0625,0.00378533718136045,0.00378533718136045,"AGER, CD40LG, CCR7, HLA-G, IFNG, IL12B, IL16, LTB, PLCG2, CLEC7A","MAPK14, HMGB1, HSPD1"
GO:0035556,intracellular signal transduction,1.2799920975947054,4,0.06274509803921569,0.01240504799709026,0.03931172309565939,"ADRA1B, BLK, BTK, DAPK3, FYN, HMOX1, JAK2, JAK3, LCK, MTCP1, PLA2G1B, PLCG2, STK4, LAT2, MAP3K12, TCL1A, RIPK1, RAPGEF3, DAPK2, PRKD2, LATS2, LAT, STK39, BLNK, CAB39, SIRPG, SIK1","CRKL, MAPK14, GSK3B, HSPB1, CXCL8, SMAD2, SMAD4, PRKAR2A, PRKAR2B, RAC3, SRPK1, STK3, TFRC, TGFBR1, YWHAE, MAP4K3, SQSTM1, OXSR1, PDCD10, PRKAG2, NLK"
GO:0045429,positive regulation of nitric oxide biosynthetic process,1.3599916036943744,2,0.0625,0.0183063230390625,0.02081588967400951,"APOE, IFNG, TNF, TLR6, KLF2, CLEC7A","ASS1, HSP90AA1, HSP90AB1, SMAD3, NFATC3, KLF4"
GO:0042110,T cell activation,1.5692210811858167,6,0.06458333333333333,0.02129688801040759,0.04819517912165919,"CD2, CD8A, CD28, DDOST, ITK, PIK3CD, PIK3CG, PPP3CA, PTPRC, ZAP70, LAT, FOXP3, CLEC7A","HSPD1, NCK1"
GO:0045766,positive regulation of angiogenesis,1.0317177683198702,2,0.0625,0.02495965644839311,0.02495965644839311,"AQP1, CD34, CYP1B1, ETS1, F3, HMOX1, ITGAX, SERPINE1, PIK3CD, PLCG1, PRKCB, RRAS, SFRP2, VEGFA, TNFSF12, FGF18, RAPGEF3, PRKD2, ANGPTL4, ANGPT4, PIK3R6, APELA","BRCA1, EMP2, EPHA1, FGF2, HK2, HSPB1, CXCL8, JUP, STIM1, WNT5A, HIPK2"
GO:0042113,B cell activation,1.4959907640638122,3,0.07142857142857142,0.04286028750010458,0.04626724523001966,"BTK, CD22, CD79A, EPHB2, PIK3CD, PRKCB, LAT2, ZAP70, BANK1","HSPD1, HDAC9"
