ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,Up_regulated,Down_regulated
GO:0000502,proteasome complex,1.6902327037462173,1,0.05555555555555555,2.413227734611486e-28,2.413227734611486e-28,"HSPB1, PSMA1, PSMA4, PSMA5, PSMB1, PSMB2, PSMB3, PSMB4, PSMB6, PSMB7, PSMC3, PSMC5, PSMD4, PSMD8, PSMD13, PSME1, PSME2, PSMD6","PSMB5, PSMC1, PSMC6, PSMD7, PSMD11, PSMD12, PSME3"
GO:0061629,RNA polymerase II-specific DNA-binding transcription factor binding,1.490281771132835,6,0.09126984126984126,5.675835385444606e-10,0.02808619225703511,"ATF4, CHD4, CSNK2B, DAXX, DNMT3A, ELK1, GATA3, HCLS1, HDAC1, HMGB1, HSPB1, RBPJ, SPI1, TCF3, TP53, RBX1, MAD2L2, KDM1A","AHR, ARNT, CEBPA, CREBBP, CRKL, CTNNB1, DDIT3, EGR2, EP300, EPAS1, ETS2, FOS, GSK3B, GTF2I, HIF1A, HES1, JUN, SMAD3, MEF2A, NFE2L2, PRKDC, RBBP8, SP1, STAT3, TBX3, MLX, TEAD3, TP53BP1, HMGA2, BHLHE40, PIAS2, KLF4, NCOR1, SPEN, HEY1, HEY2, HIPK2, BHLHE41"
GO:0048010,vascular endothelial growth factor receptor signaling pathway,1.7868174296745725,10,0.25,4.567905182442717e-7,3.5002836364491885e-5,"PTK2B, FYN, HSPB1, VAV1, MAPKAPK3, PRKD2","FLT1, FLT4, KDR, PRKD1, PTK2, SRC, VAV2, NRP1, BCAR1"
GO:0034774,secretory granule lumen,1.3279803613136945,1,0.05555555555555555,3.5487022962517935e-5,3.5487022962517935e-5,"APOA1, APRT, CSNK2B, CFD, GRP, GSTP1, HMGB1, HSPA6, IMPDH2, PPIA, PSMA5, PSMB1, PSMB7, PSMC3, PSMD13, PSMD6, ARPC5, PYCARD, DERA, GHRL","ALAD, ALDOA, ALDOC, APAF1, CAT, DDX3X, EEF2, HK3, HSP90AA1, HSP90AB1, IDH1, NFKB1, PAFAH1B2, PGAM1, PSMD7, PSMD11, PSMD12, ROCK1, S100A8, VCL, HUWE1, CYFIP1, PGM2"
GO:1904813,ficolin-1-rich granule lumen,1.3929054054054055,1,0.05555555555555555,7.44299899440793e-5,7.44299899440793e-5,"CSNK2B, CTSD, CFD, GSTP1, GUSB, HBB, HMGB1, HSPA6, IMPDH2, LTA4H, SERPINA1, PPIA, PSMA5, PSMB1, PSMB7, PSMC3, PSMD13, PSMD6, ARPC5, DERA, GSDMD","ACLY, ALAD, ALDOA, ALDOC, APAF1, ARSB, ASAH1, CAPN1, CAT, DDX3X, EEF2, FTH1, HK3, HSP90AA1, HSP90AB1, IDH1, JUP, PAFAH1B2, PGAM1, MAPK1, PSMD7, PSMD11, PSMD12, VCL, HUWE1, PGM2, ACTR10, CANT1"
GO:0035556,intracellular signal transduction,1.3488719812249226,10,0.0625,5.251903320695908e-4,0.00579158994094314,"DAPK3, FYN, HCLS1, HSPB1, JAK3, STMN1, LCK, MAP4K2, RAC1, SRPK1, TYROBP, LAT2, YWHAE, MKNK1, RPS6KA4, MAP4K4, FKBP8, PRKD2, SIRPG","AKT1, CRKL, DDX3X, ERBB2, FER, GSK3B, SMAD2, NOTCH2, PDPK1, PRKAR1A, PRKAR2A, PRKD1, SRC, STK3, TFRC, TGFA, HMGA2, MAP4K3, SQSTM1, RPS6KA5, RAPGEF2, NOD1, MAP3K2, SIK2, LAT, PLCE1, PRKAG2, DDIT4, PINK1, WNK1, WNK4, WNK3, WNK2, SIK1, DAB2IP, FLCN"
GO:0001934,positive regulation of protein phosphorylation,1.1757258687258687,10,0.12916666666666665,5.323951825955063e-4,0.00439144035478138,"CCND3, CD4, DAXX, HLA-DRB1, HRAS, PECAM1, PIN1, PPIA, RAC1, SOX9, HDAC3, RASGRP1, FLOT1, RACK1, SEMA4D, ERP29","ABL1, ACVR2A, AKT1, ANGPT1, APP, FAS, CCND1, CDKN1A, CHRNA7, CRKL, CSNK1D, DVL3, EFNA1, EGFR, ERBB2, FLT4, HSP90AA1, ITGB3, KDR, LIMK2, PAK1, PTK2, TEK, TFRC, ROCK2, CAMKK2, RALBP1, ATG14, SIRT1, CARD14, FNIP1"
GO:0043065,positive regulation of apoptotic process,1.1138263393737846,10,0.06458333333333333,0.00118075686718654,0.0141035017068685,"BIN1, APBB1, ATF4, BAD, BAK1, BAX, BID, CTSD, DAPK3, E2F1, HMGB1, RPS6, SMPD1, SOX4, TP53, RACK1, PYCARD, IP6K2, PIDD1, CCAR2, BMF, MIR92A1","ABL1, APAF1, APC, FAS, RHOB, BNIP3, CTNNB1, CYP1B1, GADD45A, DDX3X, FOXO1, FOXO3, GPLD1, HSPD1, IAPP, ITGA6, ITGB1, JUN, MAP3K5, NF1, PMAIP1, PPID, SFRP1, SNCA, STK3, FADD, SQSTM1, SLIT2, ZNF268, ATF6, SIRT1, SCRIB, TNFRSF12A, MAP3K20, DIABLO, SPHK2, ACVR1C, DAB2IP, FLCN"
GO:0032729,positive regulation of type II interferon production,1.2798599263715544,3,0.0625,0.00167331678779412,0.04052682544277407,"CD2, CD14, HLA-A, HLA-DPB1, IL12RB1, IL18, RASGRP1, EBI3, PYCARD, CD244, IL27","CEBPG, F2RL1, HSPD1, IL12A, IL12RB2, TLR3, FZD5, FADD, IL18R1, SCRIB, CLEC7A"
GO:0042981,regulation of apoptotic process,1.3644787644787644,4,0.09375,0.00494595655745743,0.04584033099798986,"BAX, CDK5, DAPK3, IRF3, NME1, PTPN6, RPS3, SKP2, SOX9, TP53, TRAF2, RIPK3, TARDBP, BIRC7","AKT1, APAF1, XIAP, BCL2L2, CALR, HIP1, HSP90AA1, RAF1, BCAR1, SLK, TOMM70, PHLPP1, SIRT1, GLS2, IFT57, ACER2"
