Project,Pathways_with_chaperones
TCGA-BLCA_cluster2_vs_cluster1,3
TCGA-BRCA_cluster2_vs_cluster1,11
TCGA-CESC_cluster2_vs_cluster1,4
TCGA-CHOL_cluster2_vs_cluster1,0
TCGA-COAD_cluster2_vs_cluster1,4
TCGA-COAD_cluster3_vs_cluster1,4
TCGA-COAD_cluster3_vs_cluster2,0
TCGA-ESCA_cluster2_vs_cluster1,4
TCGA-HNSC_cluster2_vs_cluster1,3
TCGA-KIRC_cluster2_vs_cluster1,1
TCGA-KIRP_cluster2_vs_cluster1,3
TCGA-LIHC_cluster2_vs_cluster1,4
TCGA-LUAD_cluster2_vs_cluster1,10
TCGA-LUAD_cluster3_vs_cluster1,13
TCGA-LUAD_cluster3_vs_cluster2,1
TCGA-LUSC_cluster2_vs_cluster1,5
TCGA-PAAD_cluster2_vs_cluster1,5
TCGA-PRAD_cluster2_vs_cluster1,8
TCGA-READ_cluster2_vs_cluster1,0
TCGA-SARC_cluster2_vs_cluster1,10
TCGA-STAD_cluster2_vs_cluster1,3
TCGA-THYM_cluster2_vs_cluster1,5
