gene_id	colors
ENSG00000001630.17	green
ENSG00000003137.8	brown
ENSG00000004468.13	brown
ENSG00000005001.10	turquoise
ENSG00000005102.14	yellow
ENSG00000005381.8	brown
ENSG00000005421.9	brown
ENSG00000006016.11	turquoise
ENSG00000006042.12	turquoise
ENSG00000006059.4	blue
ENSG00000006071.15	brown
ENSG00000006128.12	grey
ENSG00000006283.18	turquoise
ENSG00000006377.11	yellow
ENSG00000006468.14	blue
ENSG00000006611.17	turquoise
ENSG00000006788.14	blue
ENSG00000007062.12	turquoise
ENSG00000007171.18	turquoise
ENSG00000007516.14	turquoise
ENSG00000007908.16	yellow
ENSG00000007968.7	brown
ENSG00000008196.13	yellow
ENSG00000008323.15	turquoise
ENSG00000008394.13	blue
ENSG00000009694.13	brown
ENSG00000009724.17	green
ENSG00000009950.16	turquoise
ENSG00000010282.15	grey
ENSG00000010438.17	brown
ENSG00000010932.17	turquoise
ENSG00000011347.10	blue
ENSG00000011465.18	turquoise
ENSG00000011677.13	turquoise
ENSG00000012124.17	yellow
ENSG00000012223.13	yellow
ENSG00000012817.16	grey
ENSG00000013588.9	turquoise
ENSG00000015413.9	brown
ENSG00000016082.15	blue
ENSG00000018236.15	turquoise
ENSG00000018625.15	turquoise
ENSG00000019102.12	turquoise
ENSG00000019169.10	blue
ENSG00000019186.10	turquoise
ENSG00000021645.20	yellow
ENSG00000022355.18	blue
ENSG00000022556.16	grey
ENSG00000027644.5	blue
ENSG00000029559.7	turquoise
ENSG00000034239.11	grey
ENSG00000036828.17	grey
ENSG00000037965.6	yellow
ENSG00000038427.16	turquoise
ENSG00000039139.9	blue
ENSG00000040731.10	grey
ENSG00000043039.7	blue
ENSG00000043355.12	yellow
ENSG00000044524.11	turquoise
ENSG00000048462.11	blue
ENSG00000048540.15	blue
ENSG00000049089.15	turquoise
ENSG00000049323.16	turquoise
ENSG00000053438.11	turquoise
ENSG00000054179.12	grey
ENSG00000055118.16	blue
ENSG00000055813.6	green
ENSG00000056291.17	brown
ENSG00000056487.16	blue
ENSG00000058404.20	blue
ENSG00000060566.14	brown
ENSG00000060709.15	turquoise
ENSG00000060718.22	turquoise
ENSG00000061455.11	turquoise
ENSG00000064195.7	turquoise
ENSG00000064205.10	yellow
ENSG00000064218.5	turquoise
ENSG00000064300.9	turquoise
ENSG00000064309.14	turquoise
ENSG00000064692.20	turquoise
ENSG00000064886.14	brown
ENSG00000065320.9	turquoise
ENSG00000065361.16	turquoise
ENSG00000065609.14	yellow
ENSG00000066032.18	turquoise
ENSG00000066248.15	turquoise
ENSG00000067048.17	grey
ENSG00000067646.12	grey
ENSG00000067715.14	turquoise
ENSG00000067798.16	turquoise
ENSG00000068078.20	yellow
ENSG00000068615.19	turquoise
ENSG00000069011.16	yellow
ENSG00000069482.7	yellow
ENSG00000069812.11	blue
ENSG00000070031.4	grey
ENSG00000070182.21	turquoise
ENSG00000070193.5	grey
ENSG00000070731.11	green
ENSG00000070748.19	yellow
ENSG00000070985.13	grey
ENSG00000071794.16	green
ENSG00000071909.19	blue
ENSG00000072041.17	grey
ENSG00000072657.9	turquoise
ENSG00000073067.14	grey
ENSG00000073737.17	yellow
ENSG00000073754.6	blue
ENSG00000073756.12	yellow
ENSG00000073792.16	turquoise
ENSG00000074211.14	blue
ENSG00000074317.11	yellow
ENSG00000074410.14	turquoise
ENSG00000074527.13	turquoise
ENSG00000075213.11	green
ENSG00000075643.6	yellow
ENSG00000075673.12	blue
ENSG00000076685.19	green
ENSG00000076716.9	turquoise
ENSG00000076826.10	blue
ENSG00000077274.9	blue
ENSG00000077327.16	turquoise
ENSG00000078018.20	blue
ENSG00000078098.14	yellow
ENSG00000078114.19	turquoise
ENSG00000078295.17	turquoise
ENSG00000078399.19	brown
ENSG00000078725.13	blue
ENSG00000079102.16	turquoise
ENSG00000079689.14	turquoise
ENSG00000080007.8	turquoise
ENSG00000080200.10	green
ENSG00000080644.16	brown
ENSG00000081051.8	blue
ENSG00000081059.20	brown
ENSG00000081138.14	grey
ENSG00000081479.15	turquoise
ENSG00000081853.15	turquoise
ENSG00000081923.15	turquoise
ENSG00000082293.13	grey
ENSG00000082482.14	blue
ENSG00000082497.12	turquoise
ENSG00000082556.14	grey
ENSG00000083067.23	turquoise
ENSG00000083307.12	blue
ENSG00000083454.22	brown
ENSG00000083782.8	turquoise
ENSG00000083857.14	green
ENSG00000084453.16	turquoise
ENSG00000085552.17	blue
ENSG00000085741.13	turquoise
ENSG00000086159.13	turquoise
ENSG00000086205.18	blue
ENSG00000086548.9	yellow
ENSG00000086570.12	blue
ENSG00000086967.10	turquoise
ENSG00000087116.16	turquoise
ENSG00000087237.12	brown
ENSG00000087250.9	blue
ENSG00000087303.18	turquoise
ENSG00000087495.17	grey
ENSG00000087510.7	green
